year,en_ADP air_NOUN,en_ADP paires_NOUN
1800,9.023752340908686e-07,1.2576657937302116e-08
1801,4.4528114284680953e-07,2.3811825400343878e-08
1802,2.506380951672327e-07,1.1189200677108602e-08
1803,4.5442902552039754e-07,7.801356893821776e-09
1804,3.8808059343864443e-07,9.887403784603066e-09
1805,2.7575912708854844e-07,8.528632911009026e-09
1806,3.7749865100522584e-07,6.339671898558663e-08
1807,2.0498076924724273e-07,0.0
1808,2.062127402169267e-07,1.8128591960930862e-08
1809,2.4397530085096264e-07,0.0
1810,1.7550951270095538e-07,7.020380277111826e-09
1811,2.0808736911348547e-07,2.5070767684098882e-09
1812,1.3869483117545656e-07,1.3336041604361526e-08
1813,2.0992913585260453e-07,0.0
1814,1.3530711839848664e-07,4.090680150170556e-08
1815,2.8320846801044297e-07,0.0
1816,1.7150268938337376e-07,9.270415546325239e-09
1817,1.3077736582545185e-07,1.2454987263765815e-08
1818,2.2888661255215936e-07,2.1458118837358597e-08
1819,1.3870406800897683e-07,7.24573512300708e-09
1820,1.8511710120350244e-07,0.0
1821,8.776724769177235e-08,9.86148829262845e-10
1822,1.0426640528748976e-07,2.0051231786055723e-09
1823,9.586206450862278e-08,9.882686891060644e-10
1824,1.4905369027928828e-07,2.3579115548955087e-08
1825,1.1270966804310945e-07,1.7610886082763955e-09
1826,9.776862741617265e-08,0.0
1827,1.6222400611720644e-07,2.027800150017356e-08
1828,1.4033620721054518e-07,1.1006761724274838e-08
1829,1.3717081515096652e-07,1.714635211591542e-09
1830,1.8786305133744463e-07,1.0436835840010872e-09
1831,1.7306238930814288e-07,1.091384405071949e-08
1832,1.1094574858816486e-07,9.470978667991403e-09
1833,1.4247862734073635e-07,1.1583628500844156e-09
1834,1.474855890748472e-07,1.213489042584115e-08
1835,1.1722786297241328e-07,2.0420337421001022e-08
1836,1.9624590608113834e-07,3.36037508930076e-09
1837,9.253994626146067e-08,4.87052354003481e-09
1838,1.7484688585867048e-07,9.468243078458727e-09
1839,1.3143973565110656e-07,1.8876983531868063e-08
1840,1.1720227499623093e-07,3.1848443882154243e-09
1841,1.4703056194775854e-07,1.2841097074556274e-08
1842,1.1739464067517247e-07,0.0
1843,1.9729083622355148e-07,3.5441467538532834e-09
1844,1.5203314940315238e-07,1.701453911095996e-08
1845,1.9419193170167048e-07,1.0602432709561072e-08
1846,1.0362467706137579e-07,5.854501328173001e-09
1847,9.977463566457345e-08,5.3932236454556914e-09
1848,7.562508130831702e-08,1.448139919091318e-08
1849,4.776266493422554e-08,1.005529792763582e-08
1850,1.0726613819400654e-07,2.0366988096043315e-09
1851,9.28719168236114e-08,9.029214709244116e-09
1852,1.295598495154593e-07,3.2552727180501506e-09
1853,1.8632426690423642e-07,3.5831591027601917e-09
1854,1.5327209934579145e-07,8.832629738719788e-09
1855,1.645150575768639e-07,7.960405667972736e-09
1856,1.0457922500206607e-07,5.177189343896771e-09
1857,1.649950125415245e-07,6.8341128311999455e-09
1858,1.1793758891709416e-07,1.6149130033227266e-08
1859,9.522363986214089e-08,1.8331824946926645e-08
1860,2.2016254042078742e-07,9.15436793036406e-09
1861,1.787350306092783e-07,1.6977470096435354e-08
1862,2.466820419877447e-07,1.355395884417021e-08
1863,1.4883970733681195e-07,5.494082966350788e-09
1864,9.829192038068868e-08,4.315255264231155e-09
1865,8.425251213362017e-08,6.118897832863013e-09
1866,1.7954111974916032e-07,2.432806400776144e-09
1867,1.465549051005155e-07,1.261730986357179e-08
1868,1.1262912769094413e-07,8.397785578040384e-09
1869,1.3771524309813543e-07,1.4650557433881772e-09
1870,1.2614906896857292e-07,5.734048791339319e-09
1871,1.115223595693493e-07,8.496941816815706e-09
1872,1.5420715726577328e-07,1.269941218851045e-08
1873,7.302925214558442e-08,9.577607151811662e-09
1874,1.69081439682639e-07,5.078417686377179e-08
1875,1.0241533254795598e-07,4.577221712764867e-09
1876,1.6566080840441089e-07,1.0278225381910033e-08
1877,1.0699732011509866e-07,3.0924081073635534e-09
1878,1.6547102504871347e-07,2.6571990829893366e-08
1879,6.659164597522249e-08,2.2604503158163425e-08
1880,1.1167052460514526e-07,3.016387850607316e-08
1881,1.1713813058422673e-07,1.8128519130300447e-08
1882,1.0715170062347568e-07,7.05470810657971e-08
1883,1.131161653233903e-07,2.6541224329434954e-08
1884,1.7296446674919252e-07,4.885255577846692e-08
1885,1.4180398011376383e-07,1.6114089618213256e-08
1886,1.0906354014350583e-07,7.163345117078279e-08
1887,8.161155939934162e-08,2.285123557044244e-08
1888,1.0715638998348709e-07,2.0924028731883482e-08
1889,8.645888804892365e-08,1.9421923624918236e-08
1890,1.7238036653655087e-07,2.1629475099871343e-08
1891,2.42220368873447e-07,3.4420789774003424e-08
1892,1.1847488301519604e-07,3.0715710863660206e-08
1893,1.422594238520425e-07,6.527921669885473e-08
1894,1.9282710761459043e-07,2.2055386850183822e-08
1895,1.0352017021375559e-07,5.11582243234443e-08
1896,7.194375445385148e-08,6.309821287686646e-08
1897,1.1070755412401212e-07,2.7968225069230357e-08
1898,1.9181822974445595e-07,3.677930848766664e-08
1899,1.0060192678906787e-07,2.1557555740514545e-08
1900,1.3496738171525635e-07,1.2977633190303095e-08
1901,1.279821263411307e-07,3.856229824350521e-08
1902,2.533706344731712e-07,7.758248443678895e-08
1903,1.3608554705335507e-07,4.428180488957878e-08
1904,1.4135264425618743e-07,2.418581246388385e-08
1905,1.475977098319703e-07,2.3223416079076742e-08
1906,2.052529679552606e-07,2.9321851613417493e-08
1907,2.2062798410438234e-07,4.319988278211895e-08
1908,2.3329098763902323e-07,2.3083527977973972e-08
1909,3.15206349466024e-07,3.190570296851547e-08
1910,3.6340225884057276e-07,1.336037680488289e-08
1911,3.9902805815117404e-07,2.3941684190731394e-08
1912,4.625965921434272e-07,1.0939784189645252e-08
1913,5.09087001221431e-07,2.1211958411981868e-08
1914,3.0202313938687553e-07,1.0714789944188396e-08
1915,1.8377989163820274e-07,3.887651445211304e-08
1916,1.50528225217883e-07,1.8678685265172135e-08
1917,1.381769423325352e-07,3.61891991929042e-08
1918,2.6303800471083605e-07,2.067547733020092e-08
1919,2.642652502382603e-07,4.1435317399418636e-08
1920,2.854731246948461e-07,3.104614876292544e-08
1921,2.6504616346123555e-07,1.9689142760626055e-08
1922,2.751969887526684e-07,5.3121134158118366e-08
1923,2.558443532585386e-07,1.5923921736771263e-08
1924,2.2947091282699006e-07,1.0957880647310958e-07
