year,un_DET patin_NOUN
1800,3.144164395507687e-08
1801,0.0
1802,2.0140561218795483e-08
1803,3.900678446910888e-09
1804,1.4831105232815389e-08
1805,2.55858996212055e-08
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,1.3596443970698147e-08
1809,2.0331274441787173e-08
1810,4.44624070894406e-08
1811,8.022645658911642e-08
1812,3.200649700829672e-08
1813,1.6104152678053651e-07
1814,1.258670891957081e-07
1815,0.0
1816,4.6352077731626196e-09
1817,1.8682481339737933e-08
1818,5.48374146092101e-08
1819,1.7596784473994376e-08
1820,1.4239777357261119e-08
1821,2.1695274909916407e-08
1822,3.909990198280866e-08
1823,6.522573237077722e-08
1824,2.778967189698278e-08
1825,3.0819052199149155e-08
1826,1.0569580766173203e-08
1827,2.7651818612639545e-08
1828,3.118582481143051e-08
1829,3.0006116702452346e-08
1830,4.487839611044819e-08
1831,4.989185908854665e-08
1832,2.841293600397421e-08
1833,2.895907214028881e-08
1834,4.760610883280947e-08
1835,2.647080776796429e-08
1836,3.9652424621561266e-08
1837,5.427154903259179e-08
1838,2.9667161394186792e-08
1839,3.216078514611809e-08
1840,2.547875399550037e-08
1841,2.953452238330101e-08
1842,2.884554062276834e-08
1843,2.717179026223704e-08
1844,1.97588213013411e-08
1845,2.2878934136105755e-08
1846,2.9857956329593094e-08
1847,2.3730184040005042e-08
1848,2.4135665133151463e-09
1849,1.759677070722887e-08
1850,2.987158342904195e-08
1851,4.385618268543112e-08
1852,2.9948509450150596e-08
1853,4.1206330125831414e-08
1854,2.7537021551893304e-08
1855,2.9188154115900034e-08
1856,4.297066980019082e-08
1857,4.344543258483213e-08
1858,2.495774775734816e-08
1859,3.411756233084873e-08
1860,3.61597543019343e-08
1861,3.584132307610233e-08
1862,2.530072337747491e-08
1863,6.143383812773351e-08
1864,3.0206785628372756e-08
1865,3.2006543193574544e-08
1866,3.649209512346374e-08
1867,4.076361648230886e-08
1868,3.6061079455862455e-08
1869,1.9534076356464425e-08
1870,3.555110295039299e-08
1871,2.973929724703339e-08
1872,2.2979889990892843e-08
1873,3.292302519497525e-08
1874,9.559374625212058e-08
1875,6.23646451702875e-08
1876,4.17175023414984e-08
1877,8.287653618932467e-08
1878,5.3747889694477635e-08
1879,4.643087059275075e-08
1880,6.674559926977963e-08
1881,4.392679642251096e-08
1882,4.9249848643739824e-08
1883,3.475636339844712e-08
1884,7.856019657026536e-08
1885,5.672159469893856e-08
1886,7.098810295147473e-08
1887,3.395040931719606e-08
1888,7.038082427968106e-08
1889,7.706117893802045e-08
1890,9.241684717498089e-08
1891,7.011642355614356e-08
1892,4.137218190258807e-08
1893,7.020594994244789e-08
1894,5.986462214835342e-08
1895,5.657497581523785e-08
1896,7.548197400453205e-08
1897,7.341658891935054e-08
1898,8.487532676682008e-08
1899,9.175779958070507e-08
1900,6.125442963966776e-08
1901,6.874148550384263e-08
1902,7.306502425308281e-07
1903,4.968202604871408e-08
1904,3.869730047512121e-08
1905,6.399341145879589e-08
1906,4.475440379403395e-08
1907,4.7828444038611195e-08
1908,6.335691904446605e-08
1909,1.01218098791378e-07
1910,9.352263763418023e-08
1911,1.1119581955210123e-07
1912,7.918320166222514e-08
1913,7.47721549121394e-08
1914,7.366418142140674e-08
1915,1.5314990164938536e-08
1916,3.955486249651585e-08
1917,2.631941953268324e-08
1918,3.101321777165822e-08
1919,4.880159565345821e-08
1920,3.028892647805037e-08
1921,5.073740894090406e-08
1922,5.2383342108441866e-08
1923,4.352538729435196e-08
1924,3.9964035636330664e-08
1925,2.9695080394631646e-08
1926,2.6750733184144337e-08
1927,2.4528294284564822e-08
1928,3.19929166492372e-08
1929,3.34212200137074e-08
1930,5.987053919298546e-08
1931,3.877821175279905e-08
1932,3.178265672865166e-08
1933,4.702971678760548e-08
1934,3.5944740517379614e-08
1935,3.590485153637246e-08
1936,2.7886843056990074e-08
1937,3.021868266728234e-08
1938,4.148868515407855e-08
1939,4.894096239382861e-08
1940,4.817987386829259e-08
1941,3.836953554881006e-08
1942,4.2478965012193726e-08
1943,6.677440933522405e-08
1944,3.534504777746861e-08
1945,3.92130714566008e-08
1946,4.872386316634447e-08
1947,2.26496545963073e-08
1948,3.805160786463091e-08
1949,2.2579119018928395e-08
1950,2.6588403034821795e-08
1951,4.691016641800161e-08
1952,4.007025466989944e-08
1953,4.525007413214155e-08
1954,2.34540866728139e-08
1955,4.974372336263855e-08
1956,4.7094163679872736e-08
1957,5.212672260501705e-08
1958,3.8052320405768114e-08
1959,4.65044873720899e-08
1960,2.768333273728274e-08
1961,3.6825242577531725e-08
1962,2.4099433559854333e-08
1963,3.620989819097531e-08
1964,3.589541280879516e-08
1965,4.870118530675427e-08
1966,5.649856316125579e-08
1967,3.1061114957875446e-08
1968,4.1770167047427975e-08
1969,3.451736008130979e-08
1970,2.3913370145178803e-08
1971,2.826118561394253e-08
1972,3.334595527482165e-08
1973,4.4656952136179484e-08
1974,2.8690415376786405e-08
1975,3.7695767840517647e-08
1976,4.056604069324621e-08
1977,3.996211611623224e-08
1978,4.03960227490785e-08
1979,3.1600657757202555e-08
1980,3.2405357730525e-08
1981,3.479052068655619e-08
1982,3.1037512115972277e-08
1983,3.789189773062418e-08
1984,3.8273456071102885e-08
1985,6.677269670518626e-08
1986,3.0571875087037625e-08
1987,2.3221104705761775e-08
1988,3.058242348252804e-08
1989,3.128229630888768e-08
1990,3.4326502362791445e-08
1991,3.692722927439718e-08
1992,3.526364267258941e-08
1993,6.868617064004212e-08
1994,2.5319648377930548e-08
1995,3.6330419950214576e-08
1996,3.4163788686925045e-08
1997,3.404375137350257e-08
1998,2.670152354777855e-08
1999,2.9706308218857558e-08
2000,3.578605400900159e-08
2001,2.4534785397767322e-08
2002,2.4096718731492217e-08
2003,2.7084998965865026e-08
2004,3.4357370282123156e-08
2005,2.7472872976552765e-08
2006,3.335490778022532e-08
2007,3.994479425006858e-08
2008,3.618823674056415e-08
2009,4.52978303755458e-08
2010,5.054458473985335e-08
2011,6.730190582615592e-08
2012,9.66807758295829e-08
2013,6.944921521201408e-08
2014,8.445236523990651e-08
2015,8.28999217744597e-08
2016,7.228976453554914e-08
2017,8.376986038172163e-08
2018,8.131620221618618e-08
2019,7.448884420391266e-08
