year,en_ADP airs_NOUN,en_ADP paire_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,7.801356671777171e-09,1.3652374786232713e-08
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,3.1271653710973624e-08,0.0
1806,4.3225035994964855e-08,2.0171682990621775e-08
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,9.360507036149102e-09,0.0
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,2.9339290108509886e-08,0.0
1813,4.3136125782439194e-08,0.0
1814,0.0,0.0
1815,3.506390555685357e-08,5.394447111228828e-09
1816,1.228330006597389e-07,6.952811659743929e-09
1817,6.227493631882908e-09,1.0898113522728181e-08
1818,5.960588467246453e-09,1.1921177378582115e-09
1819,0.0,0.0
1820,2.0173018810965004e-08,2.3732962262101864e-09
1821,1.676452932031225e-08,1.97229765852569e-09
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,1.2847492847356534e-08,1.9765373782121287e-09
1824,1.7684335773537896e-08,1.6842225392110777e-09
1825,4.4027217427355936e-09,1.7610886082763955e-09
1826,7.0463874735082754e-09,1.3211976401805714e-08
1827,5.530363722527909e-09,9.217273055917019e-10
1828,1.0089530988466322e-08,2.7516904310687096e-09
1829,1.7146351893870815e-08,4.286588028978855e-09
1830,1.982998831806526e-08,3.1310507520032616e-09
1831,0.0,0.0
1832,2.976593194148336e-08,0.0
1833,2.085053074640797e-08,6.950177322551099e-09
1834,1.8669061851994684e-09,2.8003592777992026e-09
1835,6.050470346963266e-09,1.3613558280667348e-08
1836,1.1425274948351216e-08,6.720750067579218e-10
1837,2.5048407792382932e-08,6.957891041103892e-09
1838,2.1461350030449466e-08,9.468242634369517e-09
1839,5.2436064379435265e-08,4.894032845648155e-09
1840,7.0066574764382494e-09,5.732719632334238e-09
1841,1.733548060656176e-08,1.2841097074556274e-09
1842,6.708265054555795e-09,7.379091560011375e-09
1843,1.3585895075607368e-08,1.7720733214154905e-09
1844,1.0977122322231025e-08,2.195424508855126e-09
1845,5.580227835366713e-09,8.37034175305007e-09
1846,9.952652035849496e-09,1.4050803409659807e-08
1847,9.168480197274675e-09,1.6179670936367074e-09
1848,2.735375304041554e-08,8.045221711050488e-10
1849,6.703531951757213e-09,8.379414939696517e-10
1850,2.0366988096043315e-09,1.0183494048021657e-08
1851,3.8696632564949596e-09,1.483370937194195e-08
1852,5.859490670445666e-09,1.9531636308300904e-09
1853,1.1943863675867306e-09,4.180352286553557e-09
1854,7.27393034694046e-09,4.1565315633818045e-09
1855,1.2736649068756378e-08,2.1227748447927297e-09
1856,1.0872097000458325e-08,3.106313539724681e-09
1857,7.322263684272912e-09,7.322263684272912e-09
1858,2.4468379322684086e-08,8.319249178434518e-09
1859,1.3748867822016564e-08,2.5460866748261424e-09
1860,1.373155189554609e-08,3.661747127736703e-09
1861,1.2733101684148096e-08,3.301174722469824e-09
1862,1.0843167252971853e-08,2.7107918409985388e-09
1863,9.489779628779615e-09,1.4484400345793347e-08
1864,1.3904711160250827e-08,4.7947278369875335e-09
1865,7.530950973944073e-09,3.765475486972036e-09
1866,1.0704348518686402e-08,1.4596839292835284e-09
1867,2.426405742994575e-08,1.94112459439566e-09
1868,1.1855697756857353e-08,3.951899141263482e-09
1869,1.5627261262807224e-08,1.953407657850903e-09
1870,8.027668307875047e-09,1.1468097582678638e-09
1871,6.37270636261178e-09,2.8677177965619194e-08
1872,1.269941263259966e-08,3.0236697590169115e-09
1873,1.496501056408306e-08,2.3944017324417644e-09
1874,3.5847653734322193e-09,2.9873046258899194e-09
1875,6.293679799540541e-09,6.293679799540541e-09
1876,2.0556450763820067e-08,3.627608879952504e-09
1877,7.421779191219002e-09,1.8554447978047506e-09
1878,2.8383716710322915e-08,1.0266450800600069e-08
1879,5.498392852132383e-09,4.887460214320072e-09
1880,1.2193908105473383e-08,4.492492600149944e-09
1881,2.022027217885025e-08,2.0917522713936876e-09
1882,9.983077475794744e-09,3.3276925659464496e-09
1883,7.583206784733676e-09,9.479008689083912e-09
1884,1.9805090900604227e-08,1.9144920315739e-08
1885,1.6114089618213256e-08,1.353583467533781e-08
1886,1.5488312854472497e-08,7.744156427236248e-09
1887,1.8933882017790893e-08,9.140494583448344e-09
1888,6.974675947901687e-09,2.53624587998047e-08
1889,8.771191772893872e-09,6.891650250473447e-09
1890,1.1797895993481688e-08,9.831579994568074e-09
1891,1.1473596073230397e-08,9.561330394092238e-09
1892,1.0656471260972467e-08,1.6298132621272998e-08
1893,2.3401982574000613e-08,1.046930819814662e-08
1894,9.452309157609307e-09,1.0082462864602348e-08
1895,9.027921299420427e-09,1.805584282088546e-08
1896,1.4152869098893461e-08,8.845543353341867e-09
1897,1.6897470089816125e-08,1.2236098356765979e-08
1898,5.6583546736987955e-09,1.4145887128336199e-08
1899,1.1055156790007459e-08,1.2713430308508578e-08
1900,6.748368974740515e-09,1.7130475371551768e-08
