year,mon_DET otage_NOUN,mon_DET potage_NOUN
1800,3.144164484325529e-09,0.0
1801,1.904946067554647e-08,1.4287095950749062e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,3.315576790896557e-08
1804,4.943701892301533e-09,4.943701892301533e-09
1805,0.0,2.842877755426798e-08
1806,2.881669125542885e-09,4.3225035994964855e-08
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,0.0,3.852325747288887e-08
1809,0.0,1.581321384946932e-08
1810,0.0,7.020380277111826e-09
1811,0.0,1.2535384286138651e-08
1812,0.0,4.267533171287141e-08
1813,0.0,2.300593315851529e-08
1814,0.0,7.866692897096073e-08
1815,0.0,5.394447111228828e-09
1816,0.0,6.952811659743929e-09
1817,7.784366928831332e-09,0.0
1818,1.1921177378582115e-09,1.0729059418679299e-08
1819,5.175524897538253e-09,6.210630232317271e-09
1820,0.0,2.254631326081835e-08
1821,2.9584463767662328e-09,1.2819934447350079e-08
1822,2.0051231786055723e-09,2.5064039732569654e-08
1823,0.0,1.581229902569703e-08
1824,4.210556348027694e-09,2.947389532437228e-08
1825,2.641632912414593e-09,2.1133063299316746e-08
1826,8.807984341885344e-10,1.4973572604048968e-08
1827,1.8434546111834038e-09,1.0139000472531023e-08
1828,1.8344602503717056e-09,8.255071126672675e-09
1829,5.143905745796928e-09,2.571952872898464e-09
1830,6.262101504006523e-09,2.2961039292113128e-08
1831,0.0,2.0268567268999504e-08
1832,2.705993873419743e-09,1.6235963684607668e-08
1833,0.0,1.2741991461950875e-08
1834,2.8003592777992026e-09,8.401077833397608e-09
1835,4.5378527602224494e-09,1.5126175867408165e-08
1836,1.0753200108126748e-08,9.409049706032846e-09
1837,3.478945576063097e-09,1.6003149028165353e-08
1838,1.2624323808552163e-09,2.019891809368346e-08
1839,6.9914751765765e-10,9.788065469251706e-09
1840,7.0066574764382494e-09,1.1465439264668476e-08
1841,0.0,1.0914932957462042e-08
1842,0.0,1.7441490030023488e-08
1843,1.7720733769266417e-09,5.906910960362666e-09
1844,1.6465684371524958e-09,4.390849017710252e-09
1845,0.0,2.7901139176833567e-09
1846,1.1709002656346001e-09,8.781752214304106e-09
1847,0.0,4.314578916364553e-09
1848,8.045221711050488e-10,4.82713291560799e-09
1849,0.0,1.6758829879393033e-09
1850,1.3577992064028876e-09,5.431196825611551e-09
1851,0.0,1.7413483988093503e-08
1852,1.3021090872200602e-09,2.018269107395554e-08
1853,3.5831591027601917e-09,4.777545470346922e-09
1854,5.195664454227256e-10,1.8184826089395756e-08
1855,2.653468555990912e-09,6.8990182455763716e-09
1856,0.0,7.248064815001953e-09
1857,3.4170564155999728e-09,1.610898081594314e-08
1858,2.4468380654951716e-09,2.5936483183386372e-08
1859,5.092173349652285e-10,1.5785736939832873e-08
1860,4.577183909670879e-10,8.696649622663699e-09
1861,5.187560159214399e-09,1.744906619194353e-08
1862,9.939570055905733e-09,2.1234535962921797e-08
1863,4.994620828036034e-10,1.4484400345793347e-08
1864,2.3973640850272204e-09,7.671564605793435e-09
1865,2.8241067262513297e-09,1.0825742080555756e-08
1866,4.865612912574591e-10,9.731225603104576e-09
1867,4.85281148598915e-10,1.2132028714972876e-08
1868,0.0,1.3831646938911035e-08
1869,2.441759683335931e-09,1.3673853160867111e-08
1870,1.1468097582678638e-09,9.17447806614291e-09
1871,0.0,4.248470908407853e-09
1872,6.047339295989218e-10,1.3908880269752899e-08
1873,2.9930022904522957e-09,4.190203295451056e-09
1874,1.7923826867161097e-09,4.779687312606029e-09
1875,5.721527251978387e-09,1.0298748520654044e-08
1876,6.04601479992084e-10,6.04601479992084e-09
1877,6.184815992682502e-10,1.793596560162314e-08
1878,0.0,1.268208649207736e-08
1879,6.10932526790009e-10,4.27652757650776e-09
1880,4.492492600149944e-09,2.5029599726167362e-08
1881,6.972507571312292e-10,4.880755410940907e-09
1882,2.6621540527571597e-09,6.655385131892899e-09
