year,ton_DET or_NOUN,ton_DET port_NOUN
1800,8.489243885634323e-08,3.144164484325529e-09
1801,5.000483582762172e-08,2.6193008650921e-08
1802,8.727576528144709e-08,0.0
1803,1.677291692203653e-07,7.801356893821776e-09
1804,1.038177401824214e-07,1.3842365897964726e-07
1805,1.5635827521620627e-07,0.0
1806,5.187004248341509e-08,2.881669125542885e-09
1807,1.2526602510831708e-07,1.4234775136401367e-08
1808,4.5321478125970316e-08,9.064295980465431e-09
1809,5.1957703028904234e-08,4.518061036407062e-09
1810,2.574139346123161e-08,5.616304266098382e-08
1811,1.0279014617253779e-07,0.0
1812,5.3344165529267684e-08,8.00162425207418e-09
1813,8.339650747757332e-08,2.0130190847567064e-08
1814,6.293354370967563e-08,1.2586708120210233e-08
1815,4.8550024445148665e-08,1.0788894222457657e-08
1816,4.4034472068688046e-08,6.952811659743929e-09
1817,3.580808893843823e-08,2.1796227045456362e-08
1818,7.629553699928238e-08,9.536941902865692e-09
1819,6.003609098748086e-08,3.1053151161586356e-08
1820,6.76389415588119e-08,1.6613073583471305e-08
1821,1.4003314019461754e-07,9.861488514673056e-09
1822,7.21844344298006e-08,1.5038423839541792e-08
1823,6.917880635004536e-08,6.917880934764753e-09
1824,7.242156652154108e-08,4.210556436845536e-08
1825,7.220463604795668e-08,2.8177417732422327e-08
1826,5.196710661792281e-08,1.0569581432307018e-08
1827,4.7929820112813104e-08,9.217273166939322e-09
1828,1.0915038473058303e-07,9.172301140836225e-09
1829,5.572564276690173e-08,9.430493552731178e-09
1830,4.696576283436116e-08,2.087367234615556e-08
1831,1.1225668572478753e-07,1.091384405071949e-08
1832,7.441482807735156e-08,2.0294953273491956e-08
1833,1.1699465041203894e-07,1.5058717495186613e-08
1834,1.0267983929779234e-07,2.6136686370747952e-08
1835,6.958040899007756e-08,1.8151411040889798e-08
1836,1.1694105372939134e-07,2.0162249814159594e-08
1837,7.862416850912268e-08,1.669893889832963e-08
1838,4.1660269900489766e-08,1.5780404760690203e-08
1839,9.50840624014404e-08,1.7478688718597368e-08
1840,5.6690229399691816e-08,1.5924221219432155e-08
1841,7.255219980351058e-08,2.0545755319290038e-08
1842,9.056157512787877e-08,1.8112315203211438e-08
1843,1.1636614738463891e-07,1.594866022580632e-08
1844,4.8299337418455934e-08,8.232841963717874e-09
1845,7.644912036752771e-08,1.9530798145428463e-08
1846,8.196302081486806e-08,1.4636253542477107e-08
