year,un_DET âge_NOUN,un_DET age_NOUN,un_DET page_NOUN
1800,7.294461738638347e-06,8.174827748064217e-08,3.4900226841827475e-07
1801,8.181743396562524e-06,7.619784492263193e-08,7.810279119002672e-07
1802,8.45455997477984e-06,6.042168365638645e-08,4.6547074816771783e-07
1803,9.960382158169523e-06,5.460949870084164e-08,2.906005454050842e-07
1804,1.0334808393963613e-05,9.640218401330003e-08,5.808849596888876e-07
1805,1.1289067515463103e-05,7.391482181873243e-08,8.187487612332234e-07
1806,8.495160727761686e-06,8.645007198992971e-08,8.212756856806891e-07
1807,9.252604286302812e-06,9.39495183871486e-08,4.612067296960731e-07
1808,9.485785994911566e-06,6.571614541428517e-08,6.798221976467289e-07
1809,8.882508154783864e-06,9.713831516933169e-08,7.838835840434655e-07
1810,1.1286431799817365e-05,8.892481462297042e-08,7.558609667057681e-07
1811,1.05823710327968e-05,7.019815129183371e-08,6.693894896159236e-07
1812,9.641958058637101e-06,9.068507988985175e-08,5.121039938771332e-07
1813,1.2713653632090427e-05,8.627224801216471e-08,7.764502678586638e-07
1814,8.448828339169268e-06,6.608022040666128e-08,5.569618517498043e-07
1815,9.923085599439219e-06,6.203614222322074e-08,6.554253459967185e-07
1816,8.894963684724644e-06,2.7811246638975717e-08,3.522757925367159e-07
1817,8.732503374631051e-06,5.7604314207537755e-08,7.36401114309615e-07
1818,9.080360541702248e-06,5.960588644882137e-08,6.36590858471564e-07
1819,9.154468898486812e-06,1.0247539727892274e-07,6.117470334743302e-07
1820,8.34688307804754e-06,7.00122386732005e-08,1.236487318756474e-06
1821,1.008632989396574e-05,9.269799050581895e-08,9.900934569984088e-07
1822,9.08120273379609e-06,7.920236555492011e-08,8.421517492251951e-07
1823,7.838947567506693e-06,4.348382187657762e-08,8.400283801890396e-07
1824,8.336901373695582e-06,6.568467902923203e-08,6.450572032079549e-07
1825,8.715627700439654e-06,5.19521154984659e-08,1.3084887968695114e-06
1826,7.391660346911522e-06,5.284790449699983e-08,8.869640283348801e-07
1827,8.119495760183781e-06,7.189472900348548e-08,5.917489414031252e-07
1828,7.648782229807694e-06,8.255070815810228e-08,7.924868441477884e-07
1829,8.115368473227136e-06,6.687077558353849e-08,8.427431978930144e-07
1830,8.059324500209186e-06,5.740259645392598e-08,1.064557262342447e-06
1831,7.2171692409028765e-06,6.23648233055718e-08,6.704218860065225e-07
1832,7.793262739141937e-06,6.629685089798443e-08,8.415640908587818e-07
1833,8.391180926992092e-06,1.494288071057781e-07,7.367187491169602e-07
1834,7.266932243510382e-06,6.81420757597806e-08,9.175843977970999e-07
1835,7.570651177957188e-06,1.0512692227848675e-07,9.506801319503211e-07
1836,7.702651600993704e-06,1.1425274804022223e-07,9.906385702862508e-07
1837,7.799795639584772e-06,8.975679044453955e-08,9.587973968105956e-07
1838,7.127061962819425e-06,7.132742729787367e-08,1.0440315536541789e-06
1839,7.4004765338031575e-06,8.389770478345326e-08,7.66265703777691e-07
