year,un_DET air_NOUN,un_DET père_NOUN
1800,3.1539114957013226e-05,1.2079880235660312e-05
1801,2.9183774074681423e-05,1.2227372479856058e-05
1802,2.820126178448845e-05,1.2856391919058296e-05
1803,3.28456627585183e-05,1.3718686204811092e-05
1804,3.575037993641672e-05,2.134937571440787e-05
1805,3.487073780661376e-05,1.7858956880445476e-05
1806,3.055722015687934e-05,1.410000692203539e-05
1807,2.429306718454427e-05,1.6276042344998132e-05
1808,2.6828049868754533e-05,1.816711528590531e-05
1809,2.871905564916233e-05,1.562797348242384e-05
1810,4.341403035823532e-05,2.0632897758332547e-05
1811,3.0200246897038596e-05,1.2838740531151416e-05
1812,2.5333143298666982e-05,1.6029921681592896e-05
1813,3.3326970822145086e-05,1.8007894965421656e-05
1814,2.6513900877489505e-05,1.2797535589470499e-05
1815,2.3487422566859095e-05,1.3014103956265899e-05
1816,2.6483259148335492e-05,1.2077033773039147e-05
1817,2.63189456291002e-05,1.3494978304606775e-05
1818,2.873718946716508e-05,1.4717885733261937e-05
1819,2.4065156139840838e-05,1.7716856802962866e-05
1820,2.803930794925691e-05,1.4821234913142689e-05
1821,3.1554789529764093e-05,1.8106678965068568e-05
1822,2.90572434380465e-05,1.794585205061594e-05
1823,2.759740365831931e-05,1.538635490305751e-05
1824,2.4607332676396254e-05,1.4926422437611109e-05
1825,2.7951998561093205e-05,1.48996899724807e-05
1826,2.211420704156808e-05,1.4549028492183425e-05
1827,1.9799625064820248e-05,1.656712649378278e-05
1828,2.5229331214404738e-05,1.3950153004316235e-05
1829,2.8438082637194384e-05,1.3570480291491549e-05
1830,2.8202417325928764e-05,1.3022039979659894e-05
1831,2.4743244182445778e-05,1.1342602647346212e-05
1832,2.7678257595198374e-05,1.2452984208266571e-05
1833,2.8152851399454448e-05,1.134848068318206e-05
1834,2.4972671269551938e-05,1.2575480070609046e-05
1835,3.5641052249957283e-05,1.1992788699899393e-05
1836,2.651873523973336e-05,1.1798276716490363e-05
1837,2.4754087718292794e-05,9.546922143499614e-06
1838,2.219482431087272e-05,1.051543085850426e-05
1839,2.432054471057654e-05,9.846793204815185e-06
1840,2.5315690649563294e-05,1.032590219551821e-05
1841,2.1713653779897868e-05,1.0626008020153677e-05
1842,2.5270704668400867e-05,1.0764752630620933e-05
1843,2.5331198287403822e-05,1.149721174442675e-05
1844,2.3661187839252307e-05,1.1715334039763547e-05
1845,2.451003473424862e-05,1.1015369636879768e-05
1846,2.186480668342483e-05,1.0033444368673372e-05
1847,1.578380854994066e-05,9.623668063341029e-06
1848,1.847504712770842e-05,8.593101142650994e-06
1849,1.6754639375449187e-05,8.465723112749401e-06
1850,1.928482288349187e-05,9.930943690505956e-06
1851,1.788106975197934e-05,9.123375946273882e-06
1852,1.9730208109081104e-05,1.0424685001453327e-05
1853,2.2908330208792904e-05,1.0134368494618684e-05
1854,2.0007464314630852e-05,1.2404129449805623e-05
1855,2.352989844212061e-05,1.1812711591119296e-05
1856,2.1180916718321896e-05,1.2347596339168376e-05
1857,2.4517379443977916e-05,9.822083995914e-06
1858,2.46998507122953e-05,1.0102015778556961e-05
1859,2.4695004597674597e-05,1.0464925765063526e-05
1860,2.4408291039890173e-05,1.0401192696463113e-05
1861,2.2439498692961024e-05,1.0281272750489734e-05
1862,2.0613763794585793e-05,1.0060199997496966e-05
1863,2.1721606714208974e-05,1.0793875333092728e-05
1864,2.1351882665499033e-05,1.122254008123491e-05
1865,2.2113225568887174e-05,1.0457196140123415e-05
1866,2.1114326898441504e-05,1.0430901056679431e-05
1867,2.1764374352528648e-05,9.542568705001031e-06
1868,1.992794636862527e-05,8.599332971925833e-06
1869,2.50837080244537e-05,1.0074211331811966e-05
1870,2.09889112881001e-05,9.870017834145983e-06
1871,2.01069500462836e-05,7.382780296438796e-06
1872,2.1711157586423724e-05,9.178651964703022e-06
1873,1.8843342772356664e-05,8.366039651264146e-06
1874,2.2388652652693963e-05,7.423451990007379e-06
1875,2.1245746324893844e-05,9.590996228325821e-06
1876,2.011146435165756e-05,7.97287998466345e-06
1877,2.215895831625403e-05,9.021172758139073e-06
1878,1.896938061918263e-05,8.837602365474595e-06
1879,2.147794315021656e-05,8.598264571446634e-06
1880,1.945505873379716e-05,8.289290349239309e-06
1881,2.04810446433612e-05,7.792474463030885e-06
1882,2.0781439602046703e-05,7.920573750652693e-06
1883,1.929357392782549e-05,7.5364434337643615e-06
1884,2.0509492458131717e-05,7.723325154529448e-06
1885,1.8393266913108164e-05,6.8188378747890965e-06
1886,1.7636026484524336e-05,7.23239693911637e-06
1887,1.7835063403026652e-05,7.017287998678512e-06
1888,1.7643394585320493e-05,7.220692225473613e-06
1889,1.7111341108488887e-05,7.735564395261463e-06
1890,1.6275197523896168e-05,7.470689553201737e-06
1891,1.6628427616183217e-05,6.815953526029261e-06
1892,1.5423674184944502e-05,6.95554129492848e-06
1893,1.481714993190053e-05,6.954083886512308e-06
1894,1.569272407664357e-05,5.8030875322856446e-06
1895,1.5525617072853493e-05,6.418250478645859e-06
1896,1.4793286666758831e-05,6.366432387494569e-06
1897,1.3938081778519518e-05,6.051042163335296e-06
1898,1.3961990276811775e-05,6.603865926990693e-06
1899,1.5758573226776207e-05,6.124003988361437e-06
1900,1.5428328921984757e-05,5.902746636365919e-06
1901,1.3971288638003898e-05,5.646302952300175e-06
1902,1.1476806619725721e-05,5.02813068692376e-06
1903,1.3185177763830325e-05,5.7442142633590265e-06
1904,1.2110643297091883e-05,5.382149680599468e-06
1905,1.2142749923782503e-05,5.585489532222709e-06
1906,1.3283313492706839e-05,5.649343648883587e-06
1907,1.2883337106472936e-05,5.777984597443719e-06
1908,1.3774972487112791e-05,5.94327175917897e-06
1909,1.504739084623452e-05,5.816740042519086e-06
1910,1.671062418040492e-05,5.943229922422688e-06
1911,1.3323812723342598e-05,5.650769480780582e-06
1912,1.3645037213905198e-05,5.991355436663071e-06
1913,1.4613448968248122e-05,5.883136736883898e-06
1914,1.374104839158008e-05,5.861659730044266e-06
1915,1.1356654525229715e-05,4.984440295174863e-06
1916,1.1479700447125651e-05,5.421213614908993e-06
1917,1.2827426701278455e-05,5.082937832412426e-06
1918,1.3087577485748625e-05,4.990830348106101e-06
1919,1.4362401714151929e-05,5.0753660048030724e-06
1920,1.5164908489850859e-05,5.080967724779839e-06
1921,1.5552909076177457e-05,4.901081922525918e-06
1922,1.7338148865064795e-05,5.402862171877132e-06
1923,1.7457926446695637e-05,6.122217115489548e-06
1924,1.6222821102473972e-05,5.64008590231424e-06
1925,1.7909432244778145e-05,5.6189689985330915e-06
1926,1.7172856075831078e-05,5.428169458809862e-06
1927,2.3597334376290746e-05,5.893480391705452e-06
1928,1.667287932605177e-05,5.51192238162912e-06
1929,1.805191473636114e-05,5.678265182496034e-06
1930,1.5514872444555294e-05,5.262305450060012e-06
1931,1.3473148243292599e-05,4.946503224800836e-06
1932,1.473728892165127e-05,4.876993841662625e-06
1933,1.3357585928019944e-05,4.542382285421809e-06
1934,1.349245724213688e-05,4.972355895915825e-06
1935,1.4838278360684853e-05,4.8303994333309674e-06
1936,1.2701850693019878e-05,4.720151281389917e-06
1937,1.310609464155732e-05,4.204174416599926e-06
1938,1.3181733834244369e-05,4.597465220967933e-06
1939,1.3350176260473745e-05,4.335863309279375e-06
1940,1.0624929984714981e-05,4.701341723034602e-06
1941,1.530058963794545e-05,5.566533985756905e-06
1942,1.3041042009831472e-05,5.2400835386379185e-06
1943,1.6551344515391975e-05,5.434856177544134e-06
1944,1.5567886464395997e-05,5.873704367331811e-06
1945,1.981567294251363e-05,5.073735991345529e-06
1946,1.7207877675673444e-05,5.345704153114639e-06
1947,1.791945305740228e-05,5.227301954846553e-06
1948,1.6742707515504662e-05,4.866257114599648e-06
1949,1.641305571808971e-05,4.977223056812363e-06
1950,1.552550067174252e-05,5.768619956825205e-06
1951,1.6365251013894522e-05,4.893583280818348e-06
1952,1.5768699569207456e-05,4.516339572546713e-06
1953,1.4376594833720446e-05,4.602578883350361e-06
1954,1.75143399587796e-05,5.1950801207567565e-06
1955,1.3482425316624358e-05,4.975310730515048e-06
1956,1.605649313773938e-05,5.1637878755173006e-06
1957,1.4166099816748101e-05,5.002398467013336e-06
1958,1.3793965564445898e-05,4.900477136970949e-06
1959,1.3715722985807588e-05,4.831816227124364e-06
1960,1.7021790455373775e-05,5.504138641754253e-06
1961,1.5989798640703157e-05,5.368148066509093e-06
1962,1.557901660476091e-05,5.444569467272231e-06
1963,1.532713233132199e-05,5.5666253331310145e-06
1964,1.3951147934676555e-05,5.572915114271382e-06
1965,1.343113055440881e-05,5.377924281901869e-06
1966,1.70730893671589e-05,5.409460442251657e-06
1967,1.518641997222403e-05,5.541204302517144e-06
1968,1.543564914641138e-05,6.124494689174753e-06
1969,1.3014861082183415e-05,5.245276241794272e-06
1970,1.1234225553380384e-05,5.413619135197223e-06
1971,1.257520048625338e-05,5.462630326746876e-06
1972,1.3318886857405232e-05,5.3143193099458585e-06
1973,1.0676870488168788e-05,4.778293543949985e-06
