year,en_ADP artère_NOUN,en_ADP parterre_NOUN
1800,1.8864987794131594e-08,1.5720821977538435e-08
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,1.5602713787643552e-08,1.950339223455444e-09
1804,0.0,4.943701892301533e-09
1805,0.0,8.528632911009026e-09
1806,0.0,8.645007376628655e-09
1807,2.8469551160981155e-09,3.131650672116848e-08
1808,0.0,1.1330369531492579e-08
1809,2.9367397402779716e-08,0.0
1810,0.0,1.6380887313260928e-08
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,5.3344164641089264e-09,1.0668832928217853e-08
1813,5.751483289628823e-09,0.0
1814,7.237357380063258e-08,0.0
1815,1.0788894222457657e-08,2.4275012222574333e-08
1816,0.0,3.0128852301913867e-08
1817,2.9580593974287694e-08,0.0
1818,1.3113295338484932e-08,7.152706427149269e-09
1819,5.175524897538253e-09,1.3456364911235141e-08
1820,1.3053129244156025e-08,2.3732962262101864e-09
1821,1.1833785507064931e-08,1.97229765852569e-09
1822,2.3058916553964082e-08,9.023054303725075e-09
1823,5.336650943377208e-08,2.3718449426723964e-08
1824,2.105278085196005e-08,1.431589158329416e-08
1825,1.2327619813845558e-08,2.0252519661312363e-08
1826,3.435113882233054e-08,1.0569580766173203e-08
1827,4.2399456390285195e-08,1.1982455028203276e-08
1828,3.668920500743411e-09,1.1006761724274838e-08
1829,3.429270423183084e-09,1.3717081692732336e-08
1830,1.3567886369969528e-08,0.0
1831,0.0,4.677361609140007e-09
1832,2.705993873419743e-09,2.4353944638733083e-08
1833,2.548398292390175e-08,1.7375443306377747e-08
1834,8.401078055442213e-09,1.213489042584115e-08
1835,2.2689263801112247e-08,3.327758690829796e-08
1836,6.72075017860152e-09,6.72075017860152e-09
1837,1.530736071231331e-08,9.045257876039159e-09
1838,1.009945904684173e-08,5.049729523420865e-09
1839,2.586845759822154e-08,3.4957374772659477e-09
1840,3.821813088222825e-09,1.8472096741106725e-08
1841,3.852329122366882e-09,7.0626033910059505e-09
1842,1.341653010911159e-09,1.341653010911159e-08
1843,3.36693943836508e-08,7.678984559333912e-09
1844,9.330554107123135e-09,1.920996517412732e-08
1845,1.4508592549589139e-08,1.2834524554250493e-08
1846,2.1661655580373917e-08,1.5221703009160592e-08
1847,1.833696039454935e-08,1.294373674909366e-08
1848,3.218088684420195e-09,1.126331028444838e-08
1849,1.256912263158938e-08,1.6758828991214614e-08
1850,4.752297222410107e-09,9.504594444820214e-09
1851,2.7087642351375507e-08,3.224719336003545e-08
1852,1.9531636752390114e-08,2.018269107395554e-08
1853,7.166318205520383e-09,1.3735443005202796e-08
1854,2.338049043260071e-08,1.9223959313308114e-08
1855,2.4942604426314574e-08,1.8574279891936385e-08
