year,en_ADP âge_NOUN,en_ADP age_NOUN,en_ADP pages_NOUN
1800,4.2100364225916564e-06,1.19478254401173e-07,1.5720821977538435e-08
1801,5.441002031147946e-06,4.0480102825313224e-08,2.1430643926123594e-08
1802,4.701701982412487e-06,2.9091921760482364e-08,6.265952379180817e-08
1803,5.601374141406268e-06,6.4361191931539e-08,5.851017670366332e-09
1804,5.465262347570388e-06,6.673997310358004e-08,1.2359254952798437e-08
1805,6.021215085638687e-06,3.4114532976303735e-08,1.1371510844071508e-08
1806,4.4752323447028175e-06,9.509507847837995e-08,2.1900685620579452e-07
1807,4.714557690022048e-06,5.124519120158766e-08,1.9928686700865228e-08
1808,4.844865998165915e-06,6.571614541428517e-08,6.798221985349073e-09
1809,5.209324172028573e-06,3.614448895739031e-08,4.066255088197579e-08
1810,5.553120900003705e-06,5.148278958699848e-08,3.7442028144596406e-08
1811,6.355439381877659e-06,4.011322829455821e-08,6.267692143069326e-08
1812,5.7131601352011785e-06,4.800974817698034e-08,8.00162425207418e-09
1813,5.426524694485124e-06,7.764502640839055e-08,2.300593315851529e-08
1814,4.679108769778395e-06,1.1957373402537996e-07,5.034683381310856e-08
1815,5.9824419622600544e-06,9.979726955933188e-08,2.6972235112054932e-08
1816,4.704736056737602e-06,2.7811246638975717e-08,4.8669679841850666e-08
1817,5.699713710782817e-06,6.227493631882908e-08,3.2694342011474475e-08
1818,5.396716915129218e-06,3.337929710411913e-08,2.384235386898581e-08
1819,5.5398818403773475e-06,3.726378050572521e-08,5.796588009587822e-08
1820,5.395689186116215e-06,1.0917162995838225e-07,3.5599445169509636e-08
1821,5.794610387965804e-06,1.6271455649530253e-07,2.859831660373402e-08
1822,5.358691851142794e-06,3.709477880420309e-08,4.411270992932259e-08
1823,4.653757059713826e-06,4.743689674402418e-08,1.8085316533245077e-07
1824,5.1132997214153875e-06,4.968456579490521e-08,2.778967189698278e-08
1825,5.177600542083383e-06,8.012952967817455e-08,4.93104805654454e-07
1826,5.237227469478967e-06,3.5231937256519075e-08,2.730475250345421e-07
1827,4.344100943853846e-06,5.622536392024813e-08,3.3182183667435083e-08
1828,4.391697984829079e-06,6.51233387216621e-08,1.9261832573391757e-08
1829,4.560072284220951e-06,4.9724419248775575e-08,4.200856285052623e-08
1830,4.086021363036707e-06,3.6528926106171866e-08,2.922313946385202e-08
1831,3.872855813824572e-06,7.639691101957169e-08,2.8064170543018463e-08
1832,4.5108918129699305e-06,4.7354892895867806e-08,1.461236635025287e-07
1833,4.610284122463781e-06,1.0888610679771205e-07,7.876867158529421e-08
1834,3.896233010891592e-06,4.480574977705487e-08,1.092140116121243e-07
1835,4.853990049014101e-06,5.142899794918776e-08,1.4748022181265696e-07
1836,4.899426585325273e-06,7.728862810862935e-08,7.728862572164985e-08
1837,4.727886789623881e-06,6.192522983283766e-08,1.3846203072986896e-07
1838,4.5106708057574e-06,7.258986212121954e-08,2.3354999711955315e-08
1839,4.505306606006343e-06,8.11011120482874e-08,3.8453113582193055e-08
1840,4.551779511530185e-06,7.516232763959962e-08,7.707323107508657e-08
1841,4.6041755012993235e-06,9.117178922934954e-08,4.044945578485226e-08
1842,4.3154268496437e-06,6.976595834373711e-08,5.0311987020990045e-08
1843,4.632199761545053e-06,6.084118464588784e-08,6.497601878763248e-08
1844,4.046716185257537e-06,5.817875081692847e-08,5.488561360955657e-08
1845,4.081378847331507e-06,6.696273535666819e-08,6.417262388147549e-08
1846,4.122154223296093e-06,9.015932223022105e-08,7.610851726624901e-08
1847,4.080513008375419e-06,5.716817241818717e-08,6.202207192274045e-08
1848,3.5801235753751826e-06,6.677534170052013e-08,9.091100761082771e-08
1849,3.713756768775056e-06,7.457679385147742e-08,8.882179614033703e-08
1850,3.661305527202785e-06,7.535785506718184e-08,8.7578046148451e-08
1851,3.5117193419864634e-06,6.320449852381671e-08,9.029213932087998e-08
1852,4.030027412227355e-06,1.0547083917344935e-07,7.291810932841258e-08
1853,3.882950295519549e-06,8.480143276479168e-08,1.230218023007268e-07
1854,4.1134076127491426e-06,9.144369528257812e-08,1.4963513700338993e-07
1855,3.97330359191983e-06,6.63367138997728e-08,4.574579719474059e-07
