year,en_ADP athée_NOUN,en_ADP pâtés_NOUN
1800,4.7162467708972144e-08,9.432493897065797e-09
1801,2.3811825844433088e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,0.0,1.950339223455444e-09
1804,2.9662212241987618e-08,2.4718509461507665e-09
1805,8.528632911009026e-09,0.0
1806,0.0,1.729001475325731e-08
1807,3.131650672116848e-08,5.693910232196231e-09
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,2.3401267590372754e-09
1811,0.0,1.0028307073639553e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,5.394447111228828e-09
1816,3.7081662185300956e-08,0.0
1817,0.0,3.113746815941454e-09
1818,2.384235386898581e-08,9.536941902865692e-09
1819,3.726378139390363e-08,2.070210003424222e-09
1820,9.493184904840746e-09,2.3732962262101864e-09
1821,2.465372084259343e-08,5.9168927535324656e-09
1822,9.023054303725075e-09,1.5038423839541792e-08
1823,6.917880934764753e-09,1.9765373782121287e-09
1824,1.3473780313688621e-08,0.0
1825,1.8491430608946757e-08,3.522177216552791e-09
1826,1.7615968683770689e-09,3.5231937367541377e-09
1827,1.8434546333878643e-08,1.474763688946723e-08
1828,8.255071126672675e-09,9.172301251858528e-10
1829,3.429270423183084e-09,0.0
1830,7.305785310052215e-09,7.305785310052215e-09
1831,2.3386808933878456e-08,0.0
1832,2.705993873419743e-09,5.411987746839486e-09
1833,2.20088942626262e-08,6.950177322551099e-09
1834,4.667265685043276e-09,1.213489042584115e-08
1835,6.050470346963266e-09,9.075705520444899e-09
1836,1.1425274948351216e-08,1.6129799718100912e-08
1837,5.5663127440652715e-09,1.1828414692161004e-08
1838,7.574594285131298e-09,8.837027110075724e-09
1839,1.5381244722334486e-08,9.788065469251706e-09
1840,2.165694112932215e-08,9.554533164646273e-09
1841,1.4767261191650505e-08,3.852329122366882e-09
1842,1.6770663080478698e-08,1.0062397137744483e-08
1843,3.2488010504039266e-08,4.134837805480629e-09
1844,1.4270259640625227e-08,4.9397050894128824e-09
1845,2.511102614732863e-08,1.3950569588416784e-08
1846,1.1709002656346001e-08,2.9272506640865004e-09
1847,1.1865092020002521e-08,6.47186837454683e-09
1848,1.850401076808339e-08,3.218088684420195e-09
1849,5.02764896381791e-09,1.5920887719289567e-08
1850,9.504594444820214e-09,1.3577992064028876e-09
1851,1.1608989325395669e-08,7.739326512989919e-09
1852,2.278690836021724e-08,3.2552727180501506e-09
1853,1.4929829372789527e-08,2.9859659189668264e-09
1854,1.0910895298366086e-08,7.27393034694046e-09
1855,1.6982198758341838e-08,6.8990182455763716e-09
1856,1.2425253714809514e-08,7.248064815001953e-09
1857,1.610898081594314e-08,9.274867096564776e-09
1858,1.663849857891364e-08,1.1255455234504552e-08
1859,2.7497735644033128e-08,9.675129142294736e-09
1860,3.661747127736703e-09,1.6020143434047895e-08
1861,5.187560159214399e-09,5.187560159214399e-09
1862,1.9879140111811466e-08,1.3102160245637151e-08
1863,7.991393324857654e-09,1.4983863039219614e-08
1864,2.3014694150447212e-08,6.712618905169165e-09
1865,1.97687466396701e-08,1.3649848362717876e-08
1866,1.9462451206209153e-08,1.0704348518686402e-08
1867,2.329349513274792e-08,9.220341823379385e-09
1868,1.0867722721741302e-08,9.385760613156435e-09
1869,8.30198221279943e-09,8.790334682373668e-09
1870,9.17447806614291e-09,1.0894693147633916e-08
1871,1.0621177271019633e-08,3.18635318130589e-09
1872,9.071008832961525e-09,3.628403577593531e-09
1873,1.5563610844537834e-08,8.380406590902112e-09
1874,9.559374625212058e-09,8.364453130127458e-09
1875,9.7265964171811e-09,3.032409523484603e-08
1876,1.813804484385173e-08,1.813804395567331e-08
1877,1.9172929910382663e-08,1.1132669008873108e-08
1878,2.113680963589104e-08,6.6429977074733415e-09
1879,1.5273313280772527e-08,8.55305515301552e-09
1880,2.4387816210946767e-08,8.343199908722454e-09
1881,1.1853263259808955e-08,4.8807553554297556e-09
1882,1.1314154946262533e-08,7.986462158271479e-09
1883,1.0110942305630033e-08,1.2638677659992936e-08
1884,1.650424152899177e-08,1.1883054540362536e-08
1885,7.7347630522695e-09,3.2228177904158883e-09
1886,1.2906927304712212e-08,1.0325542199041138e-08
1887,1.566941915109865e-08,3.9173548849191775e-09
1888,1.521747483579361e-08,1.6485598663962264e-08
1889,1.2530273707511697e-08,1.8795409673089125e-08
1890,1.1797895382859025e-08,1.9663159989136147e-08
1891,7.649063604731055e-09,1.0836173736095134e-08
1892,1.817868522380195e-08,2.0686091062316336e-08
1893,9.853466487186324e-09,1.0469308087124318e-08
1894,1.1342770278588432e-08,9.452309157609307e-09
