year,en_ADP athée_NOUN,en_ADP pâté_NOUN
1800,4.7162467708972144e-08,2.829747991484055e-08
1801,2.3811825844433088e-09,2.3811825400343878e-08
1802,1.1189200677108602e-08,2.6854081625060644e-08
1803,0.0,9.751696339321825e-09
1804,2.9662212241987618e-08,7.415553038292444e-08
1805,8.528632911009026e-09,8.528632911009026e-09
1806,0.0,0.0
1807,3.131650672116848e-08,1.7081731584767113e-08
1808,9.064295980465431e-09,3.172503681980743e-08
1809,0.0,4.518061036407062e-09
1810,2.3401267590372754e-09,3.042164919975221e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,1.150296680130225e-08
1814,0.0,9.440030979135372e-09
1815,5.394447111228828e-09,1.294667271167782e-07
1816,3.7081662185300956e-08,4.6352077731626196e-09
1817,0.0,6.227493631882908e-09
1818,2.384235386898581e-08,3.5763532135746345e-09
1819,3.726378139390363e-08,2.070210003424222e-09
1820,9.493184904840746e-09,4.746592452420373e-09
1821,2.465372084259343e-08,1.0847637454958203e-08
1822,9.023054303725075e-09,9.023054303725075e-09
1823,6.917880934764753e-09,4.941343334508019e-09
1824,1.3473780313688621e-08,2.5263338088166165e-09
1825,1.8491430608946757e-08,1.8491430608946757e-08
1826,1.7615968683770689e-09,1.5854372037438225e-08
1827,1.8434546333878643e-08,8.295545583791863e-09
1828,8.255071126672675e-09,1.3758452155343548e-08
1829,3.429270423183084e-09,6.858540846366168e-09
1830,7.305785310052215e-09,5.218417697960831e-09
1831,2.3386808933878456e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,4.058990921151917e-09
1833,2.20088942626262e-08,1.9692167896323554e-08
1834,4.667265685043276e-09,1.4935249481595747e-08
1835,6.050470346963266e-09,2.949604294144592e-08
1836,1.1425274948351216e-08,4.704525125021064e-08
1837,5.5663127440652715e-09,8.349468672008697e-09
1838,7.574594285131298e-09,4.797243136067664e-08
1839,1.5381244722334486e-08,1.1885507689157748e-08
1840,2.165694112932215e-08,9.554533164646273e-09
1841,1.4767261191650505e-08,7.0626033910059505e-09
1842,1.6770663080478698e-08,1.1404051036834062e-08
1843,3.2488010504039266e-08,4.7255288571079745e-09
1844,1.4270259640625227e-08,9.879410178825765e-09
1845,2.511102614732863e-08,2.3436957263811564e-08
1846,1.1709002656346001e-08,9.952652035849496e-09
1847,1.1865092020002521e-08,1.6718992412734224e-08
1848,1.850401076808339e-08,1.769948809737798e-08
1849,5.02764896381791e-09,1.4245005175439474e-08
1850,9.504594444820214e-09,2.7155984128057753e-09
1851,1.1608989325395669e-08,1.7413483988093503e-08
1852,2.278690836021724e-08,7.161600201754936e-09
1853,1.4929829372789527e-08,1.911018188138769e-08
1854,1.0910895298366086e-08,1.454786069388092e-08
1855,1.6982198758341838e-08,1.5920811335945473e-08
1856,1.2425253714809514e-08,3.6240324075009767e-09
1857,1.610898081594314e-08,1.3180074809326925e-08
1858,1.663849857891364e-08,1.565976326389773e-08
1859,2.7497735644033128e-08,2.7497735644033128e-08
1860,3.661747127736703e-09,2.654766717569146e-08
1861,5.187560159214399e-09,9.431927239234028e-09
1862,1.9879140111811466e-08,1.3102160245637151e-08
1863,7.991393324857654e-09,2.1476870060155306e-08
1864,2.3014694150447212e-08,4.794728170054441e-09
1865,1.97687466396701e-08,1.4120533187167439e-08
1866,1.9462451206209153e-08,1.4596838404656864e-08
1867,2.329349513274792e-08,1.1161466417775046e-08
1868,1.0867722721741302e-08,2.2723421366777075e-08
1869,8.30198221279943e-09,9.278686263769487e-09
1870,9.17447806614291e-09,1.3188312664169644e-08
1871,1.0621177271019633e-08,8.496941816815706e-09
1872,9.071008832961525e-09,6.047339518033823e-09
1873,1.5563610844537834e-08,1.3767810003173508e-08
1874,9.559374625212058e-09,1.9716209997966416e-08
1875,9.7265964171811e-09,2.1169650921137873e-08
1876,1.813804484385173e-08,1.753344314181504e-08
1877,1.9172929910382663e-08,1.5462040536817767e-08
1878,2.113680963589104e-08,7.2469061862534545e-09
1879,1.5273313280772527e-08,9.774920095573236e-09
1880,2.4387816210946767e-08,7.059631101924424e-09
1881,1.1853263259808955e-08,2.789003084036068e-08
1882,1.1314154946262533e-08,2.4624925876182147e-08
1883,1.0110942305630033e-08,1.579834751908038e-08
1884,1.650424152899177e-08,1.1222884843675729e-08
1885,7.7347630522695e-09,9.66845359329227e-09
1886,1.2906927304712212e-08,9.680196200179125e-09
1887,1.566941915109865e-08,1.0446279397058333e-08
1888,1.521747483579361e-08,2.1558090423923204e-08
1889,1.2530273707511697e-08,1.9421923624918236e-08
1890,1.1797895382859025e-08,1.1142456735058204e-08
1891,7.649063604731055e-09,7.0116419337296065e-09
1892,1.817868522380195e-08,8.775916882086676e-09
1893,9.853466487186324e-09,1.3548516086814288e-08
1894,1.1342770278588432e-08,1.5123694296903523e-08
1895,3.0093072478365457e-09,1.6852119699706236e-08
1896,6.48673198488936e-09,6.486732040400511e-09
1897,8.740070001067579e-09,1.631479840114025e-08
1898,3.960848538042683e-09,2.1501747937691107e-08
1899,8.291367592505594e-09,1.6582735185011188e-08
1900,1.8168686000130663e-08,6.22926377147337e-09
1901,4.470991243898936e-09,1.0059729937950124e-08
1902,1.0311596243539611e-08,4.4192554615740676e-09
1903,4.860198465905796e-09,8.100330184390714e-09
1904,1.0964235297450386e-07,3.2247751136083025e-09
1905,1.90948084011211e-08,9.28936660926638e-09
1906,3.0865106026567446e-09,1.0288369267641428e-08
1907,8.228549397415463e-09,8.228549397415463e-09
1908,5.402527980535865e-09,8.349361202419914e-09
1909,2.2003934230241384e-09,4.9508852018043115e-09
1910,5.344150677544235e-10,1.8170112525695004e-08
