year,en_ADP acte_NOUN,en_ADP pacte_NOUN
1800,3.6157891258881136e-07,6.288328968651058e-09
1801,3.428903028179775e-07,4.7623651688866175e-09
1802,3.20011139365306e-07,3.1329761895904085e-08
1803,2.6719646939454833e-07,1.5602713565598947e-08
1804,2.793191526961891e-07,2.4718509461507665e-09
1805,2.9281639513101254e-07,7.391482181873243e-08
1806,5.331087891136121e-07,8.645007376628655e-09
1807,4.839823759539286e-07,2.8469552049159574e-08
1808,4.2148977286160516e-07,9.064295980465431e-09
1809,3.2981844810819894e-07,4.292158095609011e-08
1810,4.3526358695089584e-07,1.8721014072298203e-08
1811,3.986252181675809e-07,2.0056614147279106e-08
1812,5.33441664174461e-07,8.00162469616339e-09
1813,6.412903985619778e-07,2.8757416448144113e-09
1814,3.083743536080874e-07,0.0
1815,6.122697300270374e-07,0.0
1816,5.330488761501329e-07,4.6352077731626196e-09
1817,5.667019422617159e-07,1.2454987263765815e-08
1818,3.2544815553592343e-07,7.152706205104664e-09
1819,2.4842520929269085e-07,2.173720448084282e-08
1820,4.14140203019997e-07,9.493184904840746e-09
1821,2.98803087162014e-07,2.070912596963126e-08
1822,3.769631575778476e-07,2.2056354964661296e-08
1823,5.445360216072004e-07,1.3835761425440296e-08
1824,2.947389532437228e-07,1.7684336661716316e-08
1825,2.3158315798355034e-07,3.522177216552791e-09
1826,2.0434524117263209e-07,2.554315381431138e-08
1827,2.838920067915751e-07,1.3825909972453587e-08
1828,3.815677303009579e-07,2.7516904310687096e-09
1829,2.700550396639301e-07,1.457439946506156e-08
1830,3.6633292666010675e-07,9.393152256009785e-09
1831,3.0870589284859307e-07,9.35472388441383e-09
1832,3.396022236756835e-07,2.3000948701223933e-08
1833,2.1198040656145167e-07,8.108540061613212e-09
1834,3.043057006379968e-07,3.267085890712451e-08
1835,3.705912945406453e-07,1.0588323107185715e-08
1836,4.6507591378031066e-07,5.3765999430410716e-09
1837,3.7363875549090153e-07,2.7831563720326358e-09
1838,4.7278092552005546e-07,3.787297142565649e-09
1839,4.313740191719262e-07,7.690622805256453e-09
1840,1.3178886320019956e-06,3.821813088222825e-09
1841,5.200644181968528e-07,2.0545755763379248e-08
1842,1.0511851087358082e-06,1.0733224087289273e-08
1843,6.462160513365234e-07,7.088293285661962e-09
1844,8.035253813432064e-07,1.4819115268238647e-08
1845,9.168314250018739e-07,1.7298706467272496e-08
1846,1.5215848634397844e-06,2.751615646445771e-08
1847,1.2943736464876565e-06,1.1325769655456952e-08
1848,1.1343762480464648e-06,4.0226108000140925e-09
1849,5.907487548029167e-07,2.3462360942971827e-08
1850,2.2111760245024925e-06,1.2899092460827433e-08
1851,1.191211367768119e-06,9.0292140431103e-09
1852,8.606941150901548e-07,5.208436348880241e-09
1853,1.226634822160122e-06,7.166318427564988e-09
1854,1.8002976958086947e-06,6.234797567117312e-09
1855,1.0645716201906907e-06,7.429711956774554e-09
1856,2.252595095342258e-06,1.0872097444547535e-08
1857,1.6040638683989528e-06,9.274867096564776e-09
1858,1.2253764225533814e-06,8.319249067412215e-09
1859,1.4415942359846667e-06,8.14747758148826e-09
1860,6.00526504968002e-07,1.2816114836056158e-08
1861,2.375902568019228e-06,6.130753016364565e-09
1862,1.4218102251106757e-06,4.969785055708442e-09
1863,1.436452976122382e-06,1.897955881347002e-08
1864,1.3885531870982959e-06,3.835782247385566e-09
1865,1.0312695621905732e-06,5.177528850097701e-09
1866,7.235166208374721e-07,3.405928983291062e-09
1867,5.376915055421705e-07,1.0190904120577216e-08
1868,6.728108701281599e-07,3.951899252285784e-09
1869,1.139813321060501e-06,3.4184632902167778e-09
1870,6.123964340076782e-07,6.880858549607183e-09
1871,3.0588989829993807e-07,1.3807530452325523e-08
1872,7.831304174032994e-07,2.4189357183956872e-09
1873,4.291965183256252e-07,5.387404078405211e-09
1874,5.341300379768654e-07,1.1949218281515073e-09
1875,7.483757258341939e-07,1.7164581422868253e-09
1876,8.73649128152465e-07,7.859819239897092e-09
1877,6.896069635331514e-07,8.040260901509555e-09
1878,5.338554274203489e-07,1.2078177513696886e-08
1879,9.109003826779372e-07,2.443730107160036e-09
1880,1.2347936717560515e-06,1.2193908105473383e-08
1881,5.536170988307276e-07,1.3945015142624584e-09
1882,4.991538844478782e-07,1.9966155395678697e-09
1883,1.0768153515527956e-06,8.21514056781325e-09
1884,4.865450478064304e-07,3.300848483434038e-09
1885,7.554285161859298e-07,5.80107206715752e-09
1886,6.188872134771373e-07,3.872078324640427e-09
1887,7.893469842201739e-07,6.528924734183761e-09
1888,8.331567755703873e-07,3.1703073499755874e-09
1889,8.664683832648734e-07,5.638623234993645e-09
1890,7.000084565333964e-07,5.898947996740844e-09
1891,6.552698437189974e-07,1.9122659011827636e-09
1892,7.766686849208781e-07,6.8953636134239105e-09
1893,6.669565095762664e-07,5.542575065575761e-09
1894,6.730044219693809e-07,8.192001299534013e-09
1895,7.770031515974551e-07,6.6204759452404005e-09
1896,6.946700068510836e-07,4.717623180994224e-09
1897,7.92433070273546e-07,7.574727622916555e-09
1898,8.67425796968746e-07,3.395012826423738e-09
1899,7.429065362885012e-07,4.4220627160029835e-09
1900,1.383415678901656e-06,4.671947717582725e-09
