year,son_DET anneau_NOUN,son_DET panneau_NOUN
1800,4.0559722869204506e-07,3.144164484325529e-09
1801,4.5956822702919453e-07,0.0
1802,5.527465418708744e-07,4.475680270843441e-09
1803,6.14356834516272e-07,0.0
1804,3.806650581417159e-07,7.4155526164076946e-09
1805,5.856328115783072e-07,0.0
1806,6.887189076820732e-07,5.4751714273493235e-08
1807,5.409214809404261e-07,0.0
1808,5.778488798569015e-07,4.5321479902327155e-09
1809,4.698783335754797e-07,0.0
1810,7.13738633972838e-07,0.0
1811,6.142338362380428e-07,0.0
1812,5.361088710742479e-07,0.0
1813,4.1410678375264354e-07,8.627225156487839e-09
1814,7.70935908445125e-07,1.8880061958270744e-08
1815,4.935919362125674e-07,2.697223555614414e-09
1816,4.449799551053957e-07,0.0
1817,4.997563678443839e-07,0.0
1818,5.018815703028423e-07,1.1921177378582115e-09
1819,4.906397794712802e-07,2.070210003424222e-09
1820,5.636578297441019e-07,0.0
1821,6.87345761529734e-07,3.94459531705138e-09
1822,5.694549827239825e-07,1.1028177482330648e-08
1823,5.178527784366338e-07,1.2847492847356534e-08
1824,4.008449518977386e-07,4.210556348027694e-09
1825,6.040533717666108e-07,5.459374818883589e-08
1826,3.928360950977705e-07,5.284790383086602e-09
1827,5.023413904292617e-07,0.0
1828,5.374968496951738e-07,5.503380862137419e-09
1829,3.806490243007943e-07,5.143905745796928e-09
1830,4.5817710514484133e-07,1.982998831806526e-08
1831,3.367700571743626e-07,1.5591206103948707e-09
1832,4.573129528395725e-07,1.8941957335982806e-08
1833,5.189465737132082e-07,1.1583628500844156e-09
1834,4.956635804020948e-07,2.8003592777992026e-09
1835,6.042907330083835e-07,7.563087933704082e-10
1836,5.282509658033341e-07,6.720750067579218e-10
1837,5.38540746219951e-07,0.0
1838,5.06235407593536e-07,1.0730675015224733e-08
1839,5.614154474642419e-07,6.292327547896548e-09
1840,4.7071998610093146e-07,1.592422138596561e-08
1841,4.166936000693511e-07,1.5409316933556738e-08
1842,5.165364092007962e-07,1.2074877098200432e-08
1843,5.209895502789053e-07,1.7130041385371442e-08
