year,son_DET or_NOUN,son_DET porc_NOUN
1800,1.25452167765161e-06,1.8864986461863964e-08
1801,1.0381955606320048e-06,2.1430643926123594e-08
1802,9.95838888684375e-07,1.5664880947952042e-08
1803,1.0044246694373982e-06,9.751696339321825e-09
1804,1.2977217114240602e-06,4.449331636457998e-08
1805,9.950072372699736e-07,1.1371510844071508e-08
1806,7.578790048867745e-07,2.0171682990621775e-08
1807,9.394952158459091e-07,5.693910232196231e-09
1808,1.0741191260876803e-06,0.0
1809,9.82678247218871e-07,1.3554183553310395e-08
1810,9.407309633502337e-07,7.020380277111826e-09
1811,1.0178731670862362e-06,3.259199843341776e-08
1812,6.107906798114016e-07,1.3336041604361526e-08
1813,8.655982277616658e-07,2.8757416448144113e-09
1814,9.471498465529749e-07,3.1466771410748606e-09
1815,1.1220449911419905e-06,0.0
1816,1.0614625640670283e-06,0.0
1817,9.761595762824982e-07,6.227493631882908e-09
1818,8.750144031566265e-07,4.530047559292427e-08
1819,1.1613878356797613e-06,1.5526575580793178e-08
1820,1.301752971194503e-06,1.1866481131050932e-08
1821,8.924646834884697e-07,9.86148829262845e-10
1822,8.431543250253526e-07,1.2030739071633434e-08
1823,9.872803836685762e-07,2.9648061783404955e-09
1824,1.142745000848322e-06,3.2842340402794434e-08
1825,1.0997997854644836e-06,8.805443485471187e-09
1826,1.026130223347188e-06,7.92718590769681e-09
1827,6.885303113213226e-07,3.6869092223668076e-09
1828,7.989074619629832e-07,1.7427371545863934e-08
1829,9.207591245008473e-07,1.457439946506156e-08
1830,7.723258761416218e-07,2.2961038848023918e-08
1831,6.89131281594868e-07,3.1182412207897414e-09
1832,8.104451931778556e-07,2.3000948701223933e-08
1833,1.0911778209887757e-06,6.950177322551099e-09
1834,9.455880087827495e-07,3.267085801894609e-08
1835,8.417716941266917e-07,1.663879345414898e-08
1836,8.078341666717392e-07,2.8899226123257904e-08
1837,9.170500074873189e-07,2.2961039292113128e-08
1838,9.076888827230789e-07,1.5780405204779413e-08
1839,7.858418245021426e-07,1.6080392239992136e-08
1840,8.917564064958583e-07,2.675269178409323e-08
1841,8.539329705570253e-07,2.953452371556864e-08
1842,1.0042272644561479e-06,2.0795621225033756e-08
