year,en_ADP aile_NOUN,en_ADP pelles_NOUN
1800,1.1318992676478956e-07,3.144164484325529e-09
1801,1.6668278135512082e-07,0.0
1802,1.857407312400028e-07,6.713520406265161e-09
1803,1.4432510653250574e-07,0.0
1804,2.1257918803030407e-07,0.0
1805,1.9331568079650197e-07,0.0
1806,2.8528523543513984e-07,2.0171682990621775e-08
1807,9.96434317279693e-08,0.0
1808,2.2660739151803e-07,0.0
1809,1.445779496123123e-07,6.7770917766551975e-09
1810,1.5444837231370911e-07,0.0
1811,1.3287507272252697e-07,2.2563691359778204e-08
1812,1.8137016155606034e-07,1.0668832928217853e-08
1813,1.1215392348162823e-07,1.7254450312975678e-08
1814,1.1328037530233814e-07,0.0
1815,1.7801675156192687e-07,8.091670444798638e-09
1816,2.2712518621403888e-07,0.0
1817,9.02986592166144e-08,0.0
1818,1.7881766112282094e-07,0.0
1819,2.701624062240171e-07,0.0
1820,6.645229433388522e-08,0.0
1821,9.565643921405353e-08,2.9584463767662328e-09
1822,3.559093784133438e-07,1.604098542884458e-08
1823,8.993244904331732e-08,9.882686891060644e-10
1824,1.1873769167891624e-07,9.263223965660927e-09
1825,1.8139213153745004e-07,9.68598712347557e-09
1826,1.735172965311449e-07,8.807984341885344e-10
1827,1.4839809026057083e-07,0.0
1828,1.5317743340403922e-07,0.0
1829,9.773420650560638e-08,0.0
1830,1.1480519557238722e-07,0.0
1831,3.196197297938852e-07,0.0
1832,2.1106752612354285e-07,0.0
1833,8.571885423691583e-08,1.3900354645102198e-08
1834,1.577535688745968e-07,1.3068342852307069e-08
1835,9.075705520444899e-08,6.806779140333674e-09
1836,9.140220419423528e-08,0.0
1837,7.931995860133156e-08,4.174734336004349e-09
1838,5.996553742448896e-08,1.8936485712828244e-09
1839,1.4122779212755177e-07,4.894032734625853e-09
1840,7.962110792902877e-08,5.732719632334238e-09
1841,2.587481109372902e-07,5.1364388298225094e-09
1842,1.0263645577879288e-07,8.049918065466954e-09
1843,1.3940310239490827e-07,1.1813822142769936e-09
1844,8.94635450721104e-08,2.7442805805577564e-09
1845,9.318980787043074e-08,0.0
1846,6.557041487553761e-08,9.952652035849496e-09
1847,7.928039025273392e-08,5.393223645455691e-10
1848,1.1102405750307298e-07,6.43617736884039e-09
1849,8.211826862947191e-08,1.6758829879393033e-09
1850,7.535785417900343e-08,2.0366988096043315e-09
1851,1.2060450416129243e-07,3.2247193804124663e-09
1852,1.2370036017728125e-07,1.3021090872200602e-09
1853,1.0510599857127545e-07,0.0
1854,8.884586311097564e-08,5.195664454227256e-10
1855,8.756445879498642e-08,1.5920811335945473e-09
1856,4.918329715719594e-08,5.177189232874468e-10
1857,9.177237469959465e-08,0.0
1858,6.459652546197958e-08,2.4468380654951716e-09
1859,7.485494712966556e-08,1.018434669930457e-09
1860,1.0527523386372195e-07,9.154367819341758e-10
1861,1.0752397328062102e-07,6.6023493339173456e-09
1862,1.9156261488184612e-07,7.680577063240435e-09
1863,1.2286767453462133e-07,0.0
1864,1.0164823471825457e-07,4.794727948009836e-10
1865,1.0919878867809985e-07,1.4120533631256649e-09
