year,en_ADP or_NOUN,en_ADP ports_NOUN
1800,6.980045327509288e-06,2.2009151834367913e-08
1801,6.350614057737403e-06,6.667310969987739e-08
1802,7.655650733795483e-06,6.937304419807333e-08
1803,5.9017265812144615e-06,6.241085515057421e-08
1804,7.0299442995747086e-06,5.9324420931261557e-08
1805,6.606847819057293e-06,1.9900143755080535e-08
1806,6.8151475716149434e-06,4.034336598124355e-08
1807,6.0241568462515716e-06,6.832692633906845e-08
1808,6.4809714785951655e-06,2.2660739062985158e-08
1809,7.76654724177206e-06,4.518061036407062e-09
1810,5.911160315008601e-06,4.680253518074551e-09
1811,9.31880458665546e-06,3.259199843341776e-08
1812,6.8013810050615575e-06,9.335229123053068e-08
1813,6.634335932176327e-06,8.627225156487839e-08
1814,5.903166311327368e-06,5.034683425719777e-08
1815,1.0122679668711498e-05,2.697223555614414e-09
1816,5.3258536354405805e-06,2.7811246638975717e-08
1817,5.930131010245532e-06,5.60474440192138e-08
1818,5.1046481530647725e-06,6.079800130009971e-08
1819,7.2146817728935275e-06,2.070209959015301e-08
1820,6.727108029735973e-06,2.7292905713238724e-08
1821,6.427718290069606e-06,3.4515210245444905e-08
1822,8.022498150239699e-06,3.8097340393505874e-08
1823,6.740980552422116e-06,2.9648060007048116e-08
1824,6.967628451093333e-06,3.705289586264371e-08
1825,7.2732959779386874e-06,4.402721387464226e-08
1826,8.379035534744617e-06,3.787433300317389e-08
1827,7.899203410488553e-06,3.133872894522938e-08
1828,6.4774790189403575e-06,4.3109814384934e-08
1829,6.618492079724092e-06,3.5150023336427694e-08
1830,8.751287168706767e-06,4.800944353178238e-08
1831,6.476586804637918e-06,3.274153215215847e-08
1832,7.179001840995625e-06,1.6235963684607668e-08
1833,7.363712484220741e-06,4.40177885252524e-08
1834,6.873015081509948e-06,3.827157613045529e-08
1835,7.255270247696899e-06,4.5378527602224494e-08
1836,6.864574061182793e-06,4.704525125021064e-08
1837,7.021207693469478e-06,2.0873672568200163e-08
1838,7.056365575408563e-06,2.7773513266993177e-08
1839,7.455709237547126e-06,3.8453112694014635e-08
1840,7.969754733494483e-06,4.458782143501594e-08
1841,7.788125003571622e-06,1.733548060656176e-08
1842,7.114786058082245e-06,1.542900918138912e-08
1843,7.359420578723075e-06,3.1306630177141415e-08
1844,6.799778475397034e-06,3.402907822191992e-08
