year,ancien_ADJ arc_NOUN,ancien_ADJ parc_NOUN
1800,0.0,1.0061326349841693e-07
1801,9.524730337773235e-09,3.5717739876872656e-08
1802,3.3567602031325805e-08,6.713520406265161e-09
1803,4.6808139586573816e-08,2.5354410126965377e-08
1804,1.9774807125116922e-08,1.730295728918918e-08
1805,3.1271653710973624e-08,3.4114531644036106e-08
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,4.5321479902327155e-09,2.945896149242344e-08
1809,1.3554183553310395e-08,4.518061036407062e-09
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,2.5070768572277302e-08,5.0141535368197765e-09
1812,1.3336041604361526e-08,3.7340914360584065e-08
1813,5.751483289628823e-09,4.026038169513413e-08
1814,3.776012391654149e-08,9.440030979135372e-09
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,6.227493631882908e-09,1.5568733857662664e-08
1818,4.768470951432846e-09,1.668964877410417e-08
1819,4.140420006848444e-09,1.0351049795076506e-08
1820,1.1866481131050932e-09,1.1866481131050932e-08
1821,9.861488514673056e-09,1.3806083387635226e-08
1822,1.2030739071633434e-08,8.02049271442229e-09
1823,8.894418535021487e-09,3.162459771832715e-08
1824,1.1789557774477544e-08,5.3895121254754486e-08
1825,5.283265824829186e-09,7.044354433105582e-09
1826,4.403992281964975e-09,2.7304752237000685e-08
1827,1.2904182611350734e-08,2.9495274445068276e-08
1828,1.2841221419535032e-08,9.172301140836225e-09
1829,6.001223074036943e-09,4.286587973467704e-09
1830,5.218417697960831e-09,2.7135772517894452e-08
1831,0.0,4.2096257146795324e-08
1832,8.117981842303834e-09,3.247192659205922e-08
1833,2.6642345218874652e-08,3.70676112027013e-08
1834,8.401078055442213e-09,2.14694217959277e-08
1835,8.31939672707449e-09,2.117664621437143e-08
1836,1.5457725766054864e-08,2.419469957715137e-08
1837,9.045257876039159e-09,2.852735292435682e-08
1838,1.009945904684173e-08,2.3354999711955315e-08
1839,9.788065469251706e-09,2.23727205650448e-08
1840,7.64362617644565e-09,1.7835128929277744e-08
1841,1.7977535904378783e-08,1.4767261635739715e-08
