year,en_ADP aire_NOUN,en_ADP pair_NOUN
1800,4.7162466820793725e-08,1.8236154364359436e-07
1801,1.619204113012529e-07,1.0239085423968675e-07
1802,3.3567602031325805e-08,1.7231369042747247e-07
1803,2.9255089017965474e-08,1.521264585413462e-07
1804,1.730295728918918e-08,1.1864884186252311e-07
1805,3.695740935505398e-08,1.3645813323748257e-07
1806,4.8988376022407465e-08,8.933174200365102e-08
1807,1.1387820464392462e-08,8.54086508184082e-08
1808,4.5321479014148736e-08,1.3143228727585665e-07
1809,7.00299480627109e-08,1.0165637065462363e-07
1810,5.3822916346035754e-08,9.360506680877734e-08
1811,5.0141535368197765e-09,1.7549538000594112e-07
1812,3.200649700829672e-08,1.0135391459442644e-07
1813,2.0130190847567064e-08,8.339650925393016e-08
1814,4.090680150170556e-08,6.608022040666128e-08
1815,8.091670444798638e-09,7.012781066961793e-08
1816,7.184571870766376e-08,7.648093003354006e-08
1817,1.2454987263765815e-08,8.874178480944295e-08
1818,7.152706427149269e-09,1.0729059352065917e-07
1819,2.484252026313527e-08,8.487860836403627e-08
1820,1.7799721696576398e-08,8.899860848288199e-08
1821,3.7473656067099625e-08,7.396116230573568e-08
1822,3.0076847679083585e-08,6.917674966189225e-08
1823,3.2612866407433216e-08,6.028439125671525e-08
1824,1.431589158329416e-08,7.24215674097195e-08
1825,1.3208164117983756e-08,6.692136622632461e-08
1826,2.466235649034587e-08,6.253669049272048e-08
1827,2.027800155568471e-08,6.083400272416384e-08
1828,2.384798225563145e-08,4.035812628533364e-08
1829,4.800978425922864e-08,5.57256459865485e-08
1830,1.6698937788106605e-08,6.679575093038181e-08
1831,1.4032085493553836e-08,1.0134284167406804e-07
1832,9.470978445946798e-09,7.982682070917235e-08
1833,1.2741991461950875e-08,5.9076506575550525e-08
1834,2.1469421573883096e-08,4.0138482759743965e-08
1835,2.571449897459388e-08,7.714349692378164e-08
1836,2.9571301130015826e-08,6.115882555945973e-08
