year,bon_ADJ or_NOUN,bon_ADJ porc_NOUN
1800,3.45858084394024e-08,3.144164484325529e-09
1801,5.952956638743956e-08,0.0
1802,8.056224487518193e-08,8.951360541686881e-09
1803,3.315576790896557e-08,0.0
1804,5.6852570651244605e-08,0.0
1805,2.55858996212055e-08,1.9900143755080535e-08
1806,6.339671898558663e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,7.024829073998262e-08,0.0
1809,2.4849335034105025e-08,2.259030518203531e-09
1810,1.4040760110134443e-08,2.3401267590372754e-09
1811,6.016984377410495e-08,2.5070767684098882e-09
1812,1.600324850414836e-08,0.0
1813,3.163315875909234e-08,0.0
1814,6.608022173892891e-08,2.5173417128598885e-08
1815,5.664169577812572e-08,0.0
1816,3.244645441213834e-08,0.0
1817,4.670620157298799e-08,0.0
1818,3.5763530803478716e-08,0.0
1819,6.107119787657211e-08,0.0
1820,7.001224133773576e-08,1.1866481131050932e-09
1821,5.127973856655643e-08,0.0
1822,4.511527151862538e-08,0.0
1823,5.138997138942614e-08,1.9765373782121287e-09
1824,5.642145595174952e-08,1.0947446504872005e-08
1825,9.774041842547376e-08,3.522177216552791e-09
1826,9.953022128694755e-08,0.0
1827,5.069500080834288e-08,0.0
1828,8.438517085096464e-08,1.8344602503717056e-09
1829,3.772197487705853e-08,8.57317605795771e-10
1830,6.366470017837855e-08,0.0
1831,4.989185953263586e-08,0.0
1832,8.929779937716376e-08,0.0
1833,4.865124125785769e-08,8.108539617524002e-09
1834,5.507373401769655e-08,0.0
1835,6.806779140333674e-08,5.294161553592858e-09
1836,6.183090411893133e-08,0.0
1837,8.697363540477454e-08,0.0
1838,1.218247263068406e-07,0.0
1839,1.0836786401569043e-07,2.0974426639952526e-09
1840,9.427139247009109e-08,6.369688665408546e-10
1841,6.35634278545183e-08,7.704658244733764e-09
1842,3.3541326160957396e-08,1.341653010911159e-09
1843,1.2109167357721162e-07,2.3627644285539873e-09
1844,8.781698307425145e-08,0.0
1845,6.02664584903323e-08,0.0
1846,6.20577138565892e-08,1.7563503984519002e-09
1847,6.094342808182773e-08,2.6966118227278457e-09
1848,2.3089786793661915e-07,1.6090443422100975e-09
1849,7.373885324568619e-08,0.0
1850,1.0522943671986695e-07,6.788996032014438e-10
1851,5.997978069771648e-08,6.449438760824933e-10
1852,6.705861865796692e-08,2.6042181744401205e-09
1853,7.882950114890264e-08,2.388772735173461e-09
1854,6.234797211845944e-08,1.0391328908454511e-09
1855,1.3214273053563375e-07,2.1227748447927297e-09
1856,5.7984518520015627e-08,2.0708756931497874e-09
1857,9.030791758846135e-08,2.9289055625270066e-09
1858,8.270312434888183e-08,8.808616946964776e-09
1859,6.772590666059841e-08,5.092173349652285e-10
1860,7.323494441435763e-08,4.577183909670879e-10
1861,6.838147470489275e-08,4.715963730639317e-10
1862,6.957699127951855e-08,0.0
1863,6.942522734476597e-08,3.995696662428827e-09
1864,7.767459209162553e-08,0.0
1865,1.2755548756127055e-07,2.3534221238463715e-09
1866,4.962925004292629e-08,4.865612912574591e-10
1867,1.2471726051899168e-07,9.7056229719783e-10
1868,1.6202786312646822e-07,0.0
1869,1.0304225384061283e-07,4.883519144627257e-10
1870,9.690542412954528e-08,0.0
1871,1.1577082958957874e-07,6.37270636261178e-09
1872,6.228759541482276e-08,3.0236697590169115e-09
1873,1.3229070550124788e-07,0.0
1874,7.826737868921185e-08,1.7923826867161097e-09
1875,8.124568529055409e-08,0.0
1876,6.166934962692494e-08,1.209202959984168e-09
1877,1.199854282596391e-07,2.4739263970730008e-09
1878,8.394333572692148e-08,6.039088673581716e-10
1879,1.1424438006724102e-07,2.443730107160036e-09
1880,6.99545257276668e-08,1.2835692508872398e-09
1881,7.669758161910067e-08,0.0
1882,8.652000360598322e-08,0.0
1883,7.64639978001469e-08,1.2638677882037541e-09
1884,6.205595148855991e-08,6.601696966868076e-10
1885,1.005519196795035e-07,6.445635691854079e-10
1886,7.550552844071134e-08,1.936039106809062e-09
1887,8.618180658004349e-08,4.570247291724172e-09
1888,7.735550155985038e-08,1.0779045211961602e-08
1889,5.701274446989757e-08,6.265136742733546e-10
1890,7.537544632896243e-08,4.5880703680722945e-09
1891,5.609313546983685e-08,6.374220040683554e-10
1892,8.274436424926535e-08,1.2537024751679837e-09
1893,7.020594949835868e-08,3.079208221734575e-09
1894,7.624862519151065e-08,6.301539290376468e-10
1895,9.569597381187123e-08,6.018614495673091e-10
1896,6.191880430606034e-08,5.89702897624278e-10
1897,4.4865694825979574e-08,5.826713556089658e-10
1898,6.5636914792222e-08,2.26334195829736e-09
1899,4.311511325738593e-08,1.6582735185011188e-09
