year,mon_DET paiement_NOUN
1800,1.2576657937302116e-08
1801,4.7623651688866175e-09
1802,1.1189200677108602e-08
1803,1.1702034896643454e-08
1804,7.4155526164076946e-09
1805,1.9900143755080535e-08
1806,2.0171682990621775e-08
1807,5.124519120158766e-08
1808,4.5321479902327155e-09
1809,5.1957702140725814e-08
1810,9.360507036149102e-09
1811,6.016983888912364e-08
1812,1.600324850414836e-08
1813,1.4378708002027452e-08
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,1.622322720606917e-08
1817,1.71256075987003e-08
1818,4.768470951432846e-09
1819,2.6912730710648702e-08
1820,1.7799721696576398e-08
1821,5.9168927535324656e-09
1822,1.9048670196752937e-08
1823,3.162459805139406e-08
1824,3.03160057057994e-08
1825,1.4088708644166559e-08
1826,2.9947146096276356e-08
1827,3.779082058397165e-08
1828,3.210305488110521e-08
1829,1.7146352337960025e-08
1830,2.1917355041978226e-08
1831,1.870944643656003e-08
1832,4.464889746813583e-08
1833,6.02348677603004e-08
1834,2.5203233278148218e-08
1835,2.3445572594482655e-08
1836,2.957130040837086e-08
1837,4.03557665062948e-08
1838,1.3886756189407379e-08
1839,2.0275278567183364e-08
1840,2.2930879584048824e-08
1841,1.219904222082846e-08
1842,3.219967181777861e-08
1843,7.678984559333912e-09
1844,1.701453911095996e-08
1845,7.812318791877715e-09
1846,7.025401593807601e-09
1847,1.7258315665458213e-08
1848,2.252662056889676e-08
1849,1.1731181359664333e-08
1850,5.431196825611551e-09
1851,7.739326290945314e-09
1852,3.906327261660181e-09
1853,2.6873692604567623e-08
1854,6.754363734984281e-09
1855,1.326734277995456e-08
1856,1.9673318973900678e-08
1857,1.4644527812635033e-09
1858,1.468102750479261e-09
1859,2.5460866748261424e-09
1860,4.57718396518203e-09
1861,3.772770984511453e-09
1862,6.325180823552046e-09
1863,5.9935449936432406e-09
1864,8.63051052846231e-09
1865,6.589582268734517e-09
1866,5.838735717134114e-09
1867,9.220341823379385e-09
1868,1.0373735426227881e-08
1869,5.860222973552709e-09
1870,1.2614906896857292e-08
1871,4.142259157902117e-08
1872,6.047339518033823e-09
1873,5.9860045809045914e-09
1874,1.4339061660262331e-08
1875,1.0298748520654044e-08
1876,2.418405919968336e-08
1877,9.277223766979148e-09
1878,7.2469061862534545e-09
1879,1.221865053580018e-09
1880,1.2835692508872398e-08
1881,9.761510710859511e-09
1882,1.0648616211028639e-08
1883,1.3902545781263598e-08
1884,7.2618666635548834e-09
1885,7.7347630522695e-09
1886,7.098810428374236e-09
1887,3.264462256069578e-09
1888,6.340614699951175e-10
1889,2.5060546970934183e-09
1890,1.3108772956016423e-09
1891,2.5496880162734215e-09
1892,6.268512375839919e-10
1893,4.310891643655168e-09
1894,6.9316932194141145e-09
1895,4.213029924926559e-09
1896,1.1204354777305525e-08
1897,6.992056267307589e-09
1898,2.8291773368493978e-09
1899,3.8693048765026106e-09
1900,1.038210584169974e-08
1901,6.706486921359556e-09
1902,5.4013122863239005e-09
1903,6.480264325148255e-09
1904,1.1824175416563776e-08
1905,2.0643036169332163e-09
1906,1.0288368990085672e-08
1907,8.228549119859707e-09
1908,1.4243028756411036e-08
1909,8.801573692096554e-09
1910,3.206490406526541e-09
1911,1.5961122423746588e-09
1912,9.897900277167082e-09
1913,1.1136278177392711e-08
1914,1.0714789944188396e-08
1915,1.1780761921542648e-09
1916,4.394984820521586e-09
1917,2.1932848870420685e-09
1918,4.594550517822427e-09
1919,8.287063479883727e-09
1920,3.028892692213958e-09
1921,8.330022505109724e-09
1922,3.6889677978990676e-09
1923,2.1231896241147297e-09
1924,2.578324886925998e-09
1925,3.299453377181294e-09
1926,1.2260752413340015e-08
1927,5.574612327308159e-09
1928,1.3711249025050165e-08
1929,4.4561625500705304e-09
1930,1.0503603542488804e-09
1931,7.983749661377715e-09
1932,1.0959536611565568e-09
1933,0.0
1934,5.990790086229936e-09
1935,9.574627313213568e-09
1936,4.849885826274658e-09
1937,5.0364472592434595e-09
1938,9.075650453382877e-09
1939,1.5294050470515685e-09
1940,2.5357829169792012e-09
1941,1.7709016475464523e-08
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,8.714016175304096e-09
1946,9.744772988540262e-09
1947,5.960435700558264e-09
1948,4.348755133776194e-09
1949,6.8719057111366055e-09
1950,1.595304155443955e-08
1951,5.3307008807124134e-09
1952,1.4762725264461096e-08
1953,8.619061908632375e-09
1954,2.9317608341017376e-09
1955,1.8771215692936494e-09
1956,1.1337483840634377e-08
1957,7.951533931294108e-09
1958,7.445019267748876e-09
1959,3.100299128533379e-09
1960,1.3841666979264033e-08
1961,5.55852741612739e-09
1962,4.43936931660005e-09
1963,5.1728425987107585e-09
1964,2.9203047091641565e-08
1965,6.5664522708175355e-09
1966,7.754704434148607e-09
1967,2.218650940744027e-08
1968,5.838840522187638e-09
1969,1.4533625386503601e-08
1970,2.2993624781975086e-08
1971,2.209510974182649e-08
1972,1.6929483925842703e-08
1973,1.8193572481894904e-08
1974,1.2376257352286757e-08
1975,1.028066431985053e-08
1976,9.141642998145016e-09
1977,1.7042667388444954e-08
1978,1.485147826940647e-08
1979,1.521513048885481e-08
1980,3.297387363154769e-08
1981,7.653915190530824e-08
1982,1.2352928990821965e-07
1983,2.7155859783078995e-08
1984,3.131464509920079e-08
1985,1.9249785765396155e-08
1986,3.716581009616249e-08
1987,4.27757171905796e-08
1988,4.197587699650285e-08
1989,1.3720305780395847e-08
1990,5.6665971470692966e-08
1991,7.561290371604912e-08
1992,5.234446831536843e-08
1993,7.75489077398106e-08
1994,5.96066724867228e-08
1995,5.097103894513566e-08
