year,un_DET aimant_ADJ,un_DET paiement_NOUN
1800,6.288328791015374e-08,3.018398047061055e-07
1801,9.524730337773235e-09,2.500241578218265e-07
1802,0.0,6.2435739778266e-07
1803,9.946730017418304e-08,6.065554902789927e-07
1804,4.4493318362981427e-08,1.7475986453519e-06
1805,2.55858996212055e-08,8.784492384616982e-07
1806,9.509508203109363e-08,7.348256438888257e-07
1807,2.562259560079383e-08,1.6398461557542987e-06
1808,1.1330369531492579e-08,1.2236799404874432e-06
1809,2.0331274441787173e-08,7.025585091469111e-07
1810,7.020380277111826e-09,7.113985454054728e-07
1811,1.7549536934780008e-08,1.0103519620940915e-06
1812,3.7340914360584065e-08,4.961007133985618e-07
1813,2.8757416448144113e-09,6.52793355815362e-07
1814,1.8880061958270744e-08,6.985623475230796e-07
1815,0.0,2.9939181445115537e-07
1816,4.6352077731626196e-09,5.654953518785533e-07
1817,3.113746815941454e-09,4.4682267419382526e-07
1818,5.126106206176928e-08,4.0651215904574656e-07
1819,1.449147024601416e-08,1.0620177501863282e-06
1820,7.00122386732005e-08,4.224467282654132e-07
1821,4.339054981983281e-08,7.958221086568074e-07
1822,1.4637399203820678e-07,7.23849495898321e-07
1823,1.4824030003524058e-08,7.659082514877014e-07
1824,3.8737120178211626e-08,8.724272637650188e-07
1825,3.522177394188475e-08,7.396572403450818e-07
1826,5.813269510213104e-08,8.64944080802843e-07
1827,4.2399456390285195e-08,1.2268189943931418e-06
1828,2.2930752852090563e-08,1.1373653681090445e-06
1829,1.7146351893870815e-08,1.095651947835563e-06
1830,1.982998831806526e-08,1.0624698596473081e-06
1831,2.6505050598757407e-08,1.5980986685093512e-06
1832,2.976593294068408e-08,1.0445136635617303e-06
1833,4.749287541017111e-08,1.1016031224997391e-06
1834,1.0267983796552471e-08,1.366575293815231e-06
1835,2.0420337421001022e-08,1.0331178472711144e-06
1836,2.688300027031687e-08,9.382166989979623e-07
1837,2.2961039292113128e-08,7.020512109434662e-07
1838,5.491580878924651e-08,6.451029452847479e-07
1839,8.389769878824893e-09,9.305653554392279e-07
1840,2.8663599493938818e-08,7.739171490328545e-07
1841,9.630822361827995e-09,7.05618273144637e-07
1842,1.677066219230028e-08,7.432757862524397e-07
1843,1.0632439872981791e-08,4.631018231116002e-07
1844,1.0428266361550698e-08,9.462279724203881e-07
