year,mon_DET or_NOUN,mon_DET porc_NOUN
1800,1.1633408414368773e-07,0.0
1801,1.0715321963061797e-07,7.143547753329926e-09
1802,1.0070280609397742e-07,2.2378401354217203e-09
1803,9.361628405812894e-08,0.0
1804,1.3842365897964726e-07,1.4831105232815389e-08
1805,1.0518647619583987e-07,2.842877711017877e-09
1806,1.210301006082659e-07,1.729001475325731e-08
1807,1.1387820464392462e-07,8.540865792383556e-09
1808,4.305540501903238e-08,0.0
1809,1.0165637687187257e-07,0.0
1810,6.318342293809565e-08,4.680253518074551e-09
1811,9.777599174753959e-08,0.0
1812,8.001624962616916e-08,0.0
1813,3.7384642270765767e-08,0.0
1814,7.866693074731756e-08,0.0
1815,1.4295284955778698e-07,0.0
1816,5.0987283728431976e-08,0.0
1817,7.161617898709949e-08,0.0
1818,8.225612324608278e-08,0.0
1819,9.212434293193184e-08,1.035105001712111e-09
1820,2.088500679064964e-07,1.1866481131050932e-09
1821,1.8145138369618508e-07,4.930744257336528e-09
1822,8.120748873352568e-08,1.0025615893027862e-09
1823,1.413224272051039e-07,5.929612356680991e-09
1824,1.381062544325573e-07,2.5263338088166165e-09
1825,6.427973353595462e-08,0.0
1826,7.134467594482885e-08,8.807984341885344e-10
1827,5.806882030778837e-08,4.608636583469661e-09
1828,1.1190207510614059e-07,9.172301251858528e-10
1829,9.77342076158294e-08,2.571952872898464e-09
1830,1.0436835840010872e-07,0.0
1831,8.263339257297275e-08,1.4032085493553836e-08
1832,1.637126312292736e-07,2.3000948701223933e-08
1833,2.2356402618051163e-07,5.791814139399776e-09
1834,1.3255034403414356e-07,8.401078055442213e-09
1835,1.0890846624533879e-07,1.5126175867408165e-09
1836,1.2298972573709932e-07,4.032449929525228e-09
1837,1.6072728514782142e-07,6.957890930081589e-10
1838,9.278878199125984e-08,1.2624323808552163e-09
1839,1.0836786323853431e-07,2.7965900706306e-09
1840,1.0127805277759805e-07,1.2739377330817092e-09
1841,1.1107548747446572e-07,3.852329122366882e-09
1842,1.422152213770289e-07,6.037438549100216e-09
1843,8.919435912080331e-08,1.0041748821354446e-08
1844,7.46444339672081e-08,2.744280691580059e-09
1845,1.2778722091599803e-07,1.6740683839167048e-09
1846,8.606117085641074e-08,2.3418005312692003e-09
1847,1.2512278502185836e-07,2.1572894581822766e-09
1848,9.010648333029891e-08,2.413566457803995e-09
1849,5.530413860199701e-08,0.0
1850,1.1405512978512888e-07,1.3577992064028876e-09
1851,6.578427780290497e-08,3.2247193804124663e-09
1852,9.375185161530908e-08,3.2552727180501506e-09
1853,7.70379240400132e-08,1.7915795513800958e-09
1854,8.313062949127925e-08,2.5978321716024766e-09
1855,1.475328552658084e-07,1.5920811335945473e-09
1856,1.0250834381331231e-07,2.0708756931497874e-09
1857,9.323682181872073e-08,1.9526036343364694e-09
1858,7.634134790990288e-08,5.383043677475996e-09
1859,1.5989423940432346e-07,3.055304009791371e-09
1860,9.200139317044886e-08,5.950339110327718e-09
1861,9.007490908707894e-08,1.8863854922557266e-09
1862,1.084316711974509e-07,5.8733823360412885e-09
1863,1.2536498195103718e-07,1.9978483867255648e-09
1864,1.1027873991764636e-07,5.753673537611803e-09
1865,7.53095128480652e-08,4.23615986733239e-09
1866,1.196940804248925e-07,2.4328064562872953e-09
1867,1.0142376005717324e-07,1.455843445796745e-09
1868,5.829051508143834e-08,4.445886658821507e-09
1869,1.4455216934550208e-07,2.4417595723136287e-09
1870,8.429052034131246e-08,1.1468097582678638e-09
1871,8.072094637157079e-08,9.559059765962274e-09
1872,6.10781268894911e-08,1.2094678591978436e-09
1873,7.183205408267668e-08,3.591602570907071e-09
1874,8.42419886071255e-08,1.0156835372754358e-08
1875,1.1900776364370813e-07,5.721527140956084e-10
1876,9.61316373171428e-08,1.813804439976252e-09
1877,6.617753400828263e-08,6.184815992682502e-10
1878,4.5897075418022126e-08,4.227361960484899e-09
1879,9.713827386903517e-08,3.6655952717623563e-09
1880,6.417846365458502e-08,0.0
1881,8.227558789819511e-08,2.0917522713936876e-09
1882,8.119569905318258e-08,1.3310770263785798e-09
1883,7.835980098125361e-08,3.159669414998234e-09
1884,7.790002776175697e-08,3.9610181801208455e-09
1885,5.47879024370701e-08,1.933690763067375e-09
1886,7.227879655902214e-08,6.453463929911862e-09
1887,7.051238926081282e-08,1.9586774424595887e-09
1888,4.818867194167353e-08,4.4384300679212174e-09
1889,7.392861539612383e-08,5.01210956072029e-09
1890,6.554386544621593e-08,3.2771931834929546e-09
1891,4.84440720871504e-08,6.374220040683554e-10
1892,6.080456849133498e-08,3.761107425503951e-09
1893,5.419406545748018e-08,1.8475249663474358e-09
1894,5.6713854723611234e-08,1.2603078580752936e-09
1895,6.680662156810513e-08,6.018614495673091e-10
1896,5.66114787270422e-08,2.94851448812139e-09
1897,6.059781965106481e-08,3.496028022631492e-09
1898,4.470100434250668e-08,2.26334195829736e-09
1899,6.356714976618605e-08,2.7637891975018647e-09
1900,6.281174180777782e-08,3.114631885736685e-09
1901,3.409130805431815e-08,6.706486532781497e-09
1902,2.700656170917526e-08,9.820567692386817e-10
1903,3.6181477369723325e-08,1.0800440541913758e-09
1904,2.6335664315979557e-08,0.0
1905,3.6641388589941926e-08,1.0321518084666081e-09
1906,3.755254707193956e-08,2.572092261399206e-09
1907,3.291419647943883e-08,0.0
1908,4.7149335324903063e-08,9.822778146428846e-10
1909,5.500983568662576e-08,0.0
1910,7.214603336969105e-08,5.344150677544235e-10
1911,2.7133907565257687e-08,2.128149656499545e-09
1912,5.730363239475622e-08,1.5628263128064646e-09
1913,3.234823792164221e-08,1.060597942803554e-09
1914,3.482306887292452e-08,1.3393487430235496e-09
1915,3.416420912838447e-08,1.0602685840410686e-08
1916,3.955486338469427e-08,0.0
1917,3.289927352767563e-08,0.0
1918,3.44591288836682e-08,1.1486376294556067e-09
