year,en_ADP air_NOUN,en_ADP pairs_NOUN
1800,9.023752340908686e-07,0.0
1801,4.4528114284680953e-07,2.3811825844433088e-09
1802,2.506380951672327e-07,0.0
1803,4.5442902552039754e-07,0.0
1804,3.8808059343864443e-07,1.4831105232815389e-08
1805,2.7575912708854844e-07,2.842877711017877e-09
1806,3.7749865100522584e-07,2.881669125542885e-09
1807,2.0498076924724273e-07,5.693910232196231e-09
1808,2.062127402169267e-07,2.4926814390369145e-08
1809,2.4397530085096264e-07,0.0
1810,1.7550951270095538e-07,0.0
1811,2.0808736911348547e-07,0.0
1812,1.3869483117545656e-07,5.3344164641089264e-09
1813,2.0992913585260453e-07,0.0
1814,1.3530711839848664e-07,0.0
1815,2.8320846801044297e-07,1.0788894222457657e-08
1816,1.7150268938337376e-07,2.3176038865813098e-09
1817,1.3077736582545185e-07,3.113746815941454e-09
1818,2.2888661255215936e-07,9.536941902865692e-09
1819,1.3870406800897683e-07,1.5526575580793178e-08
1820,1.8511710120350244e-07,0.0
1821,8.776724769177235e-08,0.0
1822,1.0426640528748976e-07,9.023054303725075e-09
1823,9.586206450862278e-08,1.581229902569703e-08
1824,1.4905369027928828e-07,5.052667617633233e-09
1825,1.1270966804310945e-07,7.924898959288385e-09
1826,9.776862741617265e-08,1.673517058264906e-08
1827,1.6222400611720644e-07,1.8434546111834038e-09
1828,1.4033620721054518e-07,4.586150681440415e-09
1829,1.3717081515096652e-07,3.429270423183084e-09
1830,1.8786305133744463e-07,1.5655253093882493e-08
1831,1.7306238930814288e-07,0.0
1832,1.1094574858816486e-07,2.705993873419743e-09
1833,1.4247862734073635e-07,2.3167257001688313e-09
1834,1.474855890748472e-07,5.60071877764301e-09
1835,1.1722786297241328e-07,6.050470346963266e-09
1836,1.9624590608113834e-07,8.736974699274924e-09
1837,9.253994626146067e-08,4.174734336004349e-09
1838,1.7484688585867048e-07,2.7142295522253335e-08
1839,1.3143973565110656e-07,1.3982950353153e-09
1840,1.1720227499623093e-07,6.369688665408546e-10
1841,1.4703056194775854e-07,5.778493683550323e-09
1842,1.1739464067517247e-07,8.720745015011744e-09
1843,1.9729083622355148e-07,9.451057714215949e-09
