year,en_PRON ai_VERB,en_PRON paie_VERB
1800,2.3298259961279655e-06,1.4148740490327327e-07
1801,3.433665174412681e-06,1.6906396638205479e-07
1802,2.486240305188403e-06,1.1636768704192946e-07
1803,2.9157570722304627e-06,1.2677205063482688e-07
1804,3.4877816688094754e-06,2.71903616066993e-07
1805,2.817291814061207e-06,7.960057502032214e-08
1806,3.0545693334715907e-06,1.2967511509032192e-07
1807,2.989302767986146e-06,1.8789903322158352e-07
1808,2.8801801086331125e-06,1.835519896076221e-07
1809,2.715354680660198e-06,1.355418248749629e-07
1810,3.037484610501906e-06,8.424456154898508e-08
1811,2.065831179010047e-06,1.8803075363393873e-07
1812,2.571188829847415e-06,8.801787032552966e-08
1813,2.0273978051932318e-06,8.91479885467561e-08
1814,2.507901594839268e-06,1.0698702368472368e-07
1815,1.8287176031250851e-06,3.776112933451259e-08
1816,2.071937963421533e-06,9.270415546325239e-08
1817,2.5859667971417366e-06,1.1520863552050287e-07
1818,2.799092548855242e-06,9.179306914575136e-08
1819,2.46769036493788e-06,1.2214239575314423e-07
1820,2.239204896170577e-06,1.8393045309039735e-07
1821,3.096507352751132e-06,1.410192851380998e-07
1822,3.1620792526609875e-06,1.6241497746705136e-07
1823,2.304642684691771e-06,1.4329896202980308e-07
1824,3.317076224362836e-06,1.4063257935958973e-07
1825,3.351351523406265e-06,1.2679838334861415e-07
1826,2.694362414956686e-06,1.8408687196824758e-07
1827,2.019504606209921e-06,2.6453574264451163e-07
1828,2.4361632604552597e-06,2.1646630443683534e-07
1829,2.085853825661843e-06,1.928964650232956e-07
1830,2.601903084098467e-06,1.5237780814914004e-07
1831,2.6863649047470517e-06,1.808579952466971e-07
1832,2.8778244214322513e-06,1.6235962618793565e-07
1833,2.6155833339203127e-06,1.5406226339109708e-07
1834,2.147875477476191e-06,2.0349277463083126e-07
1835,2.7522076564423514e-06,1.973965879642492e-07
1836,2.6869557743225414e-06,1.4449612706357584e-07
1837,2.6627849472049547e-06,1.551609614125482e-07
1838,2.0344098246027897e-06,9.468242723187359e-08
1839,2.4533086708800056e-06,1.447235291607285e-07
1840,2.1656942159609116e-06,1.356743695168916e-07
1841,2.0346718905273065e-06,1.0337083011791037e-07
1842,1.6589538951450322e-06,1.1873628835701311e-07
1843,1.7466735791060728e-06,6.792947715439368e-08
1844,1.5845476148967919e-06,9.385439625475556e-08
1845,1.5289824446540479e-06,5.636030309119633e-08
1846,2.0069230650676673e-06,8.489026726010707e-08
1847,1.4362154168168217e-06,1.0732514965638984e-07
1848,1.6508794544733973e-06,1.198738033281188e-07
1849,1.2828883964033366e-06,5.027649052635752e-08
1850,1.6558361508600683e-06,6.245876704724651e-08
1851,1.5917215137051244e-06,4.385618268543112e-08
1852,1.6946949585872062e-06,1.1914298170268012e-07
1853,1.7563450995794483e-06,6.330247970254277e-08
1854,1.8777131742808706e-06,8.624802916301633e-08
1855,1.8043585683358287e-06,3.237231638308913e-08
1856,1.951800285837635e-06,7.299836823904116e-08
1857,2.2040014542312747e-06,7.615154373752375e-08
1858,1.973130203225537e-06,5.0894229275399994e-08
1859,1.8168874333923668e-06,4.430190969628711e-08
1860,2.1329675909953494e-06,4.622955884769908e-08
1861,2.0924730605997865e-06,3.301174444914068e-08
1862,2.7378996101390385e-06,6.23482137029896e-08
1863,2.079260710274866e-06,6.343168479361339e-08
1864,2.1643401666437967e-06,4.17141343689309e-08
1865,2.2253960736406952e-06,5.554076309977063e-08
1866,2.0965926204041807e-06,3.795178216137174e-08
1867,2.020710702765882e-06,5.241036404868282e-08
1868,2.0762291015330447e-06,3.803702952609456e-08
1869,2.3304153593528554e-06,5.323035878745941e-08
1870,1.9925820211597056e-06,3.4404294524392753e-08
1871,2.150788287025307e-06,4.885741589077952e-08
1872,2.410469498670409e-06,4.051717183983783e-08
1873,2.299822977391841e-06,4.968383748860106e-08
1874,2.5093358750893913e-06,6.034355237716227e-08
1875,2.7566318401284207e-06,3.4901315615343265e-08
1876,2.656619006558003e-06,4.474050996350343e-08
