year,bien_ADV uni_VERB,bien_ADV puni_VERB
1800,1.4463157071986643e-07,7.545995117652637e-08
1801,4.5718707042397e-07,5.9529565277216534e-08
1802,1.1636768704192946e-07,4.923248297927785e-08
1803,3.939685200293752e-07,8.581492494386112e-08
1804,3.9302429399867833e-07,1.2606439270257397e-07
1805,3.6388834701028827e-07,3.4114531644036106e-08
1806,3.371552850239823e-07,6.339671898558663e-08
1807,2.932363827312656e-07,7.117387923472052e-08
1808,1.7675377250725433e-07,1.2010191596800723e-07
1809,3.2755943379925156e-07,9.262025457701384e-08
1810,2.0827128821565566e-07,1.0530570193623134e-07
1811,1.42903374467096e-07,8.022645658911642e-08
1812,1.440292436427626e-07,8.535066342574282e-08
1813,1.4378707646756084e-07,5.7514832008109806e-08
1814,1.7936059748535627e-07,8.496028414128887e-08
1815,1.2407228666688752e-07,4.315557688983063e-08
1816,2.2944279010062019e-07,4.6352077731626196e-08
1817,2.5221348209925054e-07,1.2454987086130132e-07
1818,1.3709353652302525e-07,1.1801965627000754e-07
1819,1.521604389154163e-07,8.9019032145643e-08
1820,1.8630375109296438e-07,8.662531314485022e-08
1821,1.4989461760706035e-07,1.5285306176338054e-07
1822,1.6241497746705136e-07,1.0426640528748976e-07
1823,2.174191138237802e-07,1.0179167730939298e-07
1824,1.9115925908863574e-07,9.179012749882531e-08
1825,1.6113961009978084e-07,7.748789698780456e-08
1826,1.761596877258853e-07,6.34174881497529e-08
1827,1.98171363763322e-07,4.977327350275118e-08
1828,1.8528048428834154e-07,9.080578422526742e-08
1829,1.7317815093065292e-07,6.858540757548326e-08
1830,2.640519483065873e-07,7.827626546941246e-08
1831,1.4343909526814969e-07,5.14509785887185e-08
1832,2.1512651926514081e-07,1.4747666909897816e-07
1833,2.2935584809147258e-07,1.2973663388038403e-07
1834,2.5389923052898666e-07,1.0828055962974759e-07
1835,2.0193445493532636e-07,9.605121675804185e-08
1836,1.955738326842038e-07,5.645430078971003e-08
1837,2.2473987826288067e-07,8.558205877307046e-08
1838,1.5275432474481931e-07,6.754013526233393e-08
1839,1.9016812302652397e-07,8.180025901083354e-08
1840,1.235719651049294e-07,7.45253601053264e-08
1841,1.207063178298995e-07,3.78812359258518e-08
1842,1.4758182942387066e-07,6.372852112690452e-08
1843,1.3644964269587945e-07,4.134837894298471e-08
1844,1.2733461574043758e-07,6.696044607679141e-08
1845,1.311353514665825e-07,4.296775557577348e-08
1846,1.3465353276842507e-07,6.732676638421253e-08
1847,1.1056108206730642e-07,2.1572894581822766e-08
1848,1.078059739256787e-07,3.459445352405055e-08
1849,1.0055298105271504e-07,5.865590324560799e-08
1850,1.330643186747693e-07,1.8330290174617403e-08
1851,1.7348990866139502e-07,2.902247508984601e-08
1852,1.5495098182327638e-07,3.580800012059626e-08
1853,1.4929830172150105e-07,4.896984151514516e-08
1854,1.3560683953528496e-07,5.0917510208137173e-08
1855,1.1887539130839286e-07,7.429711956774554e-08
1856,1.2942973626195453e-07,5.9537676122545236e-08
1857,1.1862066884305023e-07,4.29572786231347e-08
1858,1.3212925864536373e-07,4.893675864536817e-08
1859,1.2221215683894116e-07,6.008764330545091e-08
1860,1.0390207449972877e-07,5.2637613379147297e-08
1861,1.1837069280318246e-07,3.819930682880113e-08
1862,1.2605181609615101e-07,7.138418567365079e-08
1863,1.0588595955596247e-07,6.89257646513397e-08
1864,1.2226556123096088e-07,5.657778956447146e-08
1865,9.037141524004255e-08,4.330296832222302e-08
1866,1.114225369747146e-07,5.7900795269461014e-08
1867,1.1161466773046413e-07,6.211598702066112e-08
1868,8.694178177393042e-08,5.285665238830006e-08
1869,9.376356757684334e-08,5.4207063726607885e-08
1870,9.289158953151855e-08,4.243196016773254e-08
1871,7.434824311758348e-08,2.549082545044712e-08
1872,9.736216100009187e-08,5.5635521079011596e-08
1873,9.038866721766681e-08,4.788803664723673e-08
1874,8.304706966555386e-08,3.764003864148435e-08
1875,1.1271408340007838e-07,4.4627910256167524e-08
1876,8.403960549685507e-08,2.539326260375674e-08
1877,9.462768701951063e-08,5.44263798474276e-08
1878,9.602150896625972e-08,3.5026715750063886e-08
1879,7.514469757552433e-08,3.604501941367744e-08
1880,1.5787901475050603e-07,6.161132404258751e-08
1881,1.1922988107926358e-07,7.878933416805012e-08
1882,1.1780031883290576e-07,6.855047018916594e-08
1883,1.0174135667284645e-07,7.772786858595282e-08
1884,1.1024833668216161e-07,5.215340692643622e-08
1885,7.02574283195645e-08,5.5432465728699754e-08
1886,1.0325542376676822e-07,6.195325141788999e-08
1887,9.401651368534658e-08,3.3297514079322355e-08
1888,8.813454144274147e-08,4.1848057463766963e-08
1889,7.016953418315097e-08,3.696430539434914e-08
1890,8.979509402706753e-08,3.080561583601593e-08
1891,1.121862709396737e-07,2.2309770031370135e-08
1892,6.143142172732041e-08,2.820830502514582e-08
1893,7.328515749804865e-08,3.510297474917934e-08
1894,7.687877712214686e-08,2.7726773765834878e-08
1895,7.282523739604585e-08,2.888934957923084e-08
1896,7.13540515562272e-08,3.125425251937486e-08
1897,5.7684463428131494e-08,1.6897470089816125e-08
1898,8.657283245838698e-08,1.9238406423482957e-08
1899,7.572782578790793e-08,3.924580482816964e-08
1900,5.2429637520390315e-08,3.841379481173135e-08
1901,2.9061443029831935e-08,3.017919070202879e-08
1902,5.9414436037741325e-08,2.8479647085077886e-08
1903,8.316339261682515e-08,3.132127801563911e-08
1904,5.5896101969210576e-08,2.042357571951925e-08
1905,4.541468001661997e-08,2.4255568220610257e-08
1906,4.1153477070565714e-08,5.041300710217911e-08
1907,4.885701088142014e-08,3.4971336049238744e-08
1908,5.255186152908209e-08,4.371136341774218e-08
