year,en_PRON aie_VERB
1800,3.144164395507687e-08
1801,9.048493865293494e-08
1802,4.4756802708434407e-08
1803,6.436119548425268e-08
1804,1.6808586167371686e-07
1805,1.1655798459742073e-07
1806,1.3255677799861587e-07
1807,7.971474502710407e-08
1808,9.517511045942229e-08
1809,5.873479480555943e-08
1810,9.594519667643908e-08
1811,5.264861258069686e-08
1812,3.7340914360584065e-08
1813,4.3136125782439194e-08
1814,1.2901375612273114e-07
1815,1.3216394734172354e-07
1816,1.668674798338543e-07
1817,1.4323235575375293e-07
1818,5.126106117359086e-08
1819,8.9019032145643e-08
1820,7.95054262425765e-08
1821,1.2425475404143072e-07
1822,1.0426640528748976e-07
1823,1.2551012673611694e-07
1824,1.2379035752019263e-07
1825,1.215151144151605e-07
1826,7.04638765114396e-08
1827,7.650336897313537e-08
1828,6.604057034564903e-08
1829,8.401712392469562e-08
1830,5.322786122974321e-08
1831,8.263339168479433e-08
1832,7.712082350508354e-08
1833,5.09679658478035e-08
1834,4.1071935186209885e-08
1835,7.411826175030001e-08
1836,6.25029770162655e-08
1837,6.331680424409569e-08
1838,4.7341213615936795e-08
1839,6.222413162504381e-08
1840,5.6690229399691816e-08
1841,5.072233477676491e-08
1842,6.305769062464606e-08
1843,4.371114314949409e-08
1844,5.0494762149355665e-08
1845,5.245414413934668e-08
1846,4.507965911670908e-08
1847,5.501087940729121e-08
1848,4.183515400768556e-08
1849,3.6869426622843093e-08
1850,5.2275268558332755e-08
1851,4.6435957301582675e-08
1852,4.492276417522589e-08
1853,4.478948767427937e-08
1854,4.624141425324524e-08
1855,6.315255518529739e-08
1856,4.970101485923806e-08
1857,6.638852312335075e-08
1858,4.991549573674092e-08
1859,6.568903643255908e-08
1860,5.446849016266242e-08
1861,6.319391587794598e-08
1862,6.23482137029896e-08
1863,6.293222298836554e-08
1864,9.54150891629979e-08
1865,6.542513375507042e-08
1866,6.373952743388145e-08
1867,4.464586567110018e-08
1868,6.57003269566303e-08
1869,6.299739396808945e-08
1870,5.160643823387545e-08
1871,4.248470730772169e-08
1872,5.019291648977742e-08
1873,5.447263973223926e-08
1874,5.675878611555163e-08
1875,8.181783783811625e-08
1876,6.590155976482492e-08
1877,7.978412952525105e-08
1878,5.3747889694477635e-08
1879,7.331190232662266e-08
1880,6.161132404258751e-08
1881,5.299105865219644e-08
1882,7.387477296560974e-08
1883,5.750598575104959e-08
1884,5.6114423330200225e-08
1885,6.316722789279083e-08
1886,5.162771188338411e-08
1887,6.006610675513002e-08
1888,4.9456794215529953e-08
1889,5.325366103647866e-08
1890,6.226667181863377e-08
1891,5.16311828846483e-08
1892,6.769993632360638e-08
1893,4.310891554837326e-08
1894,3.843938856107343e-08
1895,3.4306101071024386e-08
1896,2.7126333179694484e-08
1897,6.292850684985751e-08
1898,5.092519472782442e-08
1899,3.703477347016815e-08
1900,4.152842336679896e-08
1901,3.1855812210324075e-08
1902,3.093478895266344e-08
1903,3.7801541452608944e-08
1904,5.697102523072317e-08
1905,4.69629064525634e-08
1906,3.395161840558103e-08
1907,4.371417006154843e-08
1908,3.732655784460803e-08
1909,3.355599886845084e-08
1910,2.51175080734356e-08
1911,2.8730021028877673e-08
1912,2.8651816919023076e-08
1913,3.553003224965323e-08
1914,2.8126324380650658e-08
1915,2.709575319670421e-08
1916,2.307367097387214e-08
1917,3.070598708632133e-08
1918,3.675640414257941e-08
1919,2.6702760891339494e-08
1920,4.770506123463747e-08
1921,4.1650110915725236e-08
1922,2.951174238319254e-08
1923,4.458698299458774e-08
1924,1.675911143195208e-08
1925,2.969508017258704e-08
1926,4.904300965336006e-08
1927,5.9090890403012963e-08
1928,2.8565102283550914e-08
1929,4.567566591617833e-08
1930,4.411513643276521e-08
1931,3.649714130915527e-08
1932,2.301502632917618e-08
1933,2.2941325283909464e-08
1934,2.3963160344919743e-08
1935,5.864459140525469e-08
1936,2.9099314957647948e-08
1937,3.5255130370615007e-08
1938,1.9447821131279852e-08
1939,2.9058696782158222e-08
1940,1.2678914806940611e-08
1941,2.6563522936839945e-08
1942,4.5513175450651033e-08
1943,1.4516175816936538e-08
1944,3.213186161588055e-08
1945,2.178504132643866e-08
1946,2.9234318077442367e-08
1947,4.887557025767819e-08
1948,2.6092530802657166e-08
1949,4.0249734212238764e-08
