year,en_ADP eaux_NOUN,en_ADP pots_NOUN
1800,2.358123420975744e-07,1.9179402954705438e-07
1801,2.524053570596152e-07,1.0953439755212457e-07
1802,2.5735161557349784e-07,7.51914285501698e-07
1803,1.1331471370112922e-06,2.8474951818679983e-07
1804,4.696516728852629e-07,8.849226560414536e-07
1805,5.34461003454112e-07,6.02690079176682e-07
1806,2.7087691023552907e-07,2.4494187300660997e-07
1807,3.074711401040986e-07,1.2811298688575334e-07
1808,2.5153420679657756e-07,1.8581806671136292e-07
1809,2.710836657371374e-07,1.246984879799129e-06
1810,3.1825722945910684e-07,2.620942041176022e-07
1811,3.4096243783920954e-07,2.1310152078513056e-06
1812,2.667208347517658e-07,9.068507722531649e-08
1813,2.0992914051554123e-07,1.1502966401621961e-07
1814,2.580275122454623e-07,9.754699448194515e-08
1815,2.5623624266835066e-07,5.3944472000466703e-08
1816,2.062667476820934e-07,2.1785476178592944e-07
1817,2.2107602470899934e-07,1.3389110620209976e-07
1818,1.9908365556098317e-07,7.033494853203592e-08
1819,3.3226870055358404e-07,2.794783426907088e-07
1820,2.1003671690777992e-07,1.1747816586193949e-07
1821,2.031466594942799e-07,2.4259261977022106e-07
1822,1.5439448475262907e-07,1.884815787889238e-07
1823,1.2649839309375466e-07,1.6009953185402992e-07
1824,1.9621192581809055e-07,9.263224143296611e-08
1825,1.787504968486786e-07,2.9322126238184865e-07
1826,2.3164999207736514e-07,2.4398116238444345e-07
1827,2.0185828181196186e-07,1.8987581995588698e-07
1828,1.751909479708047e-07,1.1373653308055509e-07
1829,2.1518671777798204e-07,2.769135960534186e-07
1830,1.8890672803806297e-07,1.9099410053513566e-07
1831,2.7908258548592357e-07,2.525775357753446e-07
1832,3.368962495642336e-07,3.111892965534935e-07
1833,2.536814502906992e-07,2.2819747869107232e-07
1834,1.7455573142477476e-07,2.9030391601736483e-07
1835,2.2008586597621616e-07,2.0874122697023267e-07
1836,1.854926970912274e-07,2.459794643527857e-07
1837,1.8507989274496595e-07,2.5326721697638277e-07
1838,2.057764847407384e-07,2.5627377908676863e-07
1839,2.551888466095775e-07,2.3701100815287646e-07
1840,1.0828470919932442e-07,1.598791925516707e-07
1841,1.8491180320268086e-07,2.1252016324524448e-07
1842,1.677066228111812e-07,1.8716059457801748e-07
1843,2.0615119794564762e-07,2.0319774307608895e-07
1844,1.9374621373913214e-07,3.177877090365655e-07
1845,1.696389348992966e-07,4.2744545680761803e-07
1846,2.1603110056389596e-07,4.1859684074552206e-07
1847,1.526282265018608e-07,2.847622226909152e-07
1848,3.07327463255902e-07,2.928460673956579e-07
1849,2.1618890544417013e-07,4.374054469735711e-07
1850,1.5003680609027015e-07,2.756332264652883e-07
1851,2.347595637886002e-07,5.133753120389883e-07
1852,2.8841716326333255e-07,3.632884215676313e-07
1853,2.3589130093704114e-07,3.6428784255804203e-07
1854,2.202961661978975e-07,1.9431784892276482e-07
1855,1.9529528572093113e-07,4.489668867790897e-07
1856,1.7602443536102186e-07,3.6913360190737876e-07
1857,1.7768692828212806e-07,2.9923651823082764e-07
1858,1.1842696068242731e-07,3.0928032401789096e-07
1859,2.1896344959415615e-07,3.2029771546149277e-07
1860,2.2657060874675672e-07,2.34351816175149e-07
1861,2.0090005414807877e-07,3.301174729131162e-07
1862,2.177669320979625e-07,5.290561944093497e-07
1863,2.062778469147375e-07,3.9207773738780816e-07
1864,2.1624223289773425e-07,3.178904535161564e-07
1865,1.8968582082834473e-07,4.17497091120822e-07
1866,1.965707678852624e-07,5.040774908593448e-07
1867,2.406994568104892e-07,6.066014179850754e-07
1868,2.7317504580626206e-07,4.272991134257609e-07
1869,1.982708842662717e-07,2.197583626184496e-07
1870,2.339491849134845e-07,1.1886683068951243e-06
