year,en_ADP yeux_NOUN,en_ADP pieu_NOUN
1800,3.144164484325529e-09,2.515331631869344e-08
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,1.1189200677108602e-08
1803,7.801356893821776e-09,1.1702034896643454e-08
1804,0.0,4.943701892301533e-09
1805,2.842877711017877e-09,1.7057265822018053e-08
1806,2.881669125542885e-09,1.4408345627714425e-08
1807,5.693910232196231e-09,5.693910232196231e-09
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,0.0,2.0331275329965592e-08
1810,0.0,9.360507036149102e-09
1811,0.0,2.757784489659798e-08
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,1.7254449868886468e-08
1814,0.0,6.293354282149721e-09
1815,0.0,1.6183340889597275e-08
1816,0.0,1.3905623319487859e-08
1817,1.0898113522728181e-08,1.0898113966817391e-08
1818,1.1921177378582115e-09,5.9605886892910576e-09
1819,1.035105001712111e-09,7.24573512300708e-09
1820,5.933240565525466e-09,2.3732962262101864e-09
1821,3.94459531705138e-09,7.889190523080458e-09
1822,1.0025615893027862e-09,1.2030739071633434e-08
1823,3.854247765389118e-08,1.1859224269272772e-08
1824,3.2000230021367315e-08,2.5263338088166165e-09
1825,7.044354433105582e-09,8.805443041381977e-09
1826,8.807984341885344e-10,7.0463874735082754e-09
1827,5.530363722527909e-09,5.5303638335502114e-09
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,2.571952872898464e-09,3.429270478694235e-09
1830,1.1480519646056564e-08,0.0
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,1.6235963684607668e-08,4.058990921151917e-09
1833,0.0,1.2741991128883967e-08
1834,4.667265685043276e-09,7.467624740797874e-09
1835,3.781543966852041e-09,3.025235173481633e-09
1836,7.392825018825988e-09,4.704524991794301e-09
1837,7.653680356156656e-09,9.045258320128369e-09
1838,4.418513555037862e-09,4.418513332993257e-09
1839,6.9914751765765e-10,7.690622805256453e-09
1840,2.5478754661634184e-09,3.821813199245128e-09
1841,0.0,8.346713098461578e-09
1842,1.0733224087289273e-08,4.695785538189057e-09
1843,3.544146642830981e-09,7.088293285661962e-09
1844,8.232841963717874e-09,9.879410622914975e-09
1845,2.790113973194508e-09,7.254296496839174e-09
1846,2.9272506640865004e-09,4.6836010625384006e-09
1847,1.0786447290911383e-09,5.3932236454556914e-09
1848,1.6090443422100975e-09,3.218088684420195e-09
1849,4.1897072478036534e-09,5.865590235742957e-09
1850,6.788996032014438e-09,7.467895635215882e-09
1851,2.579775504329973e-09,5.159551008659946e-09
1852,7.812654523320361e-09,1.3021091094245207e-08
1853,6.569124799682413e-09,4.777545470346922e-09
1854,3.63696517347023e-09,1.0910895298366086e-08
1855,1.0613874223963649e-08,6.8990182455763716e-09
1856,6.73034605824796e-09,6.212627079449362e-09
1857,5.857811125054013e-09,7.3222639063175166e-09
1858,1.468102750479261e-09,5.872411223961649e-09
1859,4.582956236731661e-09,6.61982535454797e-09
1860,7.323494255473406e-09,1.2358396528355797e-08
1861,1.0375119985361891e-08,6.13075279431996e-09
1862,4.066187830886747e-09,7.680576730173527e-09
1863,4.994620828036034e-09,5.993545049154392e-09
1864,6.233146443435089e-09,4.794727948009836e-09
1865,4.23615986733239e-09,1.1296426460916109e-08
1866,4.379051787850585e-09,1.216403244796993e-08
1867,4.367530337390235e-09,4.85281148598915e-09
1868,1.975949626142892e-09,9.87974813071446e-10
1869,4.395167341186834e-09,4.395167119142229e-09
1870,3.4404292748035914e-09,7.454263428741115e-09
1871,0.0,3.18635318130589e-09
1872,5.442605477412599e-09,1.8142017887967654e-09
1873,7.781805422268917e-09,2.3944017324417644e-09
