year,en_ADP îles_NOUN,en_ADP iles_NOUN,en_ADP pile_NOUN
1800,8.803660733747165e-08,3.144164484325529e-08,1.2576657582030748e-07
1801,6.191074675143682e-08,7.143547975374531e-09,2.7145480885337747e-07
1802,7.384872446891677e-08,8.951360541686881e-09,1.991677720525331e-07
1803,8.191424427650418e-08,9.751695895232615e-09,8.776526305709353e-08
1804,2.175228814849106e-07,1.9774807569206132e-08,2.175228814849106e-07
1805,3.1271653710973624e-08,2.2743021688143017e-08,1.7341554325867037e-07
1806,4.8988376022407465e-08,8.645007376628655e-09,8.645007198992971e-08
1807,3.4163463169534225e-08,8.540865792383556e-09,1.7935816742919997e-07
1808,4.985362878073829e-08,2.4926814390369145e-08,6.571614541428517e-08
1809,4.51806094758922e-08,2.25903047379461e-08,9.713831161661801e-08
1810,4.914266327205041e-08,1.8721014072298203e-08,8.424455977262824e-08
1811,5.0141537144554604e-08,7.521230305229665e-09,1.8301660986708157e-07
1812,2.6672083208723052e-08,8.00162469616339e-09,9.068507988985175e-08
1813,8.052076339026826e-08,8.627224934443234e-09,7.764502640839055e-08
1814,3.1466772298927026e-08,3.1466771410748606e-09,5.349351139827263e-08
1815,3.776112933451259e-08,0.0,5.1247247778718474e-08
1816,1.0660977523002657e-07,2.3176038865813098e-09,9.733936678912869e-08
1817,1.1053801074467628e-07,2.3353101674672416e-08,6.694555310104988e-08
1818,1.3947777688372298e-07,2.0266001987678806e-08,7.033494608954527e-08
1819,3.622867339458935e-08,8.280840235741493e-09,1.148966586317357e-07
1820,7.238553223487543e-08,3.5599443393152796e-09,1.115449199673435e-07
1821,3.254291058851777e-08,3.94459531705138e-09,2.2681423739179252e-08
1822,7.118187284049782e-08,1.4035862250239006e-08,7.118187284049782e-08
1823,6.81905376609393e-08,6.917880712720148e-09,3.261286618538861e-08
1824,3.621078548121659e-08,1.6000114122505238e-08,4.884245363712125e-08
1825,4.57883047033647e-08,2.641632912414593e-09,6.956299758442697e-08
1826,5.813269510213104e-08,8.807984452907647e-09,6.341748548521764e-08
1827,6.728609491801762e-08,5.530363889061363e-09,4.885154680778214e-08
1828,6.420610532131832e-08,2.7516904310687096e-09,1.0639869429951432e-07
1829,3.3435387791769244e-08,2.5719527840806222e-08,7.630126735991283e-08
1830,4.174734158368665e-08,9.39315203396518e-09,5.114049428378564e-08
1831,3.897801548191637e-08,4.677361609140007e-09,7.951515357262906e-08
1832,3.3824925083081325e-08,8.117981509236927e-09,6.22378593106987e-08
1833,9.730248251571538e-08,1.3900354645102198e-08,6.602667923516492e-08
1834,7.560969805808782e-08,6.534171870242744e-09,7.467625096069241e-08
1835,5.974839467626225e-08,1.1344631900556124e-08,7.487457054367042e-08
1836,7.123995260371885e-08,1.0753199664037538e-08,9.274635170974932e-08
1837,4.87052354003481e-08,6.262101726051128e-09,7.723258788061571e-08
1838,6.56464820281144e-08,1.3255539776935166e-08,5.049729612238707e-08
1839,4.894032556990169e-08,1.1885507911202353e-08,1.4332523523563623e-07
1840,4.58617570586739e-08,1.4013315285943406e-08,9.044958060311359e-08
1841,4.751206006403663e-08,7.704658244733764e-09,7.833068993434722e-08
1842,3.7566284305512454e-08,4.695785538189057e-09,1.4825265282070177e-07
1843,3.1306630177141415e-08,4.13483786099178e-09,1.3172410989747974e-07
1844,3.0735943568060975e-08,4.9397050894128824e-09,1.0098952879511458e-07
1845,4.910600637231255e-08,5.580227946389016e-09,7.254296452430253e-08
1846,4.0981507964943376e-08,1.1709002656346001e-08,8.371937099127535e-08
1847,5.9325458323655766e-08,6.47186837454683e-09,6.903326177365443e-08
1848,9.171552761699786e-08,1.126331028444838e-08,2.654923214606697e-08
1849,6.452149392544015e-08,1.0893238977516262e-08,4.1059134758825167e-08
1850,2.1045888587423178e-08,8.146795238417326e-09,5.838536765168101e-08
1851,4.9660677348128957e-08,7.739326290945314e-09,6.836405064269968e-08
1852,3.906327350478023e-08,1.1718982229069752e-08,6.185018097681905e-08
1853,3.762317035693741e-08,4.180352286553557e-09,7.644072708146155e-08
1854,2.961528799971802e-08,9.352196128631363e-09,5.455447649183043e-08
1855,5.094659627502551e-08,3.714855978387277e-09,5.943769565419643e-08
1856,7.869327589560271e-08,1.7084724746041502e-08,6.109083283689642e-08
1857,3.7099468386259105e-08,7.810414537345878e-09,4.979139456295911e-08
1858,2.397901255335455e-08,4.893675908945738e-09,6.704335930862726e-08
1859,4.430190969628711e-08,2.5460866748261424e-09,5.3467818617036755e-08
1860,3.4786598490654796e-08,3.661747072225552e-09,9.017052543525139e-08
1861,2.452301117727984e-08,3.3011746669586728e-09,4.385846108512226e-08
1862,4.472806480748659e-08,5.421583626485926e-09,3.930648162508987e-08
1863,2.6970951694238465e-08,2.996772441310469e-09,4.345320281373688e-08
1864,3.931677028390368e-08,6.712619238236073e-09,1.0164823427416536e-07
1865,3.435996376310868e-08,5.648213063924601e-09,4.6127076491764285e-08
1866,3.259960479340407e-08,5.352174370365503e-09,4.622332316905897e-08
1867,3.542552207136396e-08,3.396968040192405e-09,8.201251411321664e-08
1868,3.210918109175509e-08,4.939873954334928e-09,8.101393367265786e-08
1869,2.8812763730456936e-08,1.953407657850903e-09,8.057806866190731e-08
