year,son_DET an_NOUN,son_DET pan_NOUN
1800,1.1947824818392405e-07,0.0
1801,1.5715804924099075e-07,0.0
1802,1.1860552717735118e-07,8.951360541686881e-09
1803,1.4042442475492578e-07,1.5602713787643552e-08
1804,9.887403673580764e-08,7.4155526164076946e-09
1805,1.7910129024301114e-07,5.685755422035754e-09
1806,1.0950343032334331e-07,2.881669125542885e-09
1807,2.021338083579849e-07,2.8469551160981155e-09
1808,1.4049658636494655e-07,2.2660739951163578e-09
1809,9.713831272684104e-08,1.5813214071513926e-08
1810,9.828532210320873e-08,4.680253518074551e-09
1811,1.3036799018095735e-07,1.0028307073639553e-08
1812,1.0668832839400011e-07,2.6672082320544632e-09
1813,8.914798788062228e-08,0.0
1814,1.2272040805783035e-07,4.09068032780624e-08
1815,1.7262230644909948e-07,0.0
1816,1.3442102897442965e-07,0.0
1817,1.1053801518556838e-07,1.556873407970727e-09
1818,1.7762553694566918e-07,2.622659001083605e-08
1819,1.7079232339511918e-07,1.035105001712111e-09
1820,1.0798497562802822e-07,1.779972080839798e-08
1821,1.400331290923873e-07,4.930744035291923e-09
1822,1.1128433641260926e-07,9.023054303725075e-09
1823,1.462637607696493e-07,5.929612356680991e-09
1824,1.3221146666353434e-07,0.0
1825,1.5673689013340208e-07,1.4088709088255769e-08
1826,1.1538459276927426e-07,8.807984341885344e-10
1827,1.4747636600809244e-07,2.7651818612639545e-09
1828,1.2199160820403065e-07,3.6689205562545624e-09
1829,8.74463982336593e-08,1.714635211591542e-09
1830,6.053364831615227e-08,3.1310507520032616e-09
1831,7.639690879912564e-08,2.6505050598757407e-08
1832,7.71208219507713e-08,1.2176972430388844e-08
1833,1.1583628245492861e-07,1.2741991128883967e-08
1834,1.0641365477681575e-07,2.2402874444438226e-08
1835,1.550433026409337e-07,5.294161553592858e-09
1836,8.468145001883087e-08,1.3441499802091528e-08
1837,9.393152344827627e-08,1.7394726992137066e-08
1838,1.1677499323070606e-07,1.7042836919500814e-08
1839,1.1326189996996305e-07,1.9576131049525713e-08
1840,9.427138925044432e-08,6.369688665408546e-09
1841,6.741575964142044e-08,6.420548537278137e-09
1842,7.714504635103481e-08,4.024959032733477e-09
1843,7.560846043697111e-08,2.0674188638825086e-08
1844,8.232841669508772e-08,1.6465683927435748e-08
1845,7.812318997268974e-08,1.2276501815122742e-08
1846,6.557041376531458e-08,4.6836010625384006e-09
1847,7.065122886729114e-08,2.1572894581822766e-09
1848,6.75798647598036e-08,2.011305388904816e-08
1849,6.703532084983976e-08,2.0110596521405455e-08
1850,6.992665557703504e-08,8.146795238417326e-09
1851,6.384944617465749e-08,6.4494389828695375e-09
1852,6.64075603395986e-08,7.812654523320361e-09
1853,1.361600512339578e-07,1.851298847554972e-08
1854,8.78067258902604e-08,2.4939189824380037e-08
1855,8.384960636931282e-08,6.368324534378189e-09
1856,6.885661679723043e-08,5.694908045139613e-09
1857,6.882927949813933e-08,9.27486726309823e-09
1858,7.780944633051234e-08,2.691521755471271e-08
1859,7.027199155906771e-08,1.2221216261210088e-08
1860,6.316513795345813e-08,5.492620747116206e-09
1861,5.4233584068086316e-08,7.073945429425521e-09
1862,4.9246050931595065e-08,1.0391368765461095e-08
1863,6.842630428938179e-08,4.9946207725248826e-09
1864,6.376988459511068e-08,1.5822602117410156e-08
1865,5.64821325821363e-08,8.943004170536284e-09
1866,5.936047775545461e-08,9.731226047193786e-09
1867,8.589476685472164e-08,1.1161466417775046e-08
1868,1.0027944497004171e-07,8.89177353968762e-09
1869,5.71371735480497e-08,1.0255390092694938e-08
1870,7.511604183108034e-08,1.4335121978348297e-08
1871,7.22240054429335e-08,1.911811864374613e-08
1872,6.228759585891197e-08,1.753728340325722e-08
1873,5.028243821314504e-08,1.6162211458059517e-08
1874,6.03435516555173e-08,7.766991660940192e-09
1875,6.122034090783046e-08,6.865832735680755e-09
1876,6.227395332736307e-08,2.841626911553874e-08
1877,6.061119739442233e-08,1.4225076672147452e-08
1878,6.52221585073498e-08,2.959153455606156e-08
1879,5.254019630474005e-08,9.163987568783227e-09
1880,6.096953786283166e-08,7.701415505323439e-09
1881,6.414706832380546e-08,1.8128519629900808e-08
1882,6.988154366283084e-08,3.3276925659464496e-09
1883,6.192952090033899e-08,2.08538187829177e-08
1884,5.0172896060018957e-08,1.0562715146988921e-08
1885,6.832373844467554e-08,4.511945039809007e-09
1886,4.0656823463436353e-08,1.484296713316624e-08
1887,5.8760320276185496e-08,1.8933881629212834e-08
1888,7.355113318396889e-08,8.87686080197625e-09
1889,3.696430755928404e-08,2.2554492273840765e-08
1890,4.653614438243636e-08,2.0318598359381213e-08
1891,4.398211705947119e-08,1.0198752398160593e-08
1892,5.955086601616699e-08,1.7551835318485587e-08
1893,4.3108915770417866e-08,1.6011883430255835e-08
1894,5.6713853835432815e-08,1.6384001710889606e-08
1895,4.333402414680165e-08,8.426060515986933e-09
1896,4.8945341502015793e-08,9.435246361988447e-09
1897,3.7290966981018414e-08,5.826713334045053e-09
1898,2.4330925163518202e-08,1.6409228975611256e-08
1899,4.2009595802028343e-08,7.738609753005221e-09
1900,3.062721309898819e-08,8.824790231898305e-09
1901,5.58873880507349e-08,1.9001712425747996e-08
1902,3.830021277906326e-08,3.093478900817459e-08
1903,4.3201761279476614e-08,1.4040572704487886e-08
1904,4.245953988402107e-08,9.674325340824907e-09
1905,3.767354206374307e-08,1.0837594377477444e-08
1906,3.7552547016428406e-08,2.109115659898464e-08
1907,5.2457003574257755e-08,9.257117905558943e-09
1908,4.2729083382653243e-08,1.7189861978295085e-08
1909,4.950885273968808e-08,1.4302557138634597e-08
1910,3.7409056519166484e-08,1.7101281835074644e-08
1911,3.617854271720233e-08,1.4365010736483441e-08
1912,4.1675368378513156e-08,1.823297379743849e-08
1913,7.424185671789374e-08,2.0681659718135847e-08
1914,6.76371111341112e-08,1.0045115239609714e-08
1915,3.062998121805549e-08,1.5314990053916233e-08
1916,3.515987700986045e-08,9.888715624128963e-09
1917,3.9479127189601115e-08,9.869782324756216e-09
1918,4.020231880730307e-08,3.101321777165822e-08
1919,3.9593748335509105e-08,1.3811772614502615e-08
1920,3.256059644130005e-08,1.3630017114962811e-08
1921,4.695103461571648e-08,1.3630945261411398e-08
1922,3.246291635505827e-08,1.2542490157585462e-08
1923,2.866305903737043e-08,1.9108706172943357e-08
1924,3.996403508121915e-08,1.675911143195208e-08
1925,4.289289257108919e-08,1.9796720263087764e-08
1926,4.0126098888038086e-08,7.802296808634424e-09
1927,3.2332752919472796e-08,5.574612438330462e-09
1928,2.5137290693422187e-08,9.140832868403947e-09
1929,3.7877380565376484e-08,2.7851015049762395e-08
1930,3.886333299618627e-08,1.0503603542488804e-08
1931,2.737285687004487e-08,2.167017765231094e-08
1932,3.835837958376942e-08,1.972716578979572e-08
1933,3.6706119699303486e-08,1.4911861079269784e-08
1934,2.156684431042777e-08,1.9170528275935794e-08
1935,2.992071124197082e-08,7.180970484910176e-09
1936,2.9099315845826368e-08,1.2124714565686645e-08
1937,2.392312392629492e-08,1.3850229962919514e-08
1938,2.852347158466273e-08,2.3337386245714242e-08
1939,3.823512795264605e-08,1.6823455517567254e-08
1940,1.7750480196809804e-08,4.564409294971483e-08
1941,5.31270463177691e-08,2.9515026866988592e-08
1942,4.2478965012193726e-08,9.102635090130207e-09
1943,4.354852944921106e-08,3.4838822049465534e-08
1944,2.8918675454292497e-08,9.639558484764166e-09
1945,1.742803235060819e-08,1.3071024262956144e-08
1946,2.7842208538686464e-08,4.315542412314244e-08
1947,2.980217805870211e-08,2.5033829231801974e-08
1948,3.261566305923225e-08,1.3046265179283978e-08
1949,2.4542519905246252e-08,1.1780409536754632e-08
1950,2.4461331626923766e-08,2.2334258886758107e-08
1951,3.624876732111204e-08,3.09180652191543e-08
1952,4.007025555807786e-08,2.0035126779838208e-08
1953,2.2625038065271497e-08,1.2928593307037772e-08
1954,2.9317608785106586e-08,2.443134050622575e-08
1955,2.5341140741375057e-08,2.5341140741375057e-08
1956,1.8314397332019894e-08,1.8314396887930684e-08
1957,1.943708272111877e-08,1.8553579061997283e-08
1958,2.4816729671250926e-08,1.8198935525237658e-08
1959,1.705164498488898e-08,2.1702093455644444e-08
1960,2.9067500517676592e-08,1.4533749870260237e-08
1961,3.474079651732964e-08,1.4591134245289794e-08
1962,1.775747771048941e-08,9.512934273647744e-09
1963,2.7157423310164575e-08,1.9398160300276857e-08
1964,2.2510682928800207e-08,1.64267148772268e-08
1965,3.666269171587189e-08,1.3132903931012407e-08
1966,3.4342264032538594e-08,1.9386761085371518e-08
1967,4.585212198815469e-08,1.4297973416343979e-08
1968,4.805814923791729e-08,2.0211371187794924e-08
1969,3.0883953477944814e-08,6.358460730160331e-09
1970,3.495030997946458e-08,1.5635665234770002e-08
1971,3.442726392854922e-08,1.7470551116893773e-08
1972,3.026786543625093e-08,2.103360213778771e-08
1973,3.19765822709428e-08,1.1026407453762488e-08
1974,3.431598794012558e-08,1.0126029126311664e-08
1975,3.1413141421410273e-08,1.6563292959403952e-08
1976,3.4281162297755685e-08,2.11400493776992e-08
1977,2.4094806150287695e-08,1.4104276691018214e-08
1978,3.0891073921068823e-08,1.7227714366185864e-08
