year,mon_DET heureux_ADJ
1800,1.1004575961592877e-07
1801,1.0953440221506128e-07
1802,8.727576528144709e-08
1803,1.2092102963379148e-07
1804,1.2853624831166144e-07
1805,1.0802935346276854e-07
1806,1.498467980809437e-07
1807,7.117387923472052e-08
1808,1.5182695278781466e-07
1809,1.4231892664362533e-07
1810,1.5912861606182105e-07
1811,1.1281845502253418e-07
1812,5.067695596494559e-08
1813,7.189354289671712e-08
1814,5.664018942752591e-08
1815,5.1247248222807684e-08
1816,8.806894413737609e-08
1817,7.472992147317115e-08
1818,8.464036227451288e-08
1819,1.2317750019974483e-07
1820,1.2697135165495865e-07
1821,9.960103142248045e-08
1822,1.443688688596012e-07
1823,1.5021683452687284e-07
1824,7.494790565942822e-08
1825,8.277116303467835e-08
1826,1.550205217526468e-07
1827,6.083400216905233e-08
1828,7.796456219510972e-08
1829,6.344150138559712e-08
1830,6.679574937606958e-08
1831,8.41925122951892e-08
1832,1.136517424615846e-07
1833,1.123611959030768e-07
1834,7.841005733588702e-08
1835,1.1571524538567246e-07
1836,8.132107742753192e-08
1837,7.305785354461136e-08
1838,7.827080783506801e-08
1839,5.8029243632518046e-08
1840,6.497082405410026e-08
1841,5.906904743113728e-08
1842,7.647421984557923e-08
1843,5.375288969489134e-08
1844,3.95176426026822e-08
1845,4.0177640769911704e-08
1846,6.381406181255045e-08
1847,4.314579005182395e-08
1848,3.7812542652559955e-08
1849,2.513824526317876e-08
1850,4.0055075700706766e-08
1851,3.611685883697646e-08
1852,6.185017853432839e-08
1853,5.135861491645244e-08
1854,4.987837987080468e-08
1855,5.7845614520601885e-08
1856,6.678574110408064e-08
1857,6.345961717224569e-08
1858,6.508589223130912e-08
1859,6.212451353349024e-08
1860,7.00309126244747e-08
1861,8.205776791392339e-08
1862,4.743885662072955e-08
1863,6.542953229216053e-08
1864,5.8975154315632494e-08
1865,7.907498544845737e-08
1866,2.0435575009969398e-08
1867,4.270473930034768e-08
1868,3.112120694481746e-08
1869,6.495080573376555e-08
1870,3.899153044883974e-08
1871,4.0360472297606975e-08
1872,4.777398032729252e-08
1873,1.97538145840781e-08
1874,4.122480135038131e-08
1875,2.9751940244793218e-08
1876,2.7207066821688386e-08
1877,5.071549225021954e-08
1878,4.650098345271303e-08
1879,2.932476128592043e-08
1880,3.7223508719819165e-08
1881,4.741305303923582e-08
1882,3.3942464616742996e-08
1883,3.349249677597754e-08
1884,4.027035238607368e-08
1885,3.287274097374393e-08
1886,4.06568209099234e-08
1887,3.525619263200497e-08
1888,2.1558090423923204e-08
1889,4.260293068325538e-08
1890,2.16294753774271e-08
1891,1.9122660788184476e-08
1892,2.507404883722586e-08
1893,2.46336657738766e-08
1894,1.7014155417882648e-08
1895,1.444467478961542e-08
1896,1.8870492723976895e-08
1897,1.631479829011795e-08
1898,2.4896761985360172e-08
1899,2.984892333302014e-08
1900,2.647437047365031e-08
1901,2.0119460097944852e-08
1902,2.3078334354664776e-08
1903,2.214090244478939e-08
1904,3.3860140469244016e-08
1905,2.2191263771009773e-08
1906,2.623534101076075e-08
1907,3.239991386294605e-08
1908,1.7189861978295085e-08
1909,2.0353639218484432e-08
1910,2.2445433733864206e-08
1911,4.0434844805758985e-08
1912,2.6047105805560022e-08
1913,2.3333154741678186e-08
1914,1.6072185360371805e-08
1915,7.068456930880984e-09
1916,2.4172416956957932e-08
1917,1.4256352209862655e-08
1918,1.033773866510046e-08
1919,2.6702760502761436e-08
1920,3.180337238006814e-08
1921,2.4990066127550392e-08
1922,2.4347187821405214e-08
1923,2.866305948145964e-08
1924,3.609654797287476e-08
1925,2.8595261936104066e-08
1926,3.6782257240020044e-08
1927,2.6758140592164636e-08
1928,1.82816659588525e-08
1929,3.2307179376189765e-08
1930,5.2518016602221e-09
1931,2.0529641986399838e-08
1932,2.6302887090601246e-08
1933,2.408839128165141e-08
1934,2.3963160344919743e-08
1935,1.6755597798123745e-08
1936,2.7886842612900864e-08
1937,1.888667711114067e-08
1938,1.5558256905023882e-08
1939,2.9058696782158222e-08
1940,1.2678914806940611e-08
1941,1.7709016475464523e-08
1942,0.0
1943,1.4516175816936538e-08
1944,3.213186161588055e-08
1945,1.3071024262956144e-08
1946,1.1136883415474585e-08
1947,1.1920871401116528e-08
1948,6.523132700664291e-09
1949,2.4542520904446974e-08
1950,1.2762433998503298e-08
1951,2.3455083209000804e-08
1952,5.272402070488624e-09
1953,9.69644453618912e-09
1954,1.3681550781186047e-08
1955,1.8771215692936494e-08
1956,1.831439710997529e-08
1957,1.5019564092444426e-08
1958,1.0753916868111446e-08
1959,2.170209367768905e-08
1960,3.875666521047094e-08
1961,2.292892631317045e-08
1962,2.473363025501385e-08
1963,1.9398160300276857e-08
1964,1.7643507765896516e-08
1965,1.258569987117042e-08
1966,1.994066989308152e-08
1967,2.1200442679170095e-08
1968,2.1558795526566144e-08
1969,1.8167031379245913e-08
1970,1.6555409848573177e-08
1971,3.031654594032318e-08
1972,2.0520588228656322e-08
1973,1.1577727720979425e-08
1974,1.3501371687318908e-08
1975,1.2565256835017635e-08
1976,1.9425991482080462e-08
1977,7.052138095708926e-09
1978,1.2475241506493262e-08
1979,1.5215131043966323e-08
1980,1.5349906457018392e-08
1981,1.644642866338586e-08
1982,1.0552754226011984e-08
1983,1.1999100157922271e-08
1984,8.118612115914914e-09
1985,1.503889479614884e-08
1986,9.591176741707841e-09
1987,1.1610552519414341e-08
1988,8.994830602571113e-09
1989,1.4269117665222097e-08
1990,1.743568234235937e-08
1991,5.2753188484189195e-09
1992,1.0468894195980738e-08
1993,1.550978068198816e-08
1994,1.2132331361769388e-08
1995,8.675921314704738e-09
1996,1.6014276127407356e-08
1997,1.1987236314681127e-08
1998,9.536258227527128e-09
1999,2.0108885057101844e-08
2000,1.1045079073568331e-08
2001,1.4019877703219663e-08
2002,1.9277373808357368e-08
2003,1.0833999475323708e-08
2004,1.0131019939629837e-08
2005,1.3511248453390579e-08
2006,1.2353670086895363e-08
2007,9.58675117068708e-09
2008,1.0643598891135753e-08
2009,1.573503483065508e-08
2010,1.1809483002611643e-08
2011,6.1183550448262736e-09
2012,1.7361689308437178e-08
2013,2.9285813107904346e-08
2014,1.667392801607548e-08
2015,2.770719265132726e-08
2016,3.728412201198239e-08
2017,2.2388940479345365e-08
2018,1.5746946746553192e-08
2019,2.1683395745597522e-08
