year,bien_ADV osé_VERB,bien_ADV posé_VERB
1800,5.0306631749208464e-08,1.2891074518961432e-07
1801,3.809892135109294e-08,7.857902772911984e-08
1802,8.727576528144709e-08,6.713520406265161e-08
1803,5.460949736857401e-08,6.046051659325258e-08
1804,4.943701981119375e-08,6.921182982289054e-08
1805,6.538618890772341e-08,4.548604315424143e-08
1806,8.06867319624871e-08,1.5561013011478053e-07
1807,5.97860605466849e-08,2.8469552049159574e-08
1808,4.985362878073829e-08,6.345007141916881e-08
1809,7.00299480627109e-08,3.6144488291256494e-08
1810,4.212228077449254e-08,4.446240753352981e-08
1811,1.278609147448151e-07,8.524061234638225e-08
1812,6.934741492159446e-08,6.668020802180763e-08
1813,2.5881675469463516e-08,1.7254449868886468e-08
1814,5.349351184236184e-08,8.81069599500961e-08
1815,1.5104451733805035e-07,5.664169555608112e-08
1816,2.0394914201915526e-07,6.489291060063351e-08
1817,7.7843672841027e-08,7.784366751195648e-08
1818,6.199012148044858e-08,9.417730151284331e-08
1819,7.349245834120666e-08,3.415846538956657e-08
1820,9.255855104584043e-08,6.526564888531539e-08
1821,1.23268605989324e-07,1.252409003171806e-07
1822,1.0526896687679255e-07,7.418955760840618e-08
1823,1.7097048043979157e-07,7.807322399688843e-08
1824,2.0631726727060595e-07,7.579001604085533e-08
1825,1.3560382683408534e-07,9.862096206347815e-08
1826,1.444509462045218e-07,5.196710928245807e-08
1827,4.7929820112813104e-08,5.622536658478339e-08
1828,1.0272977135628025e-07,4.953042775923677e-08
1829,8.230248998986056e-08,7.372931332128019e-08
1830,4.905312778191728e-08,5.218417786778673e-08
1831,1.0446107978623331e-07,4.989185908854665e-08
1832,1.0553376128541458e-07,8.388581129725736e-08
1833,1.1351955819804971e-07,1.0656938442821229e-07
1834,1.0548019702127931e-07,1.1294782398252323e-07
1835,1.4823652350060001e-07,1.5806854491984268e-07
1836,1.8280440228224393e-07,1.653304533277833e-07
1837,1.5237780814914004e-07,8.419047681229586e-08
1838,1.5086067328695663e-07,1.3444904656267909e-07
1839,1.6220222676111007e-07,1.0417298046405676e-07
1840,1.7707734939476083e-07,1.2739376664683277e-07
1841,1.8170152804586337e-07,1.63081929294151e-07
1842,7.647422251011449e-08,1.3751943406248301e-07
1843,1.3172412138828804e-07,1.2109168001650517e-07
1844,1.8715994537510383e-07,1.6301026950493736e-07
1845,9.87700374821543e-08,1.5066616088077467e-07
1846,1.3348263494528112e-07,1.2645723401760733e-07
1847,7.442648630728854e-08,1.4184178809273362e-07
1848,1.0217431778425379e-07,1.367687738618173e-07
1849,1.315568138871015e-07,1.6088477172715443e-07
1850,1.941652900683266e-07,1.3442211876935062e-07
1851,1.425325963921864e-07,1.10930344909832e-07
1852,1.282577475336666e-07,1.6015941639579978e-07
1853,1.3257688924461775e-07,1.307853070287024e-07
1854,1.1898071472504768e-07,1.3300900869595011e-07
1855,1.0720012966203285e-07,1.5602395109226563e-07
1856,1.2735884852288493e-07,1.061323766649025e-07
1857,1.220377204846912e-07,1.732935759335419e-07
1858,1.2772494528690004e-07,1.8644905974696258e-07
1859,1.5632971872570067e-07,1.7211545877415801e-07
1860,1.8446051797127438e-07,1.6157458970766925e-07
1861,1.532688145289285e-07,1.8392259093502616e-07
1862,9.984749760327816e-08,1.9743600265798023e-07
1863,1.50338083759749e-07,2.027816026206608e-07
1864,1.6110285649961753e-07,1.764459951481001e-07
1865,1.1814179323721419e-07,1.8074282648328222e-07
1866,1.5132056674360683e-07,2.4133440357232416e-07
1867,1.0433544872512357e-07,2.14008981203051e-07
1868,1.3337659332535168e-07,2.3711395602532548e-07
1869,1.274598537825966e-07,2.1194473465158126e-07
1870,1.3991079494957148e-07,1.8750339592088494e-07
1871,1.0514965342878213e-07,1.614418980722121e-07
1872,1.288083292250164e-07,1.7355864212476035e-07
1873,1.1373408659309803e-07,2.3405277982391226e-07
1874,1.1232264962579563e-07,2.1568339025890282e-07
1875,9.669380807153516e-08,2.425927476679135e-07
1876,1.0278225404114494e-07,2.98068519200001e-07
1877,1.0266794769897558e-07,2.5728834796012734e-07
1878,1.5641239126118478e-07,1.6486711418295386e-07
1879,1.0996785260175557e-07,2.1138265671183376e-07
1880,9.690947644358516e-08,1.5531188601869417e-07
1881,8.994534766992857e-08,1.8267970314234105e-07
1882,9.250985200104367e-08,2.2827971046801565e-07
1883,1.0237329428619546e-07,1.5798347829942827e-07
1884,8.450171939955453e-08,2.1389497817381198e-07
1885,1.0570842423618387e-07,1.9917014926207344e-07
1886,9.551126417539635e-08,2.007027330996891e-07
1887,9.597518868531552e-08,1.9521484295736968e-07
1888,1.2173980290519637e-07,1.6549004655530553e-07
1889,9.585659555000348e-08,1.9171318343946808e-07
1890,1.042147443897079e-07,2.005642230074045e-07
1891,1.0326236710156422e-07,1.9441371779116423e-07
1892,8.149066088591894e-08,1.861748177844902e-07
1893,6.343169212108535e-08,1.8598417828030733e-07
1894,7.183754924255936e-08,1.6257971768851576e-07
1895,1.1314995029820807e-07,1.4565046946302118e-07
1896,8.786573202357317e-08,2.1877976852380243e-07
1897,6.992055956445142e-08,2.2491114115563704e-07
1898,8.88361725293052e-08,1.838965374423296e-07
1899,1.0170744424442546e-07,1.730132073163304e-07
1900,7.5270271349126e-08,1.557316005040832e-07
1901,8.327220912818234e-08,1.9728247840911095e-07
1902,7.021705750176466e-08,1.502546787546244e-07
1903,8.640352433531007e-08,1.5984651824396678e-07
1904,9.728071859171905e-08,1.8811187629808046e-07
1905,9.237758558100495e-08,1.6824073800769668e-07
1906,6.687439879637935e-08,1.5483994975085125e-07
1907,6.068555036264911e-08,1.8874235152566143e-07
1908,9.282525148535115e-08,1.7042519528942535e-07
1909,9.51670138249483e-08,1.666797959654076e-07
1910,7.268045099095843e-08,1.3360376605042745e-07
1911,7.022894021879722e-08,1.4205398890521082e-07
1912,7.762037479430717e-08,1.4638474343797725e-07
1913,8.325693517940991e-08,1.4742312104409905e-07
1914,9.710278048302712e-08,1.2790780878901842e-07
1915,5.419150617136381e-08,8.12872538169529e-08
1916,5.383856249707719e-08,1.9337932588570084e-07
1917,9.86978161421348e-08,1.6778629952085566e-07
1918,8.844509657990329e-08,1.5506608352922058e-07
1919,7.090043319113448e-08,1.4640479228944514e-07
1920,8.026565367913463e-08,2.3322473330367188e-07
1921,1.1056211235427327e-07,1.658431640905178e-07
1922,9.591316185719734e-08,1.8961294223629466e-07
1923,1.0297469943409965e-07,1.539312473042287e-07
1924,4.383152329978657e-08,2.294709195993505e-07
1925,6.92885222530748e-08,1.5837375988425606e-07
1926,8.693987685326476e-08,2.0731817773622652e-07
1927,8.250426608569228e-08,1.7838760002497622e-07
1928,7.084145892122251e-08,1.5653677110094577e-07
1929,8.243900939675086e-08,1.7824649578557228e-07
1930,1.008345931197141e-07,1.9011522045531137e-07
1931,6.729160517693344e-08,1.4598856967751317e-07
1932,7.890866648985195e-08,1.5014565069026986e-07
1933,7.226517162450818e-08,1.6861873786133685e-07
1934,5.391711077606942e-08,1.7013844200164385e-07
1935,7.779384780803866e-08,1.6037500305543517e-07
1936,4.001155717858751e-08,1.7095847359982486e-07
1937,5.666003111137741e-08,1.674618697045105e-07
1938,7.390172163113107e-08,1.5687910126516158e-07
1939,7.188203543506688e-08,1.621169278820389e-07
1940,7.607348440075157e-08,1.8764793963121917e-07
1941,4.7224041566096275e-08,2.4202320680899447e-07
1942,6.978687383529802e-08,2.032921884165262e-07
1943,5.806470348979076e-08,2.3516204805673624e-07
1944,8.032965581605822e-08,1.413801946625881e-07
1945,2.832055301382752e-08,2.156719061119361e-07
1946,6.40370814153357e-08,2.422272169511075e-07
1947,7.0333139312595e-08,2.241123790991395e-07
1948,6.414414044364491e-08,2.1200181610225854e-07
1949,4.515823670558916e-08,1.7670615415354973e-07
1950,6.381217199091793e-08,2.93535971751524e-07
1951,4.371174711081949e-08,2.452122305207638e-07
1952,4.5342655852209646e-08,2.2144087541420276e-07
1953,3.878577814475648e-08,2.3594681897165515e-07
1954,6.058972434885845e-08,2.003369861114379e-07
1955,4.223523575319632e-08,2.1962322271917856e-07
1956,5.05826207586324e-08,2.014583735387987e-07
1957,3.710716001137371e-08,2.1115740622690282e-07
1958,2.7298403093567458e-08,2.6057565616355305e-07
1959,3.2553140627555877e-08,2.2012123945813755e-07
1960,5.329041791179989e-08,1.930912452152711e-07
