year,ancien_ADJ air_NOUN,ancien_ADJ pair_NOUN
1800,6.288328968651058e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,2.842877711017877e-09
1806,2.881669125542885e-08,8.645007376628655e-09
1807,8.540865792383556e-09,0.0
1808,1.1330369531492579e-08,0.0
1809,9.036122072814123e-09,0.0
1810,4.680253518074551e-09,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,4.026038169513413e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,6.210630232317271e-09,0.0
1820,1.779972080839798e-08,0.0
1821,1.2819934447350079e-08,0.0
1822,9.023054303725075e-09,0.0
1823,3.9530747564242574e-09,0.0
1824,5.052667617633233e-09,0.0
1825,5.283265824829186e-09,0.0
1826,4.403992170942672e-09,0.0
1827,2.7651818612639545e-09,0.0
1828,1.7427371545863934e-08,0.0
1829,5.143905579263475e-09,0.0
1830,1.7742621594152297e-08,3.1310507520032616e-09
1831,4.677361609140007e-09,0.0
1832,1.7588960066206027e-08,2.705993873419743e-09
1833,3.0117434435261714e-08,6.950177322551099e-09
1834,6.534171426153534e-09,9.334531370086552e-09
1835,2.571449897459388e-08,3.025235173481633e-09
1836,1.6129800606279332e-08,0.0
1837,1.0436836284100082e-08,3.478945576063097e-09
1838,7.574594285131298e-09,4.418513555037862e-09
1839,3.495737654901632e-08,1.0487212875887053e-08
1840,6.369688498875092e-09,0.0
1841,1.3483152372373297e-08,0.0
1842,3.3541325272778977e-09,4.024959032733477e-09
1843,5.906911071384968e-10,2.953455480181333e-09
1844,1.3172546831086152e-08,0.0
1845,3.348136878855712e-09,1.1160455892778032e-09
1846,8.781751770214896e-09,8.781752436348711e-09
1847,1.7797638030003782e-08,0.0
1848,1.6090443422100975e-09,5.63165514222419e-09
1849,1.6758828991214614e-08,2.4300304213298318e-08
1850,1.2899092460827433e-08,1.5614690873633208e-08
1851,1.096404567135778e-08,5.159551008659946e-09
1852,9.765818376195057e-09,2.0182691296000144e-08
1853,6.569124799682413e-09,2.508211416341055e-08
1854,1.0910895298366086e-08,5.195664343204953e-09
1855,5.837630823180007e-09,1.0613874223963649e-08
1856,8.801221973442352e-09,1.5013849163914017e-08
1857,1.5620829074691756e-08,1.0251168802710708e-08
1858,6.8511465389775594e-09,1.3702292411821304e-08
1859,8.147477359443656e-09,1.5785736939832873e-08
1860,1.3731552062079544e-08,1.0069804545764782e-08
1861,1.226150558863992e-08,8.960331143725853e-09
1862,2.936691068100572e-08,1.7168348520613108e-08
1863,3.496234635136375e-09,1.0988165932701577e-08
1864,9.589456340108882e-09,1.0068928801842958e-08
1865,3.2947911621228343e-09,1.2237795665726026e-08
1866,3.8924903300596725e-09,1.2164032725525686e-08
1867,3.396968040192405e-09,2.4749338578544666e-08
1868,7.903798504571569e-09,1.9265508632848594e-08
1869,2.4417595945180892e-08,5.860222973552709e-09
1870,5.734048791339319e-09,9.747882501187632e-09
1871,1.1683294554032386e-08,6.372706140567175e-09
1872,9.675742762560446e-09,7.256807155187062e-09
1873,7.183205141814142e-09,4.190203295451056e-09
1874,1.4339061493728877e-08,1.0156835372754358e-08
1875,3.432916173551348e-09,7.437985227731758e-09
1876,1.6324239737741664e-08,0.0
1877,7.421779191219002e-09,2.4739263970730008e-09
1878,2.7175899530718084e-08,2.4156354694326865e-09
1879,2.443730107160036e-09,6.10932526790009e-10
1880,1.9253539207397807e-08,5.134277003548959e-09
1881,6.9725074602899895e-09,4.8807553554297556e-09
1882,6.655385131892899e-10,0.0
1883,6.951272890631799e-09,6.319338941018771e-10
1884,8.582206056928499e-09,2.6406787867472303e-09
1885,7.090199150017185e-09,1.2891271383708158e-09
1886,2.0651084398082276e-08,0.0
1887,1.1752064210668323e-08,0.0
1888,1.014498351992188e-08,0.0
1889,1.503632862664972e-08,6.265136853755848e-09
1890,1.5075089621063853e-08,2.6217545912032847e-09
1891,5.736798147637501e-09,0.0
1892,1.2537024751679837e-09,1.8805537127519756e-09
1893,4.926733243593162e-09,0.0
1894,5.671385139294216e-09,0.0
1895,5.416753268150387e-09,8.426059849853118e-09
1896,7.66613794667137e-09,5.307326134129653e-09
1897,4.661370844871726e-09,5.826713556089658e-10
1898,1.1316709347397591e-08,0.0
1899,6.080336234504102e-09,6.080336234504102e-09
1900,1.5573159428683425e-09,2.07642125715779e-09
1901,5.58873880507349e-09,4.470991132876634e-09
1902,1.9641135384773634e-09,0.0
1903,3.7801539676252105e-09,1.0800440541913758e-09
1904,5.374625189347171e-09,2.6873125946735854e-09
1905,5.676834835544042e-09,2.0643036169332163e-09
1906,1.4918134283448126e-08,2.0576738091193647e-09
1907,2.057137349353866e-09,1.028568674676933e-09
1908,3.929111258571538e-09,9.822778146428846e-10
1909,5.5009836685826485e-09,0.0
