year,aucun_DET paiement_NOUN
1800,2.07514860406377e-07
1801,1.3572740198419808e-07
1802,2.1259481286506343e-07
1803,1.3457341196954076e-07
1804,3.0650950755273243e-07
1805,1.7910129201936797e-07
1806,2.7664023605211696e-07
1807,5.266866764941369e-07
1808,2.0847880310981282e-07
1809,1.8975857019043474e-07
1810,3.416585059312638e-07
1811,2.532147398426332e-07
1812,2.187110808016257e-07
1813,1.9267469486550226e-07
1814,1.6992056295350721e-07
1815,1.3755839756157684e-07
1816,4.032630727124342e-07
1817,1.821541868451959e-07
1818,3.4571413110029425e-07
1819,2.525656164209522e-07
1820,2.385162680695885e-07
1821,3.116230367083972e-07
1822,2.095353721642823e-07
1823,2.401492942283312e-07
1824,2.560018401709385e-07
1825,2.5095512690143096e-07
1826,2.668819192308547e-07
1827,2.7375300248877465e-07
1828,2.659967226481541e-07
1829,2.6319650103800996e-07
1830,2.035183035431487e-07
1831,1.7773975713453183e-07
1832,2.2189149284645993e-07
1833,2.490480142114393e-07
1834,3.649801527672025e-07
1835,2.790779376482533e-07
1836,2.3657039882607478e-07
1837,1.97604095752979e-07
1838,2.575362039181073e-07
1839,2.8874792867839005e-07
1840,2.0255609278763131e-07
1841,1.8105946475444057e-07
1842,2.1399365124352698e-07
1843,1.3585895786150104e-07
1844,1.3392089925901018e-07
1845,1.4173779483428461e-07
1846,1.235299773583165e-07
1847,1.8714486405002617e-07
1848,1.1987380421629723e-07
1849,1.0139092232464009e-07
1850,8.89358462430323e-08
1851,1.2124944959168715e-07
1852,1.0156450969134312e-07
1853,7.584353545198042e-08
1854,7.533713564100708e-08
1855,7.058226358935826e-08
1856,8.956537023152578e-08
1857,4.6862487668164476e-08
1858,5.1872966810861953e-08
1859,5.1430950387398866e-08
1860,6.453829093366892e-08
1861,5.046081330561947e-08
1862,1.2424462347837562e-07
1863,1.1187950299529348e-07
1864,7.527722933886594e-08
1865,6.824924114745556e-08
1866,7.930949275092303e-08
1867,5.82337378318698e-08
1868,4.791677721271981e-08
1869,5.274200853833122e-08
1870,5.160644089841071e-08
1871,8.072094637157079e-08
1872,4.354084159885474e-08
1873,4.549363374906079e-08
1874,4.6004491549567206e-08
1875,6.293680132607449e-08
1876,5.501873356905662e-08
1877,4.2675230904620776e-08
1878,7.005343016786014e-08
1879,7.392283407625655e-08
1880,1.0268553696235472e-07
1881,9.203709883109923e-08
1882,7.853354766496068e-08
1883,9.099848341520556e-08
1884,9.374409959406194e-08
1885,9.3461717476373e-08
1886,8.970314890888176e-08
1887,8.48760173255414e-08
1888,7.228300713535418e-08
1889,6.077182490571431e-08
1890,1.1470176186634262e-07
1891,9.37010327106691e-08
1892,1.0656470728065415e-07
1893,7.143763314232388e-08
1894,8.065970558135405e-08
1895,8.606619061879428e-08
1896,9.022454205975805e-08
1897,1.025501554785535e-07
1898,1.0015288287590352e-07
1899,1.09446050444717e-07
1900,8.669058537691399e-08
1901,1.0227391933348429e-07
1902,9.231333653048068e-08
1903,1.3824564604192346e-07
1904,1.4027772010649642e-07
1905,2.0436606362750354e-07
1906,1.6975808669883463e-07
1907,1.8308522697907392e-07
1908,1.1443536163113777e-07
1909,1.3532419629314063e-07
1910,8.443758403586799e-08
1911,1.6546364278724468e-07
1912,1.2294234252863134e-07
1913,1.1931726895397787e-07
1914,1.4665868874885746e-07
1915,1.6139643133072923e-07
1916,1.9887305757748663e-07
1917,1.4804672332502378e-07
1918,1.3668787168796825e-07
1919,1.1786046094641733e-07
1920,1.5295907651591278e-07
1921,1.46911305343167e-07
1922,1.4903429423895886e-07
1923,1.6454719542480234e-07
1924,1.5856698531990787e-07
1925,2.0126665134512223e-07
1926,1.6161900795452766e-07
1927,1.5274438069923235e-07
1928,1.942426957057819e-07
1929,1.6042185002618226e-07
1930,1.5860441493487087e-07
1931,1.368642816856891e-07
1932,1.4576183815506738e-07
1933,1.892659255986473e-07
1934,1.5216606641388353e-07
1935,1.280606412024099e-07
1936,1.2367209123453904e-07
1937,1.309476314048652e-07
1938,7.779128718965467e-08
1939,1.2694061801710177e-07
1940,1.1411023193019787e-07
1941,1.6528415081040748e-07
1942,8.192371581117186e-08
1943,8.709705667797607e-08
1944,1.2852744291080853e-07
1945,1.241747327185294e-07
1946,9.60556150175762e-08
1947,9.77511414035348e-08
1948,8.480072200001132e-08
1949,7.657266198890511e-08
1950,6.593923984610228e-08
1951,6.716683298435555e-08
1952,8.857635069858816e-08
1953,1.1420257273186962e-07
1954,8.40438083571371e-08
1955,8.916327409735914e-08
1956,8.721141497858298e-08
1957,1.060204493086303e-07
1958,7.031407101010245e-08
1959,8.603329870737753e-08
1960,9.273916656837855e-08
1961,8.546236074380431e-08
1962,8.181123867245788e-08
1963,9.052474858606274e-08
1964,9.430151237665996e-08
1965,1.1217688999920483e-07
1966,1.0025725316609169e-07
1967,7.83923335134773e-08
1968,7.27609350548164e-08
1969,9.083515450925006e-08
1970,1.0623054613745353e-07
1971,9.351883445418707e-08
1972,1.1440227432046868e-07
1973,1.3783009222834153e-07
1974,1.1813700417917516e-07
1975,1.1822764278690556e-07
1976,1.3883870053632563e-07
1977,1.116588581595579e-07
1978,1.4732666642203185e-07
1979,1.0240952974527318e-07
1980,1.1086043549823899e-07
1981,8.855769095816868e-08
1982,1.036652896857504e-07
1983,1.2125406989582643e-07
1984,1.2235907842494953e-07
1985,1.0406915507132908e-07
1986,8.871838552693134e-08
1987,1.1305011149431721e-07
1988,8.275244223199252e-08
1989,1.2073868838058388e-07
1990,9.426166514003853e-08
1991,9.261115163639033e-08
1992,9.862800176563269e-08
1993,9.139692114246145e-08
1994,9.072873830007211e-08
1995,9.435064285412409e-08
1996,7.419948033771107e-08
1997,7.527984458022274e-08
1998,7.152194037018944e-08
1999,7.90644776316185e-08
2000,9.277866475088103e-08
2001,1.2135956772851841e-07
2002,1.1084490303403527e-07
2003,1.1000676636285789e-07
2004,1.070364286093195e-07
2005,8.602161649662321e-08
2006,9.14171529586838e-08
2007,9.466916317535379e-08
2008,6.81190330809045e-08
2009,9.965522362875845e-08
2010,1.7430796361850298e-07
2011,6.309553768346632e-08
2012,4.902123817984716e-08
2013,6.080292713761537e-08
2014,5.3919585685235916e-08
2015,6.627560367178376e-08
2016,6.006886010823109e-08
2017,8.07511222333801e-08
2018,5.0854894517726734e-08
2019,6.326449586424587e-08
