year,un_DET arc_NOUN,un_DET parc_NOUN
1800,7.423372196058153e-06,1.201070817913319e-06
1801,4.479004239499318e-06,1.1215369610795278e-06
1802,7.1857048453694006e-06,1.1099687640125921e-06
1803,5.1664484885804995e-06,1.1058423678989016e-06
1804,7.773971375968358e-06,9.417752373508392e-07
1805,6.459017967586078e-06,8.869778280740093e-07
1806,6.59902246979982e-06,1.3457394736349215e-06
1807,4.879681242186962e-06,6.14942315735334e-07
1808,7.398731611374387e-06,1.019733323115446e-06
1809,5.717606470057035e-06,9.374976457365847e-07
1810,7.902608423648871e-06,1.291749981646717e-06
1811,6.89947538035085e-06,9.652245349656141e-07
1812,5.606471702890303e-06,1.2215813427474131e-06
1813,5.662335126999096e-06,7.706987841249457e-07
1814,7.898159879005107e-06,1.1800039398934814e-06
1815,4.695866277160121e-06,7.363420477801697e-07
1816,5.402334494419847e-06,1.0058400938817158e-06
1817,4.505591576275947e-06,1.5677715616835286e-06
1818,3.725367847096095e-06,8.988567952172843e-07
1819,4.718008796089634e-06,6.438353192805835e-07
1820,3.8174470233798274e-06,8.935460042991394e-07
1821,4.211841645229697e-06,9.506474576426172e-07
1822,4.146594690723759e-06,9.855180564954935e-07
1823,3.6447350311163973e-06,9.932100507592523e-07
1824,3.6977105608571037e-06,8.934800828086509e-07
1825,4.809533052707593e-06,1.0381617292498646e-06
1826,4.480621633717874e-06,1.0411037578705873e-06
1827,4.570845511864263e-06,1.0323345971396947e-06
1828,4.890670965096433e-06,7.557976289263024e-07
1829,4.192283114434758e-06,9.96203093184267e-07
1830,5.5711830668769835e-06,8.975678882361393e-07
1831,4.4356981447890576e-06,1.0835888042404207e-06
1832,5.160330530884494e-06,1.0336897133811362e-06
1833,5.213791098412912e-06,1.0934945084972725e-06
1834,5.141459745061638e-06,1.0716041938252374e-06
1835,4.8547461659609326e-06,1.180598040662062e-06
1836,4.349669495695707e-06,1.0228981781601476e-06
1837,4.743194352840874e-06,1.02141834767977e-06
1838,4.582629458127485e-06,1.1021035162261938e-06
1839,4.47594253216721e-06,7.935324592978077e-07
1840,4.535855232745689e-06,8.599079683868638e-07
1841,4.644624816307896e-06,9.431785814584259e-07
1842,4.706518957675598e-06,1.0692974843351521e-06
1843,4.5943954134486376e-06,9.084829075689527e-07
1844,4.422682629012797e-06,9.720242275523816e-07
1845,5.38436208330495e-06,1.0580112004276998e-06
1846,3.9371523570252975e-06,9.021786786522767e-07
1847,4.436465943058465e-06,8.483540572257198e-07
1848,4.932525634160356e-06,9.30832179335539e-07
1849,4.292774107739206e-06,1.0918377473245755e-06
1850,4.765875331713687e-06,8.825695090308727e-07
1851,4.132155432046147e-06,9.603214492504009e-07
1852,4.847100882443556e-06,8.392092887277158e-07
1853,4.773962118065356e-06,9.985069866491614e-07
1854,4.863661359877369e-06,9.866566645921893e-07
1855,4.653122232411988e-06,9.92927915888231e-07
1856,4.5300405275838784e-06,1.033366945235592e-06
1857,5.043575214358498e-06,1.1559413657380446e-06
1858,4.860399101858093e-06,1.2351638716268099e-06
1859,4.77238486951137e-06,1.0719024736705052e-06
1860,4.7863613659160364e-06,1.0559563219381118e-06
1861,4.154292625457856e-06,1.2308665571225674e-06
1862,5.0524639618743095e-06,1.0192577414303017e-06
1863,3.9577375119392855e-06,1.1532579602402393e-06
1864,4.8043173848100196e-06,1.058196486436458e-06
1865,3.892089665669118e-06,1.0463314916719924e-06
1866,4.284658821518406e-06,1.1307684628647507e-06
1867,5.615673401848653e-06,1.172439285213045e-06
1868,5.626022655746965e-06,1.1376529442941319e-06
1869,4.585136096579845e-06,1.0152836207311111e-06
1870,4.832082979078223e-06,1.052197955431211e-06
1871,4.895300676821535e-06,1.3361440664994007e-06
1872,4.597187427179961e-06,1.230028841447961e-06
1873,5.4430740803468325e-06,1.1211786334897056e-06
1874,5.025243730472084e-06,1.2158330005007656e-06
1875,5.341045707041303e-06,1.3050803626679652e-06
1876,4.776956075147609e-06,1.1819958556369414e-06
1877,4.31638327569317e-06,1.4169413660169994e-06
1878,4.250310460918172e-06,1.0344958853436559e-06
1879,4.169003346987665e-06,1.4136979183954068e-06
1880,4.031690792771769e-06,1.1731822429084104e-06
1881,4.309707051675105e-06,1.274574376708415e-06
1882,4.702695072467122e-06,1.0934797827211185e-06
1883,4.812808441556626e-06,1.219632435933704e-06
1884,5.006727050727022e-06,1.2609241206718025e-06
1885,4.880635131598865e-06,1.111227572292428e-06
1886,5.152445623934909e-06,1.1642048312054953e-06
1887,5.129123067604269e-06,1.2489832934559075e-06
1888,5.22403250613479e-06,1.2205682917709737e-06
1889,4.549742406823043e-06,1.2530273636457423e-06
1890,4.601834696416063e-06,1.215183230485195e-06
1891,4.930459155616518e-06,1.1129388397534967e-06
1892,4.3553621935643605e-06,1.254329296429546e-06
1893,4.73582247906279e-06,1.2741763883994395e-06
1894,4.43376310244048e-06,1.2867743013345034e-06
