year,en_PRON aies_VERB
1800,1.5720821977538435e-08
1801,0.0
1802,2.2378401354217203e-09
1803,1.950339223455444e-09
1804,0.0
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,1.129515236897305e-08
1810,0.0
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,0.0
1814,6.293354282149721e-09
1815,0.0
1816,4.6352077731626196e-09
1817,7.784366928831332e-09
1818,3.5763532135746345e-09
1819,4.140420006848444e-09
1820,5.933240565525466e-09
1821,1.972297702934611e-08
1822,6.015369535816717e-09
1823,9.882686891060644e-10
1824,1.6842225392110777e-08
1825,1.2327619813845558e-08
1826,4.403992281964975e-09
1827,5.530363722527909e-09
1828,0.0
1829,2.571952872898464e-09
1830,1.2524203008013046e-08
1831,4.677361609140007e-09
1832,1.0823975493678972e-08
1833,1.7375443306377747e-08
1834,1.8669061851994684e-09
1835,6.806779140333674e-09
1836,3.36037508930076e-09
1837,1.530736071231331e-08
1838,1.2624323808552163e-08
1839,4.894032734625853e-09
1840,1.4013314952876499e-08
1841,7.0626033910059505e-09
1842,2.0124794275488966e-08
1843,3.5441467538532834e-09
1844,8.781698035420504e-09
1845,1.5066614622583074e-08
1846,8.196302303531411e-09
1847,2.6966118227278457e-09
1848,9.65426583121598e-09
1849,0.0
1850,1.0183494048021657e-08
1851,9.674158363282004e-09
1852,9.765818376195057e-09
1853,3.5831591027601917e-09
1854,3.117398783558656e-09
1855,6.368324534378189e-09
1856,6.73034605824796e-09
1857,3.4170564155999728e-09
1858,1.2234189661342043e-08
1859,5.092173349652285e-09
1860,4.119465657481669e-09
1861,4.715963619617014e-09
1862,3.162590411776023e-09
1863,1.048870412745373e-08
1864,1.821996598039277e-08
1865,5.6482134525026595e-09
1866,2.238181906477621e-08
1867,1.067618526917613e-08
1868,7.409810987013543e-09
1869,1.2208797528501236e-08
1870,5.160643912205387e-09
1871,8.496941816815706e-09
1872,1.2094678591978436e-09
1873,2.3944017879529156e-09
1874,7.766991494406739e-09
1875,2.8607636259891933e-09
1876,8.464420275799966e-09
1877,8.658742167710898e-09
1878,5.435179861734696e-09
1879,1.0996785704264767e-08
1880,1.1552122813895949e-08
1881,4.183504653809678e-09
1882,5.324308105514319e-09
1883,6.951272890631799e-09
1884,1.5844072720483382e-08
1885,6.445635580831777e-09
1886,3.872078213618124e-09
1887,3.9173548849191775e-09
1888,8.242799331981132e-09
1889,1.2530273485467092e-09
1890,5.898947996740844e-09
1891,5.099376032546843e-09
1892,3.1342561879199593e-09
1893,6.15841644346915e-09
1894,1.8904617871129403e-09
1895,7.824199066419624e-09
1896,1.47425724961181e-08
1897,1.1653426668090106e-08
1898,9.05336783318944e-09
1899,3.3165470370022376e-09
1900,1.6092265298084385e-08
1901,5.58873880507349e-09
1902,5.892340837476695e-09
1903,1.83607493653426e-08
1904,6.987012746151322e-09
1905,7.741138396966107e-09
1906,3.0865106026567446e-09
1907,5.142843484406967e-09
1908,9.822778146428846e-09
1909,3.850688656825696e-09
1910,8.550641084070776e-09
1911,9.576673676292558e-09
1912,4.167536982180309e-09
1913,3.71209285532359e-09
1914,4.018046340092951e-09
1915,2.3561523843085297e-09
1916,3.2962386153911893e-09
1917,2.1932848870420685e-09
1918,0.0
1919,9.207848705727883e-09
1920,3.786115865267448e-09
1921,1.438822039290244e-08
1922,9.591316185719734e-09
1923,7.431163684401554e-09
1924,7.734974438733389e-09
1925,5.499089184013428e-09
1926,8.916910765321973e-09
1927,1.7838759802657478e-08
1928,5.713020723163709e-09
1929,1.3368487650211591e-08
1930,1.2604324695075775e-08
1931,9.124285327288817e-09
1932,4.383814644626227e-09
1933,3.4411986593596566e-09
1934,3.5944740517379614e-09
1935,5.98414207075848e-09
1936,4.849885826274658e-09
1937,3.777335333410292e-09
1938,3.8895642262559704e-09
1939,1.5294050470515685e-09
1940,5.0715658339584024e-09
1941,2.066051862925633e-08
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,1.6065930807940276e-08
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,9.536696765621855e-09
1948,1.195907639583993e-08
1949,5.890204768377316e-09
1950,1.2762433776458693e-08
1951,2.2388944032059044e-08
1952,2.4253049346611988e-08
1953,9.69644453618912e-09
1954,1.6613311615287785e-08
1955,1.220129064449793e-08
1956,1.744228228517386e-08
1957,3.534015080575159e-09
1958,1.5717262158432277e-08
1959,8.525822714489095e-09
1960,1.038124963770315e-08
1961,1.320150300188061e-08
1962,1.2683912586908264e-08
1963,1.3578711488548834e-08
1964,2.6161064425878067e-08
1965,8.20806533852192e-09
1966,1.273987226824147e-08
1967,1.232583901611406e-08
1968,1.3474247495537384e-08
1969,1.2262746373892242e-08
1970,6.438214850135182e-09
1971,6.679916619845017e-09
1972,1.2312352026810913e-08
1973,9.37244681864513e-09
1974,1.1813700240281833e-08
1975,1.0851811893530794e-08
1976,1.428381679602353e-08
1977,8.815172591880582e-09
1978,4.752473081737207e-09
1979,9.363157360553487e-09
1980,1.1370301145063877e-08
1981,1.3916208629893845e-08
1982,1.1794254461960918e-08
1983,6.315316269933646e-09
1984,1.1018116197192285e-08
1985,3.609334831011779e-09
1986,4.7955883708539204e-09
1987,7.332980445085013e-09
1988,8.395175221664886e-09
1989,9.878619700032232e-09
1990,4.90378582185258e-09
1991,1.2895223555631219e-08
1992,5.509944056569793e-09
1993,1.3848018731721368e-08
1994,7.912389854425328e-09
1995,8.133675954979935e-09
1996,1.1743802375008272e-08
1997,6.7128524960935465e-09
1998,1.1920323395031573e-08
1999,6.8553016596695215e-09
2000,1.0161472552283612e-08
2001,9.638665865452367e-09
2002,7.886198361006791e-09
2003,6.667076668520622e-09
2004,1.1452457648886138e-08
2005,1.4862373554080932e-08
2006,1.976587071794711e-08
2007,1.8774054311165855e-08
2008,2.426740586258802e-08
2009,2.0026408975581944e-08
2010,4.2514137987836875e-08
2011,4.1298896746866376e-08
2012,4.663826302930829e-08
2013,6.19185769323849e-08
2014,6.041592115479943e-08
2015,6.760554782658801e-08
2016,5.7997521452080036e-08
2017,7.446209338013432e-08
2018,7.589512307504265e-08
2019,6.913176520129127e-08
