year,un_DET été_NOUN,un_DET eté_NOUN
1800,1.0753042758437914e-06,0.0
1801,6.405380994500831e-07,0.0
1802,5.348437923657912e-07,0.0
1803,9.732192864930767e-07,1.5602713565598947e-08
1804,7.044775305331541e-07,0.0
1805,6.510189716202319e-07,0.0
1806,4.783570943800441e-07,0.0
1807,4.4127803722204817e-07,5.693910232196231e-09
1808,3.580397041069716e-07,0.0
1809,7.658113645447884e-07,0.0
1810,4.633450885194179e-07,2.3401267590372754e-09
1811,5.114436500974762e-07,0.0
1812,5.067695409977091e-07,0.0
1813,7.591958084418593e-07,5.751483289628823e-09
1814,5.097617110649821e-07,6.293354282149721e-09
1815,4.828030304437902e-07,0.0
1816,6.674699051245625e-07,0.0
1817,7.722092263406921e-07,9.341240669868967e-09
1818,5.257239026335014e-07,0.0
1819,3.8816437042399343e-07,1.035105001712111e-09
1820,5.565379828098571e-07,1.1866481131050932e-09
1821,2.968307910578005e-07,0.0
1822,3.047787373589017e-07,0.0
1823,3.6565941652355605e-07,2.9648061783404955e-09
1824,3.208443901669966e-07,0.0
1825,4.0064767148351166e-07,0.0
1826,4.051672917171345e-07,8.807984341885344e-10
1827,3.8896891346729134e-07,2.7651818612639545e-09
1828,3.760643538797126e-07,1.8344602503717056e-09
1829,3.643599897351635e-07,8.57317605795771e-10
1830,4.018181822829092e-07,2.0873671680021744e-09
1831,6.033796537963099e-07,0.0
1832,3.1660127919330705e-07,1.3529969367098715e-09
1833,4.123771857322822e-07,0.0
1834,3.789819604804734e-07,0.0
1835,5.362229273941921e-07,3.781543966852041e-09
1836,4.4625781325802194e-07,2.0162250202737653e-09
1837,4.1329873212703205e-07,2.7831563720326358e-09
1838,3.610556549293875e-07,2.5248647617104325e-09
1839,3.9991239397796363e-07,1.3982950353153e-09
1840,4.070231072184072e-07,2.547875410652267e-09
1841,3.261638639173725e-07,1.1556987367100646e-08
1842,3.9176267119245267e-07,2.0124795163667386e-09
1843,4.43609021794078e-07,1.7720733214154905e-09
1844,3.7431988486602563e-07,2.195424508855126e-09
1845,3.5434448514282124e-07,5.580227946389016e-10
1846,4.080587356902754e-07,0.0
1847,2.9231271092555744e-07,2.6966118227278457e-09
1848,2.888234487130603e-07,0.0
1849,3.888048638600594e-07,0.0
1850,3.3266081356231325e-07,3.394498016007219e-09
1851,2.831303513861627e-07,1.2898877521649865e-09
1852,4.3230021007367725e-07,6.510545436100301e-10
1853,3.9832786646876173e-07,1.7915795513800958e-09
1854,3.6889217636115745e-07,3.63696517347023e-09
1855,4.038579213272442e-07,0.0
1856,3.427299394287431e-07,5.177189343896771e-09
1857,5.154873674584337e-07,1.1227470564367792e-08
1858,4.624523723406604e-07,1.468102750479261e-09
1859,4.506573469953423e-07,3.055304009791371e-09
1860,4.851815040285423e-07,9.154367819341758e-09
1861,4.796135041340577e-07,5.187559992680946e-09
1862,3.777036591268157e-07,4.0661876643532935e-09
1863,3.8608420238617214e-07,1.9978483867255648e-09
1864,4.324844522507476e-07,2.3973640850272204e-09
1865,4.48091576954468e-07,4.706844358715045e-10
1866,3.9168185184124127e-07,4.379051676828283e-09
1867,3.9744525004437037e-07,2.426405742994575e-09
1868,3.872861369380587e-07,1.4819622196071691e-09
1869,3.628454701143369e-07,0.0
1870,3.761535913859859e-07,4.013834153937523e-09
1871,4.5777275303748866e-07,0.0
1872,3.090190403565174e-07,2.4189357183956872e-09
1873,3.789140909926658e-07,1.1972008939764578e-09
1874,3.973115196842514e-07,4.182226343019124e-09
1875,4.0165119297164154e-07,2.860763514966891e-09
1876,4.171750322967682e-07,9.069022421925865e-09
1877,5.5415952537885e-07,8.658742389755503e-09
1878,4.601785539293246e-07,4.8312708278430705e-09
1879,3.726688375671472e-07,3.665595160740054e-09
1880,4.6593562896823926e-07,2.1178892417594852e-08
1881,4.950480368415278e-07,8.367009141085902e-09
1882,4.7120126289712516e-07,6.655385131892899e-09
1883,4.410898721829426e-07,4.423537203201988e-09
1884,4.4561453371727566e-07,2.6406787867472303e-09
1885,3.790033892281386e-07,6.445635691854079e-10
1886,4.34963455253623e-07,9.680195922623369e-09
1887,4.067520167350125e-07,3.917354773896875e-09
1888,4.774482986746875e-07,3.1703073499755874e-09
1889,4.084869074105768e-07,1.8795410228200637e-09
1890,3.185431776131509e-07,0.0
1891,3.818157778834319e-07,3.824531802365527e-09
1892,4.2500514285670477e-07,2.5074049503359674e-09
1893,4.5141192539510655e-07,6.774258265451749e-09
1894,4.190523590352768e-07,6.301539290376468e-09
1895,4.935263961947101e-07,3.611168697403855e-09
1896,4.151508443683838e-07,3.538217385745668e-09
1897,4.480742776813429e-07,2.330685422435863e-09
1898,3.660955759654527e-07,2.8291774478717002e-09
1899,3.9024703291090646e-07,4.4220627160029835e-09
1900,4.0230663311824344e-07,3.6337372000261325e-09
1901,3.75004393871059e-07,2.235495621949468e-09
1902,3.5354042937640884e-07,1.9641135384773634e-09
1903,3.796354937080082e-07,1.2420506401156217e-08
1904,3.9879720237223637e-07,3.7622376325430196e-09
1905,4.3040731090293605e-07,1.1353670004154992e-08
1906,4.1976544995492304e-07,3.086510713679047e-09
1907,4.643987523977877e-07,6.171411937039295e-09
1908,4.2139718692268957e-07,4.4202499438483756e-09
1909,5.390963770945945e-07,1.1001967337165297e-08
1910,5.413624649674986e-07,1.1222716089775986e-08
1911,5.256529580499603e-07,2.0749458817803657e-08
1912,5.81892324102995e-07,2.1879568379290504e-08
1913,5.59995739335406e-07,1.007568084521182e-08
1914,5.14309923538292e-07,1.004511551716547e-08
1915,3.6520362689529406e-07,3.5342285764627945e-09
1916,4.1422731444917815e-07,9.888715846173568e-09
1917,5.044555146938023e-07,5.483212217605171e-09
