year,bon_ADJ or_NOUN,bon_ADJ port_NOUN
1800,3.45858084394024e-08,9.715467967907898e-07
1801,5.952956638743956e-08,1.3572740726885968e-06
1802,8.056224487518193e-08,1.4456447843258502e-06
1803,3.315576790896557e-08,2.3287050225917483e-06
1804,5.6852570651244605e-08,1.517716441412631e-06
1805,2.55858996212055e-08,1.361738441119087e-06
1806,6.339671898558663e-08,1.4696512380396598e-06
1807,3.9857372513552036e-08,1.5715191921117366e-06
1808,7.024829073998262e-08,2.236615046058432e-06
1809,2.4849335034105025e-08,1.0956298410746967e-06
1810,1.4040760110134443e-08,1.0179551281908061e-06
1811,6.016984377410495e-08,1.8201377542936825e-06
1812,1.600324850414836e-08,9.575277317708242e-07
1813,3.163315875909234e-08,1.4004862123329076e-06
1814,6.608022173892891e-08,8.873629440131481e-07
1815,5.664169577812572e-08,5.340502866602037e-07
1816,3.244645441213834e-08,5.539073413274309e-07
1817,4.670620157298799e-08,1.3513661087927176e-06
1818,3.5763530803478716e-08,5.805613341181015e-07
1819,6.107119787657211e-08,9.026115890264919e-07
1820,7.001224133773576e-08,9.4457192290065e-07
1821,5.127973856655643e-08,9.407859806742636e-07
1822,4.511527151862538e-08,8.832567459648999e-07
1823,5.138997138942614e-08,8.400284059462138e-07
1824,5.642145595174952e-08,1.121692207561864e-06
1825,9.774041842547376e-08,5.714732651540544e-07
1826,9.953022128694755e-08,8.596592806497938e-07
1827,5.069500080834288e-08,9.65970230026869e-07
1828,8.438517085096464e-08,1.1483721209515352e-06
1829,3.772197487705853e-08,8.753212910050934e-07
1830,6.366470017837855e-08,9.299220664615859e-07
1831,4.989185953263586e-08,6.828948357906484e-07
1832,8.929779937716376e-08,6.77851460295642e-07
1833,4.865124125785769e-08,9.84608391263464e-07
1834,5.507373401769655e-08,9.157174645224586e-07
1835,6.806779140333674e-08,8.001746891750372e-07
1836,6.183090411893133e-08,8.495027827848389e-07
1837,8.697363540477454e-08,9.866289474302903e-07
1838,1.218247263068406e-07,9.60079773903999e-07
1839,1.0836786401569043e-07,1.0417297744425014e-06
1840,9.427139247009109e-08,7.815608000782959e-07
1841,6.35634278545183e-08,9.662925322118099e-07
1842,3.3541326160957396e-08,7.533381563007424e-07
1843,1.2109167357721162e-07,5.717889735024073e-07
1844,8.781698307425145e-08,6.32282251444849e-07
1845,6.02664584903323e-08,6.740915523550939e-07
1846,6.20577138565892e-08,5.965736704638402e-07
1847,6.094342808182773e-08,6.078163323763874e-07
1848,2.3089786793661915e-07,5.100670819047082e-07
1849,7.373885324568619e-08,4.901957595393469e-07
1850,1.0522943671986695e-07,7.366060685853881e-07
1851,5.997978069771648e-08,6.075371175029431e-07
1852,6.705861865796692e-08,4.77874039006565e-07
1853,7.882950114890264e-08,6.60495686588547e-07
1854,6.234797211845944e-08,7.798692536198359e-07
1855,1.3214273053563375e-07,7.631375638084137e-07
1856,5.7984518520015627e-08,5.42569409844873e-07
1857,9.030791758846135e-08,6.546103463733743e-07
1858,8.270312434888183e-08,7.374769666057546e-07
1859,6.772590666059841e-08,6.487429118351429e-07
1860,7.323494441435763e-08,6.215815915311396e-07
1861,6.838147470489275e-08,6.314675715657359e-07
1862,6.957699127951855e-08,6.302590804807551e-07
1863,6.942522734476597e-08,5.339249469216156e-07
1864,7.767459209162553e-08,4.986517296856618e-07
1865,1.2755548756127055e-07,5.601144721367746e-07
1866,4.962925004292629e-08,5.065103323431686e-07
1867,1.2471726051899168e-07,6.881286935822573e-07
1868,1.6202786312646822e-07,5.433861360870651e-07
1869,1.0304225384061283e-07,4.741897043913923e-07
1870,9.690542412954528e-08,5.848729642821127e-07
1871,1.1577082958957874e-07,4.811393523596053e-07
1872,6.228759541482276e-08,4.61411985952509e-07
1873,1.3229070550124788e-07,5.477194235936622e-07
1874,7.826737868921185e-08,5.018671913603612e-07
1875,8.124568529055409e-08,6.07626191140298e-07
1876,6.166934962692494e-08,7.212895525299245e-07
1877,1.199854282596391e-07,6.469317668233998e-07
1878,8.394333572692148e-08,5.882072287022311e-07
1879,1.1424438006724102e-07,5.913826726100524e-07
1880,6.99545257276668e-08,5.801733209409576e-07
1881,7.669758161910067e-08,5.710483605980698e-07
1882,8.652000360598322e-08,5.650421712743992e-07
1883,7.64639978001469e-08,5.927540200900694e-07
1884,6.205595148855991e-08,6.179188289934245e-07
1885,1.005519196795035e-07,4.96958534768055e-07
1886,7.550552844071134e-08,4.885272346655256e-07
1887,8.618180658004349e-08,5.954379389550013e-07
1888,7.735550155985038e-08,4.755461020522489e-07
1889,5.701274446989757e-08,6.584658649444464e-07
1890,7.537544632896243e-08,5.728533665205759e-07
1891,5.609313546983685e-08,4.5766898892907193e-07
1892,8.274436424926535e-08,4.964661570738826e-07
1893,7.020594949835868e-08,4.0152875158128154e-07
1894,7.624862519151065e-08,5.312197686180298e-07
1895,9.569597381187123e-08,4.0083972407956026e-07
1896,6.191880430606034e-08,4.717623198757792e-07
1897,4.4865694825979574e-08,4.236020743064728e-07
1898,6.5636914792222e-08,4.5945841975481017e-07
1899,4.311511325738593e-08,4.792410663867486e-07
1900,4.983411017178696e-08,3.7738956848443195e-07
1901,3.353243371861936e-08,3.9791819972379017e-07
1902,7.021706238674597e-08,3.7514567452490155e-07
1903,5.994244389739833e-08,3.3805378052420565e-07
1904,4.192207825326477e-08,4.025594364520657e-07
1905,9.753834717685095e-08,3.622852773332852e-07
1906,4.423998589686562e-08,3.2048268394646584e-07
1907,5.914269962659091e-08,4.489702405408025e-07
1908,4.7640472899956876e-08,3.3102762131420604e-07
1909,5.4459736276157855e-08,3.328094919652358e-07
1910,4.11499598840237e-08,3.5057627201240393e-07
1911,5.320374063533251e-08,3.7349025205912767e-07
1912,4.151908689631334e-07,3.959160039812559e-07
1913,1.0234770431161166e-07,3.3780045782805246e-07
1914,3.6162417338392316e-08,4.11180053561111e-07
1915,4.9479201069679846e-08,4.158608817306231e-07
1916,1.538244731591476e-07,4.3290600615364383e-07
1917,9.869782291449525e-08,3.476356482678966e-07
1918,3.101321777165822e-08,4.1810409356912714e-07
1919,2.5781975665495338e-08,3.2503703550901264e-07
1920,3.48322650722821e-08,3.248487416840362e-07
1921,2.574734203619755e-08,3.0139534601403284e-07
1922,3.32007097370024e-08,2.899528510624805e-07
1923,3.927900982247934e-08,3.8535893054358894e-07
1924,2.4494086647841584e-08,3.300255855265277e-07
1925,4.8391983309414854e-08,3.5414132071309723e-07
1926,6.57622145627812e-08,3.577910376861837e-07
1927,2.4528294062520217e-08,3.7684381481994933e-07
1928,2.5137291359556002e-08,3.3592561976547586e-07
1929,3.119313873867213e-08,4.868357450504845e-07
1930,3.676261073337628e-08,3.8548225234080746e-07
1931,2.737285598186645e-08,3.6154980875835463e-07
1932,2.5206933651489294e-08,3.2221038281932124e-07
1933,9.405943046658649e-08,3.4641399793144956e-07
1934,2.036868629318178e-08,3.786179263443046e-07
1935,2.6330225111337313e-08,3.9255971273632895e-07
1936,3.516167268458048e-08,3.9526568684777885e-07
1937,2.895957251780601e-08,2.958912830308691e-07
1938,3.5006078036303734e-08,3.020894894234516e-07
1939,4.129393715857077e-08,3.9152769204520155e-07
1940,2.7893612530860423e-08,2.814718982335762e-07
1941,2.3612020783048138e-08,4.3682237560460635e-07
1942,4.8547388331598995e-08,3.2769486324468744e-07
1943,2.9032351633873077e-08,4.790338152815821e-07
