year,mon_DET allié_NOUN,mon_DET palier_NOUN
1800,9.432493897065797e-09,0.0
1801,7.857902772911984e-08,4.7623651688866175e-09
1802,5.370816325012129e-08,0.0
1803,6.826187504138659e-08,0.0
1804,9.640218934237055e-08,0.0
1805,6.822906328807221e-08,0.0
1806,5.187004603612877e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,1.0197332755979005e-07,0.0
1809,7.454800687867191e-08,0.0
1810,6.552355102940055e-08,0.0
1811,2.757784534068719e-08,0.0
1812,5.601137331723294e-08,0.0
1813,9.489947672136623e-08,0.0
1814,2.0453401816666883e-07,0.0
1815,1.9420010111126373e-07,0.0
1816,2.248075787747439e-07,0.0
1817,1.7748356317959235e-07,1.556873407970727e-09
1818,9.775365494846255e-08,1.1921177378582115e-09
1819,5.7965878541565985e-08,0.0
1820,1.5189095492473825e-07,0.0
1821,6.31135259610005e-08,0.0
1822,1.0025615893027862e-07,4.010246357211145e-09
1823,1.3539281162877614e-07,0.0
1824,1.0442179831926524e-07,4.210556348027694e-09
1825,5.723537910284904e-08,5.283265824829186e-09
1826,1.673516965006172e-07,2.642395191543301e-09
1827,1.428677300907566e-07,6.452091305675367e-09
1828,1.0181254117558325e-07,0.0
1829,1.088793372128194e-07,0.0
1830,9.81062573401914e-08,3.1310507520032616e-09
1831,1.1225668572478753e-07,1.2472964883158966e-08
1832,4.7354891563600177e-08,0.0
1833,9.035230519316428e-08,0.0
1834,7.28093425550469e-08,1.8669061851994684e-09
1835,1.3764819328798694e-07,7.563087933704082e-10
1836,7.191202877621095e-08,1.3441500135158435e-09
1837,6.679574937606958e-08,6.957890930081589e-10
1838,1.0225702284927252e-07,1.8936485712828244e-09
1839,7.480878516652467e-08,1.11863602825224e-08
1840,5.732719809969922e-08,1.2739377330817092e-09
1841,5.3290554191676165e-08,5.778493683550323e-09
1842,6.439934674418168e-08,0.0
1843,3.898561384829691e-08,1.1813822142769936e-09
1844,4.8848193989758926e-08,0.0
1845,3.292334549431786e-08,1.674068439427856e-09
1846,6.966856380685726e-08,7.025401593807601e-09
1847,9.707802917091612e-08,1.0786447290911383e-09
1848,3.298540907081815e-08,8.045221711050488e-10
1849,7.038708726980758e-08,8.379414939696517e-10
1850,4.073397441572979e-08,6.788996032014438e-10
1851,8.126293016275099e-08,0.0
1852,4.9480144648228475e-08,4.557382027314816e-09
1853,3.762316902466978e-08,0.0
1854,5.403490987987425e-08,2.0782657816909023e-09
1855,7.907336296852918e-08,4.2455496895854594e-09
1856,3.4169449492083004e-08,1.5531567143511893e-09
1857,3.9052072908773994e-08,6.345961978126979e-09
1858,6.997956614185341e-08,2.936205500958522e-09
1859,1.0489877411146153e-07,3.055304009791371e-09
1860,9.978260739895717e-08,2.288591982591015e-09
1861,6.790988038574142e-08,1.4147891747029462e-09
1862,5.8282022791233956e-08,2.2589932147099034e-09
1863,8.091285863542907e-08,7.491931519609807e-09
1864,4.8426752385921645e-08,0.0
1865,8.331114842441423e-08,9.41368871743009e-10
1866,1.1969407953671407e-07,5.838735717134114e-09
1867,3.542552207136396e-08,4.367530337390235e-09
1868,3.7049055379156925e-08,0.0
1869,7.520619416112595e-08,1.4650557433881772e-09
1870,2.121598008386627e-08,4.013834153937523e-09
1871,9.559059321873065e-09,3.18635318130589e-09
1872,4.051717183983783e-08,1.8142017887967654e-09
1873,2.8732820900323475e-08,5.986004469882289e-10
1874,3.465273329394947e-08,5.974609140757536e-10
1875,5.3210200690045895e-08,5.149374260327022e-09
1876,3.4462285469771814e-08,1.6928840551599933e-08
1877,3.958282146498959e-08,8.040260901509555e-09
1878,4.7708800354762104e-08,6.6429977074733415e-09
1879,4.520900631632685e-08,5.498392852132383e-09
1880,3.4656368885777056e-08,3.8507077526617195e-09
1881,2.649552932609822e-08,1.324776466304911e-08
1882,2.5956001792337702e-08,3.9932310791357395e-09
1883,4.0443769777631644e-08,6.951272890631799e-09
1884,3.300848483434038e-08,4.621187876807653e-09
1885,1.6114089618213256e-08,6.445635691854079e-10
1886,3.1621972096385065e-08,3.2267319927115068e-09
1887,2.4809913734546996e-08,5.876032105334161e-09
1888,2.8532765261601867e-08,5.07249175996094e-09
1889,6.515742229096233e-08,1.1277245803853475e-08
1890,2.8183861688901857e-08,1.3108772956016423e-09
1891,5.736798192046422e-08,5.099376032546843e-09
1892,1.3163875989263829e-08,6.268512375839919e-10
1893,5.6041590035249556e-08,3.079208221734575e-09
1894,2.5836310424409703e-08,3.150769645188234e-09
1895,1.8055843042930064e-08,1.8055843487019274e-09
1896,2.5946928161602045e-08,3.5382172747233653e-09
1897,3.1464253424928756e-08,6.409385022720926e-09
1898,2.0370077180587032e-08,2.26334195829736e-09
1899,2.9296165493519766e-08,3.3165470370022376e-09
1900,2.128331755280044e-08,3.114631885736685e-09
1901,3.856229829901636e-08,6.147612641171918e-09
1902,2.7988617423702067e-08,5.4013122863239005e-09
1903,2.7001101798873606e-08,5.940242076007962e-09
1904,1.1286712897629059e-08,9.13686282189019e-09
1905,2.7868098939620722e-08,2.580379465655369e-09
1906,4.4754404626701216e-08,2.0576738091193647e-09
1907,3.4971336049238744e-08,5.142843373384665e-10
1908,2.2592390180875555e-08,2.4556945366072114e-09
1909,2.0903737407707013e-08,1.7053048750881317e-08
1910,1.8170112525695004e-08,4.275320542035388e-09
1911,2.819798239350746e-08,4.25629931299909e-09
1912,2.344239469209697e-08,0.0
1913,1.8030165416238475e-08,1.060597942803554e-09
1914,1.9420557162419527e-08,2.678697486047099e-09
1915,1.4136913861761968e-08,1.1780761921542648e-09
1916,3.186363883855847e-08,1.3184954461564757e-08
1917,3.289927263949721e-08,2.1932848870420685e-09
1918,2.5270028736201766e-08,1.1486376294556067e-09
1919,2.6702760891339494e-08,3.6831393490643904e-09
1920,2.1202248845497706e-08,3.028892692213958e-09
1921,2.8019165654313838e-08,3.0290989716519334e-09
1922,1.0329110011753073e-08,1.475587119159627e-08
1923,1.4862327812892318e-08,3.1847844361720945e-09
1924,2.8361574200275186e-08,1.289162443462999e-09
1925,2.74954441437103e-08,1.2097995494286806e-08
1926,2.6750731407787498e-08,7.802296586589819e-09
