year,un_DET art_NOUN,un_DET part_NOUN
1800,1.1168072575173937e-05,5.973912431400663e-08
1801,7.662645380435151e-06,5.476719877606229e-08
1802,7.964473468291544e-06,2.4616241489638924e-08
1803,8.7375199058215e-06,6.046051614916337e-08
1804,9.917066250864082e-06,8.651478244914301e-08
1805,9.119951471348031e-06,2.9850215810256486e-07
1806,1.022704354625148e-05,8.06867319624871e-08
1807,8.512396107107634e-06,4.27043254092041e-08
1808,9.005377933135605e-06,9.9707258449655e-08
1809,6.908115224746325e-06,1.0391540428145163e-07
1810,9.894055466475038e-06,6.55235488089545e-08
1811,8.571695602199725e-06,5.264861391296449e-08
1812,7.65488776011125e-06,3.200649700829672e-08
1813,1.0131237729638087e-05,5.176335093892703e-08
1814,6.513621855219753e-06,6.608022173892891e-08
1815,6.527280870471941e-06,7.821948599939788e-08
1816,6.739592166127295e-06,8.343373814057031e-08
1817,8.013227336789441e-06,5.1376822796100896e-08
1818,7.951425367025422e-06,1.0133000927226021e-07
1819,7.476563290254035e-06,3.9333990287104825e-08
1820,7.450963330768445e-06,3.5599444281331216e-08
1821,7.815229349006358e-06,3.648750712681448e-08
1822,7.141246328501438e-06,5.413832582235045e-08
1823,6.724180103390154e-06,4.3483822431689134e-08
1824,6.650152876375159e-06,8.084268188213173e-08
1825,7.5770836218680415e-06,3.258014080742555e-08
1826,6.366410921998522e-06,7.310627125889368e-08
1827,6.3562316690024545e-06,4.2399456390285195e-08
1828,6.462803479934109e-06,4.4027045675854026e-08
1829,7.83331104514673e-06,6.344150449422159e-08
1830,6.491711690870261e-06,3.8616291719861806e-08
1831,5.743800198132476e-06,5.7687463472788636e-08
1832,7.032878123425235e-06,5.4119875803060324e-08
1833,6.752097103657206e-06,8.919393990058921e-08
1834,6.67512324170616e-06,4.5739201537386975e-08
1835,6.156353670405679e-06,4.0840674842002045e-08
1836,5.654167104296448e-06,4.0324502126320994e-08
1837,5.981698816270864e-06,6.122944151698562e-08
1838,5.291485216218916e-06,7.258986300939796e-08
1839,5.60506542868211e-06,9.019002644716778e-08
1840,6.562690131772797e-06,7.962110543102696e-08
1841,5.781062075271848e-06,8.603534951134861e-08
1842,6.143428995741829e-06,4.762868144325694e-08
1843,6.781133954802954e-06,6.379464029260262e-08
1844,6.17408274194986e-06,6.147188902350109e-08
1845,6.4596719866472085e-06,9.263178668561522e-08
1846,6.343351984128276e-06,8.606117063436614e-08
1847,6.225937603687726e-06,9.923531330002788e-08
1848,5.6598133788554605e-06,4.34441957963827e-08
1849,5.643535970989433e-06,5.1952373070207614e-08
1850,5.885380794268258e-06,9.436704306864385e-08
1851,5.546517435561782e-06,5.4175285146840224e-08
1852,6.8842505598354364e-06,6.119912798752125e-08
1853,6.757838090010182e-06,7.285757042119201e-08
1854,6.481591505291817e-06,5.247621004400571e-08
1855,7.038590624119934e-06,4.351688431825096e-08
1856,6.83285424329938e-06,6.264398749733502e-08
1857,7.0039892534623505e-06,6.394776713714023e-08
1858,6.85310406112194e-06,5.236233302507998e-08
1859,7.935642678091881e-06,4.430190969628711e-08
1860,7.1083663968352084e-06,5.309533274155953e-08
1861,7.852079310310955e-06,4.2915268338994395e-08
1862,7.5603982736538455e-06,5.195684241177112e-08
1863,8.289572635433728e-06,5.4441368746438457e-08
1864,8.288645942045036e-06,4.938569864165743e-08
1865,7.466937692157671e-06,5.507008071781172e-08
1866,7.100875549781449e-06,7.736324691975938e-08
1867,7.793614898332635e-06,3.5425525624077636e-08
1868,7.773385497955587e-06,8.447184352000647e-08
1869,7.6246385170009034e-06,5.371871014681062e-08
1870,6.912396038671886e-06,5.447346440590195e-08
1871,5.039748625534912e-06,5.2043767961862386e-08
1872,7.0294273974980115e-06,7.377753996617997e-08
1873,6.679183893965046e-06,7.063485102376532e-08
1874,6.2494411317004506e-06,8.244960481018637e-08
1875,8.08165676602357e-06,1.1500269425646081e-07
1876,8.238299557206119e-06,7.194757900563786e-08
1877,7.516406924423791e-06,7.174386307262637e-08
1878,7.8333017654586e-06,7.307296978620315e-08
1879,6.890097115075378e-06,4.215434479259983e-08
1880,7.050646072315203e-06,7.508879917850209e-08
1881,7.180288136510171e-06,6.344981784422998e-08
1882,8.049688602795868e-06,4.991538915533056e-08
1883,7.63755318899939e-06,8.404720530652554e-08
1884,7.465858949728954e-06,6.469663205166398e-08
1885,7.142409039317954e-06,8.185957350859141e-08
1886,7.1943216610748095e-06,6.195325202851265e-08
1887,6.997048593859745e-06,5.4190073872639744e-08
