year,son_DET été_NOUN,son_DET eté_NOUN
1800,6.917161954334006e-08,0.0
1801,7.143547975374531e-08,0.0
1802,4.923248297927785e-08,4.475680270843441e-09
1803,1.09218993626925e-07,1.950339223455444e-09
1804,1.2853624364872474e-07,9.887403784603066e-09
1805,1.0234359804073279e-07,0.0
1806,1.3543844534780192e-07,0.0
1807,5.97860605466849e-08,1.7081731584767113e-08
1808,4.5321479014148736e-08,0.0
1809,4.2921579401777876e-08,0.0
1810,4.680253340438867e-08,0.0
1811,7.019814596276319e-08,2.5070767684098882e-09
1812,2.9339290552599095e-08,0.0
1813,8.627225156487839e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,1.8610843177668812e-07,0.0
1816,7.648093003354006e-08,2.3176038865813098e-09
1817,1.0431051511439193e-07,0.0
1818,3.194875546341791e-07,1.1921177378582115e-09
1819,5.900098654088026e-08,1.035105001712111e-09
1820,1.9461029232559213e-07,0.0
1821,6.409967390208493e-08,8.875339574387908e-09
1822,6.616906489398389e-08,0.0
1823,5.6331315612112576e-08,0.0
1824,4.378978690766644e-08,2.5263338088166165e-09
1825,5.371320144220704e-08,0.0
1826,1.6559010074246316e-07,1.7615968683770689e-09
1827,3.2260456528376835e-08,0.0
1828,6.420611003976617e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,6.679574870993576e-08,0.0
1831,7.016043013230444e-08,0.0
1832,3.517792046547896e-08,2.705993873419743e-09
1833,1.4247863611149825e-07,1.1583628500844156e-09
1834,6.160790544385009e-08,9.334530925997342e-10
1835,5.899208588289184e-08,0.0
1836,1.0081125123573287e-07,6.720750067579218e-10
1837,4.870523762079415e-08,2.0873671680021744e-09
1838,6.375283834181289e-08,7.574594285131298e-09
1839,2.586845759822154e-08,6.9914751765765e-10
1840,9.554532870437171e-08,6.369688665408546e-10
1841,4.4301784463129934e-08,6.420548537278137e-10
1842,5.836190686281384e-08,0.0
1843,3.9576303123567413e-08,0.0
1844,4.994590629969764e-08,1.6465684371524958e-09
1845,3.794554875868883e-08,0.0
1846,4.2152408674667186e-08,5.854501328173001e-10
1847,4.206714621091123e-08,0.0
1848,3.861706282526356e-08,0.0
1849,5.1952371293850774e-08,0.0
1850,3.4623878875095215e-08,0.0
1851,3.031236261996639e-08,0.0
1852,3.64590551082955e-08,0.0
1853,4.598387448595531e-08,0.0
