year,aucun_DET acte_NOUN,aucun_DET pacte_NOUN
1800,1.8047504397600278e-06,1.5720821977538435e-08
1801,1.4477590610795232e-06,5.476719877606229e-08
1802,1.7499909574780759e-06,1.3427040812530322e-08
1803,1.3632871542768044e-06,7.216254971353919e-08
1804,1.750070438788498e-06,4.943701981119375e-08
1805,1.62612604270862e-06,3.695740957709859e-08
1806,2.558922247430928e-06,4.8988376022407465e-08
1807,4.6092201415603995e-06,1.508886242618246e-07
1808,2.9073728313733227e-06,4.985362878073829e-08
1809,2.9841792184015503e-06,9.262025457701384e-08
1810,2.653703731425594e-06,1.0998595456612748e-07
1811,2.587303200130009e-06,9.025476543911282e-08
1812,3.09129430320354e-06,6.401299401659344e-08
1813,2.116545793739988e-06,2.5881675469463516e-08
1814,2.2844875466887515e-06,0.0
1815,3.244760037546257e-06,8.631115377966125e-08
1816,2.0186329550142545e-06,3.244645441213834e-08
1817,2.0675279515103284e-06,1.5413046661194585e-07
1818,2.286481887381342e-06,8.821671571013212e-08
1819,2.7761515042357132e-06,4.968504185853817e-08
1820,2.3044705415031785e-06,1.0798498095709874e-07
1821,2.2020703482894532e-06,7.691961201317099e-08
1822,2.1384637989285693e-06,7.519211919770896e-08
1823,2.833366245624802e-06,1.1661570520349329e-07
1824,2.2459107356098684e-06,6.315834788495067e-08
1825,2.1450058440564135e-06,6.163810151171845e-08
1826,3.039635430468479e-06,1.2243098446163003e-07
1827,3.505328855624157e-06,6.083400050371779e-08
1828,2.953480894518634e-06,9.355747226935662e-08
1829,3.1154922623954917e-06,6.429882210001736e-08
1830,3.0319007606749437e-06,7.61888987454995e-08
1831,2.581903771670113e-06,2.6505050598757407e-08
1832,2.88729537345489e-06,5.411987658021644e-08
1833,2.393177588544404e-06,4.285942678539101e-08
1834,2.943177690895027e-06,4.6672653519763685e-08
1835,2.3407757154814135e-06,7.865611451052246e-08
1836,2.511544217043138e-06,5.309392525632006e-08
1837,2.2028681598840194e-06,3.618103228131275e-08
1838,2.513502835199688e-06,5.807189129569679e-08
1839,2.7084974050239907e-06,5.033862215952922e-08
1840,2.660618982019969e-06,8.344292101725159e-08
1841,2.6664539092280393e-06,4.8154114029586026e-08
1842,2.8449752278447704e-06,4.9641162735980515e-08
1843,2.2387193325812405e-06,6.143187603058209e-08
1844,2.4956488147154232e-06,1.015383823688154e-07
1845,2.7700250484485878e-06,6.082448322786149e-08
1846,2.619303863582445e-06,7.02540154939868e-08
1847,2.686904082338515e-06,1.1379701980729351e-07
1848,2.754683947614467e-06,3.942158499636861e-08
1849,3.3534418832914525e-06,5.9493846293889874e-08
1850,2.779414977283068e-06,4.752297044774423e-08
1851,2.9003126087445708e-06,8.900225556551788e-08
1852,2.862686919513635e-06,5.599068941819496e-08
1853,2.433562293902014e-06,5.971931926751495e-08
1854,2.475214621711075e-06,4.156531457910617e-08
1855,2.6200348628435677e-06,4.5108965451845506e-08
1856,2.756335483411476e-06,5.901995692170203e-08
1857,2.2689253782459673e-06,4.7838789152265804e-08
1858,2.2437504867411917e-06,8.270312790159551e-08
1859,2.449335340770631e-06,6.314294731524228e-08
1860,1.9947367349004708e-06,5.5383926944596595e-08
1861,2.2721514056911474e-06,4.291527133659656e-08
1862,2.2815831357547722e-06,4.246907181482129e-08
1863,2.3479711686036353e-06,5.544029235693415e-08
1864,2.28133150415033e-06,6.32904075814622e-08
1865,2.115726644547067e-06,4.330296832222302e-08
1866,2.0192293206378054e-06,5.984703754791099e-08
1867,1.9323895799061575e-06,5.532205271663315e-08
1868,2.0139867586976834e-06,4.4952853883728494e-08
1869,2.146306727013325e-06,4.248661511496721e-08
1870,2.0430414977568034e-06,2.2362790730312554e-08
1871,2.070067388615371e-06,7.116189082445601e-08
1872,2.166761575495002e-06,3.688877026064574e-08
1873,1.7946041239724764e-06,4.190203206633214e-08
1874,1.7165051744427728e-06,2.2703514068744823e-08
1875,1.8028532196012748e-06,3.776207790906483e-08
1876,1.755158038463378e-06,4.5949712923487596e-08
1877,1.5932085588588052e-06,1.9791411509650914e-08
1878,1.8902347918015039e-06,3.01954443671093e-08
1879,1.9091641760837774e-06,3.42122213892182e-08
1880,2.103128124986142e-06,2.6954954268632036e-08
1881,1.9188340871778564e-06,2.9284532132578533e-08
1882,1.6838124636819884e-06,2.1962770713201962e-08
1883,1.910968094875898e-06,1.6430281413182257e-08
1884,1.8161267902883083e-06,2.1125430293977843e-08
1885,2.0174839931996758e-06,2.320428826863008e-08
1886,2.0902769364283813e-06,3.872078430111614e-08
1887,2.520165011787867e-06,4.7661148805389075e-08
1888,2.106352177122517e-06,3.23371354138402e-08
1889,1.937806771934447e-06,2.0674951528576457e-08
1890,2.0023650719735997e-06,3.998175657216052e-08
1891,1.8695587584716122e-06,2.995883363610119e-08
1892,1.7815111661434457e-06,2.9462007722358408e-08
1893,1.9171150213992405e-06,3.079208360512453e-08
1894,1.8576937677039496e-06,1.8274463498002547e-08
1895,1.9686888492742582e-06,3.490796496308235e-08
1896,1.8728963624425887e-06,2.004989851922545e-08
1897,1.804533170002287e-06,2.7968225513319567e-08
1898,1.778420994469343e-06,4.5266839276969506e-08
1899,1.6997303262655805e-06,4.643165674167449e-08
1900,1.5189021524975033e-06,1.868779131442011e-08
1901,1.8124279890230355e-06,2.067833393404328e-08
1902,1.6189205425121145e-06,2.8479647085077886e-08
1903,1.8009734361612573e-06,2.6461078661554893e-08
1904,1.6209869144745426e-06,2.6335662539622717e-08
1905,1.7484651948507235e-06,2.890025074808733e-08
1906,1.5946972311553509e-06,2.211999339252202e-08
1907,1.6976526282519444e-06,5.862841501169669e-08
1908,1.604550838862906e-06,2.3083528422063182e-08
1909,1.6161889817567499e-06,1.925344328412848e-08
1910,1.5802654047547549e-06,2.2445432179551972e-08
1911,1.5588696342661024e-06,2.447372160485628e-08
1912,1.6190880884892067e-06,1.7191090662116437e-08
1913,1.4206709124664485e-06,2.333315451963358e-08
1914,1.93268022741222e-06,3.683209115479258e-08
1915,2.4456861211774594e-06,4.476689552390667e-08
1916,2.0425691218406428e-06,2.5271162940043723e-08
1917,1.5495557477152033e-06,3.618920096926104e-08
1918,1.3071496027805551e-06,4.249959051350061e-08
1919,1.3360587729494e-06,2.9465114403937065e-08
1920,1.213828795698646e-06,9.843901249695364e-09
1921,1.3297744985152349e-06,1.8931869016913794e-08
1922,1.2306396683925414e-06,3.836526418776742e-08
1923,1.3567181369467107e-06,4.140219722614802e-08
1924,1.242752574626138e-06,2.9650736532715882e-08
1925,1.2427940632164791e-06,4.3992710363482956e-08
1926,1.0678000492703177e-06,3.009457361091705e-08
1927,1.3512860874698163e-06,2.8987984457273797e-08
1928,1.3162799774590894e-06,2.742249893827875e-08
1929,1.1329793210279604e-06,2.1166771890790415e-08
1930,1.2961446671511112e-06,3.2561171536826805e-08
1931,1.0971952661975592e-06,2.167017765231094e-08
1932,1.2899374368657845e-06,6.356531212503569e-08
1933,1.4292444916463865e-06,2.86766552726192e-08
1934,1.1885727744243013e-06,2.156684431042777e-08
1935,1.0280755873282033e-06,4.4282651323612754e-08
1936,1.0233258720404592e-06,4.364897376873955e-08
1937,1.0966864323336267e-06,3.27369078512163e-08
1938,1.0125832332619211e-06,3.241303525580719e-08
1939,1.039995439100494e-06,3.5176316970364496e-08
1940,9.154176083825405e-07,1.77504799747652e-08
1941,8.323237139507e-07,5.01755446080665e-08
1942,8.647503477732243e-07,1.8205270846394228e-08
1943,8.216155364948463e-07,1.7419411690866582e-08
1944,9.896613306636937e-07,6.747690939334916e-08
1945,1.045681912614782e-06,5.664110513947662e-08
1946,8.798138111387743e-07,4.45475318855415e-08
1947,9.04794120515362e-07,3.2186353138285995e-08
1948,8.197403147391924e-07,4.348755311411878e-08
