year,un_DET aimant_NOUN,un_DET paiement_NOUN
1800,1.2042150032698373e-06,3.018398047061055e-07
1801,1.0739133493586905e-06,2.500241578218265e-07
1802,4.408545066780789e-07,6.2435739778266e-07
1803,1.1624021354350589e-06,6.065554902789927e-07
1804,3.8560876092219587e-07,1.7475986453519e-06
1805,2.388017321663938e-07,8.784492384616982e-07
1806,2.060393470060262e-06,7.348256438888257e-07
1807,1.1814863869474834e-06,1.6398461557542987e-06
1808,4.917380636015878e-07,1.2236799404874432e-06
1809,4.1114355564531024e-07,7.025585091469111e-07
1810,5.616304488142987e-07,7.113985454054728e-07
1811,1.353821428295987e-07,1.0103519620940915e-06
1812,1.4242891914761913e-06,4.961007133985618e-07
1813,2.933256411097318e-07,6.52793355815362e-07
1814,2.2341407834858273e-07,6.985623475230796e-07
1815,3.910974255560973e-07,2.9939181445115537e-07
1816,9.525352258066277e-07,5.654953518785533e-07
1817,3.6742213826990167e-07,4.4682267419382526e-07
1818,4.804234556843312e-07,4.0651215904574656e-07
1819,3.250229578810604e-07,1.0620177501863282e-06
1820,1.3539655210337287e-06,4.224467282654132e-07
1821,1.6537716023279359e-06,7.958221086568074e-07
1822,2.594629378904756e-06,7.23849495898321e-07
1823,1.4665907563937708e-06,7.659082514877014e-07
1824,1.3591676308877254e-06,8.724272637650188e-07
1825,7.396572101470156e-07,7.396572403450818e-07
1826,1.128302798747427e-06,8.64944080802843e-07
1827,1.0470821720787171e-06,1.2268189943931418e-06
1828,1.0006980524224218e-06,1.1373653681090445e-06
1829,6.387016391329325e-07,1.095651947835563e-06
1830,8.182479191987113e-07,1.0624698596473081e-06
1831,1.1584266115249875e-06,1.5980986685093512e-06
1832,2.728994790146544e-06,1.0445136635617303e-06
1833,1.0321013270697676e-06,1.1016031224997391e-06
1834,1.0165304162867983e-06,1.366575293815231e-06
1835,6.451314220612403e-07,1.0331178472711144e-06
1836,8.172431940067781e-07,9.382166989979623e-07
1837,8.189437394889865e-07,7.020512109434662e-07
1838,1.0326696617823927e-06,6.451029452847479e-07
1839,5.306529526905024e-07,9.305653554392279e-07
1840,7.783759574664373e-07,7.739171490328545e-07
1841,3.974319655597469e-07,7.05618273144637e-07
1842,7.486424058456009e-07,7.432757862524397e-07
1843,5.221709269420671e-07,4.631018231116002e-07
1844,5.098873163689177e-07,9.462279724203881e-07
1845,4.798996009469647e-07,4.7487740895135744e-07
1846,1.149238634923222e-06,7.569870188461891e-07
1847,9.772521529782807e-07,5.997264596047103e-07
1848,7.868226790108679e-07,6.500539333487154e-07
1849,9.896088890570809e-07,3.192557187503553e-07
1850,1.3177440933986873e-06,3.8154158144010353e-07
1851,8.900225738628365e-07,6.67516886210251e-07
1852,1.3001558762937293e-06,5.963659583940739e-07
1853,9.979098472001624e-07,5.780830294455086e-07
1854,1.8875849523425359e-06,5.372317302132501e-07
1855,8.491099556806603e-07,3.481350674405803e-07
1856,1.5966451769600098e-06,5.353213445857818e-07
1857,8.015437753527976e-07,4.5056329289749897e-07
1858,1.4813156834492247e-06,3.9540902529999755e-07
1859,1.0438955673208739e-06,6.782775148206355e-07
1860,7.460809650083888e-07,3.7075189238122697e-07
1861,1.2803842039943447e-06,4.018000967498381e-07
1862,5.182130289327347e-07,5.141468408798033e-07
1863,6.228292166454708e-07,4.809819795781323e-07
1864,6.300272712422839e-07,5.672163081449355e-07
1865,4.391485655119709e-07,6.335412643387883e-07
1866,7.055138997458243e-07,5.863063550215486e-07
1867,1.445167249869428e-06,5.40603213750046e-07
1868,1.0951701270300873e-06,3.7691238086168255e-07
1869,1.3234337075118674e-06,5.191180765251602e-07
1870,8.732956455759222e-07,4.300536668999655e-07
