year,un_DET are_NOUN,un_DET part_NOUN
1800,2.3266816917555388e-07,5.973912431400663e-08
1801,1.9287579511306774e-07,5.476719877606229e-08
1802,2.215461734067503e-07,2.4616241489638924e-08
1803,2.788984960755414e-07,6.046051614916337e-08
1804,1.7797326279378467e-07,8.651478244914301e-08
1805,7.675769686521505e-08,2.9850215810256486e-07
1806,1.2391176706927354e-07,8.06867319624871e-08
1807,9.679647661187119e-08,4.27043254092041e-08
1808,1.6768947030953996e-07,9.9707258449655e-08
1809,8.132509665692567e-08,1.0391540428145163e-07
1810,7.254393041833396e-08,6.55235488089545e-08
1811,1.2033968266322859e-07,5.264861391296449e-08
1812,9.601949502169305e-08,3.200649700829672e-08
1813,1.6966876126289776e-07,5.176335093892703e-08
1814,7.237357690925705e-08,6.608022173892891e-08
1815,9.170560133497929e-08,7.821948599939788e-08
1816,9.965696534663948e-08,8.343373814057031e-08
1817,1.0275364747958093e-07,5.1376822796100896e-08
1818,7.867977047659735e-08,1.0133000927226021e-07
1819,4.761483052284632e-08,3.9333990287104825e-08
1820,5.814575754214957e-08,3.5599444281331216e-08
1821,5.522433432769702e-08,3.648750712681448e-08
1822,4.210758675071702e-08,5.413832582235045e-08
1823,4.051901758561627e-08,4.3483822431689134e-08
1824,5.3895122142932905e-08,8.084268188213173e-08
1825,4.6668849673636714e-08,3.258014080742555e-08
1826,8.631824399696342e-08,7.310627125889368e-08
1827,7.558163994669798e-08,4.2399456390285195e-08
1828,6.879225594724758e-08,4.4027045675854026e-08
1829,4.372319883927389e-08,6.344150449422159e-08
1830,8.975679155476257e-08,3.8616291719861806e-08
1831,4.2096254482260065e-08,5.7687463472788636e-08
1832,1.3259370146290195e-07,5.4119875803060324e-08
1833,8.571884757557768e-08,8.919393990058921e-08
1834,7.747660801804557e-08,4.5739201537386975e-08
1835,7.109302657681837e-08,4.0840674842002045e-08
1836,9.677879853065008e-08,4.0324502126320994e-08
1837,7.86241648453867e-08,6.122944151698562e-08
1838,6.690891618532646e-08,7.258986300939796e-08
1839,8.45968473051073e-08,9.019002644716778e-08
1840,7.771020305025189e-08,7.962110543102696e-08
1841,6.292137255670127e-08,8.603534951134861e-08
1842,9.391570809924588e-08,4.762868144325694e-08
1843,7.265500523434554e-08,6.379464029260262e-08
1844,1.5971713107632013e-07,6.147188902350109e-08
1845,1.2332303644946307e-07,9.263178668561522e-08
1846,1.176754762521881e-07,8.606117063436614e-08
1847,9.384208876639377e-08,9.923531330002788e-08
1848,1.3274615284775138e-07,4.34441957963827e-08
1849,1.6339858888159142e-07,5.1952373070207614e-08
1850,1.3442211965752904e-07,9.436704306864385e-08
1851,1.0125618654655e-07,5.4175285146840224e-08
1852,1.2825774886593422e-07,6.119912798752125e-08
1853,1.1406389655022053e-07,7.285757042119201e-08
1854,8.988499344830814e-08,5.247621004400571e-08
1855,1.1091498564042013e-07,4.351688431825096e-08
1856,1.0199063016358423e-07,6.264398749733502e-08
1857,9.226052422039999e-08,6.394776713714023e-08
1858,9.102237541469549e-08,5.236233302507998e-08
1859,1.1202781236008263e-07,4.430190969628711e-08
1860,9.245911714028665e-08,5.309533274155953e-08
1861,9.290448810261864e-08,4.2915268338994395e-08
1862,1.418647754825031e-07,5.195684241177112e-08
1863,1.683187182965895e-07,5.4441368746438457e-08
1864,1.4096500455806904e-07,4.938569864165743e-08
1865,1.0637468372820535e-07,5.507008071781172e-08
1866,8.417510199976164e-08,7.736324691975938e-08
1867,1.640250335555038e-07,3.5425525624077636e-08
1868,1.353525531655464e-07,8.447184352000647e-08
1869,9.962379388106513e-08,5.371871014681062e-08
1870,9.28915917519646e-08,5.447346440590195e-08
1871,1.2108142133371302e-07,5.2043767961862386e-08
1872,1.1066630656308973e-07,7.377753996617997e-08
1873,6.644465111449449e-08,7.063485102376532e-08
1874,7.946230157207523e-08,8.244960481018637e-08
1875,9.440519954662108e-08,1.1500269425646081e-07
1876,9.371322651219316e-08,7.194757900563786e-08
1877,8.102109150254222e-08,7.174386307262637e-08
1878,8.213160263004227e-08,7.307296978620315e-08
1879,1.2646303693131244e-07,4.215434479259983e-08
1880,9.370055242818864e-08,7.508879917850209e-08
1881,9.203710221727945e-08,6.344981784422998e-08
1882,1.1513815967312269e-07,4.991538915533056e-08
1883,1.4471285614270357e-07,8.404720530652554e-08
1884,9.242376020068832e-08,6.469663205166398e-08
1885,1.6371914757229433e-07,8.185957350859141e-08
1886,1.2777858227064343e-07,6.195325202851265e-08
1887,1.2404956895029073e-07,5.4190073872639744e-08
1888,1.0905857417142784e-07,7.22830080235326e-08
1889,1.2655575876152625e-07,3.759081879106674e-08
1890,1.5075088288796223e-07,5.702316241418259e-08
1891,1.3832057632612305e-07,4.908149509041948e-08
1892,1.1095266749805432e-07,3.8864776286118285e-08
1893,1.114673375823827e-07,5.5425747658155444e-08
1894,1.0586585896810163e-07,8.255016159530726e-08
1895,9.509410947572405e-08,7.58345404250349e-08
1896,7.135404911373655e-08,5.012474779686471e-08
1897,1.1303824309916166e-07,5.302309280530437e-08
1898,1.216546299254162e-07,5.0925194949869024e-08
1899,1.1055156967643143e-07,4.256235186517188e-08
1900,1.225088535061758e-07,6.229264026824666e-08
1901,1.2798212334352854e-07,7.768347415337828e-08
1902,1.0164287767011615e-07,8.101968163032325e-08
1903,9.34238104655094e-08,4.320176372196727e-08
1904,9.835564274141007e-08,8.223176717336855e-08
1905,1.0115087789586141e-07,5.522012297420886e-08
1906,1.1471531824458481e-07,8.436462906047382e-08
