year,on_PRON eût_VERB,on_PRON pue_VERB
1800,1.0073903126794903e-05,0.0
1801,1.0205749049418955e-05,0.0
1802,8.799187412478204e-06,2.2378401354217203e-09
1803,8.801880881037505e-06,0.0
1804,9.55370398969535e-06,0.0
1805,8.963593700173078e-06,2.842877711017877e-09
1806,8.87554108430777e-06,0.0
1807,1.0004200589719403e-05,0.0
1808,9.134544143307721e-06,0.0
1809,9.225880603480618e-06,0.0
1810,8.871420732248225e-06,0.0
1811,8.200648267120414e-06,2.5070767684098882e-09
1812,8.495058295920899e-06,0.0
1813,9.596350082574645e-06,5.751483289628823e-09
1814,1.0802542419696692e-05,3.1466771410748606e-09
1815,9.221807545145566e-06,0.0
1816,8.649297683405166e-06,0.0
1817,1.0502668374101631e-05,1.556873407970727e-09
1818,1.080177912626823e-05,0.0
1819,1.1429629239501082e-05,0.0
1820,1.2093131090296083e-05,1.1866481131050932e-09
1821,1.071845144906547e-05,9.86148829262845e-10
1822,1.0879798082896741e-05,0.0
1823,1.2530259027698776e-05,9.882686891060644e-10
1824,1.1527661399668432e-05,0.0
1825,1.189439240079082e-05,0.0
1826,1.0186434224124241e-05,0.0
1827,1.063304648596386e-05,0.0
1828,1.0629780035742442e-05,0.0
1829,1.1411754940127139e-05,8.57317605795771e-10
1830,1.182075993710896e-05,0.0
1831,1.1546846963028656e-05,0.0
1832,1.0836152796400711e-05,0.0
1833,1.0542260383772373e-05,0.0
1834,1.0113964094671246e-05,0.0
1835,1.0088403314512107e-05,7.563087933704082e-10
1836,1.062214528246841e-05,0.0
1837,1.0409005199107924e-05,2.0873671680021744e-09
1838,1.0983792890328914e-05,1.8936485712828244e-09
1839,1.0379544278293906e-05,0.0
1840,1.050425373705366e-05,6.369688665408546e-10
1841,1.0741578080342151e-05,0.0
1842,1.0065080914500868e-05,2.0124795163667386e-09
1843,9.77771014731843e-06,0.0
1844,1.0220798458249192e-05,1.6465684371524958e-09
1845,9.813388942347956e-06,0.0
1846,1.0165170579057303e-05,0.0
1847,9.811352583710686e-06,5.393223645455691e-10
1848,8.92295520316111e-06,3.2180886289090438e-09
1849,9.758666465131682e-06,0.0
1850,9.772759995030356e-06,6.788996032014438e-10
1851,9.467775953453383e-06,0.0
1852,8.763194273342378e-06,1.9531636308300904e-09
1853,9.067184237210313e-06,0.0
1854,8.761968388171226e-06,0.0
1855,8.464034181088209e-06,5.306937111981824e-10
1856,8.792420203462825e-06,2.070875637638636e-09
1857,1.0172088650506339e-05,0.0
1858,9.931715567290667e-06,9.787352039936081e-10
1859,1.0760780469354359e-05,0.0
1860,1.1115233064629138e-05,9.154367819341758e-10
1861,1.0294005733157974e-05,1.8863854922557266e-09
1862,1.0555823109825724e-05,0.0
1863,9.855385769697023e-06,4.994620828036034e-10
1864,9.2840316483489e-06,2.8768367688059016e-09
1865,9.276248874812154e-06,4.706844358715045e-10
1866,9.475781325818389e-06,0.0
1867,8.915100124795572e-06,4.85281148598915e-10
1868,8.954015811468707e-06,3.457911734727759e-09
1869,9.35291586756648e-06,1.4650557433881772e-09
1870,9.099362159759039e-06,0.0
1871,1.013897576740419e-05,1.0621177271019633e-09
1872,9.270571126762661e-06,6.047339295989218e-10
1873,8.239735279857996e-06,0.0
1874,8.359673074664897e-06,1.1949218281515073e-09
1875,8.36773347145936e-06,1.716458086775674e-09
1876,8.32052546684281e-06,0.0
1877,8.022324664125335e-06,1.8554447978047506e-09
1878,7.903355481175822e-06,3.0195443923020093e-09
1879,7.953730346343946e-06,6.10932526790009e-10
1880,7.670610102650244e-06,1.2835692508872398e-09
1881,7.694859277762589e-06,6.972507571312292e-10
1882,7.844702622605837e-06,0.0
