year,aucun_DET air_NOUN,aucun_DET père_NOUN
1800,9.118076782499429e-08,9.432493452976587e-09
1801,1.04772034603684e-07,3.809892090700373e-08
1802,5.147032311469957e-08,4.0281122437590966e-08
1803,2.7304748684287006e-08,2.3404071125554538e-08
1804,6.179627121127851e-08,4.44933170307138e-08
1805,2.55858996212055e-08,5.4014676953428875e-08
1806,2.881669125542885e-09,3.45800286183362e-08
1807,3.9857372513552036e-08,1.4234775136401367e-08
1808,8.611080914988634e-08,3.3991110370834576e-08
1809,1.2876473931555665e-07,4.292157917973327e-08
1810,8.658469141664682e-08,3.7442029476864036e-08
1811,4.512738271955641e-08,1.7549536934780008e-08
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,2.8757416448144113e-09,7.18935417864941e-08
1814,2.8320094713762956e-08,1.5733386149463513e-08
1815,1.8880564667256294e-08,7.2825036667723e-08
1816,6.257530316133852e-08,2.5493642752394408e-08
1817,4.514932783195036e-08,9.963989811012652e-08
1818,4.053200441944682e-08,5.483741549738852e-08
1819,8.591371170041384e-08,1.273179215388609e-07
1820,9.8491796052258e-08,3.9159388620646496e-08
1821,3.747365440176509e-08,5.522433510485314e-08
1822,2.5064039732569654e-08,6.115625694746996e-08
1823,5.237824041159911e-08,6.226092852390508e-08
1824,5.052667617633233e-08,1.6842225392110777e-08
1825,4.57883047033647e-08,2.6416328680056722e-08
1826,4.844391554570393e-08,6.07750932912765e-08
1827,3.96342727526644e-08,1.0507691400318819e-07
1828,9.355747465633613e-08,3.485474364683938e-08
1829,8.230248838003718e-08,6.944272606945745e-08
1830,4.0703660886265425e-08,5.5315231506369855e-08
1831,2.8064171431196883e-08,7.639691190775011e-08
1832,2.3000948701223933e-08,9.335678896604804e-08
1833,4.054269808762001e-08,4.5176150487158395e-08
1834,8.121041616959701e-08,2.5203233056103613e-08
1835,4.0084366048631637e-08,4.4622218808854086e-08
1836,4.771732520225669e-08,9.54346512926918e-08
1837,2.7135774516295896e-08,3.131050918536715e-08
