year,son_DET auto_NOUN,son_DET poteau_NOUN
1800,5.345079756580162e-08,0.0
1801,7.381665767525192e-08,1.4287095950749062e-08
1802,1.0070280609397742e-07,2.2378401354217203e-09
1803,7.216254971353919e-08,0.0
1804,7.909923027682453e-08,2.4718509461507665e-09
1805,7.391481915419718e-08,4.5486043376286034e-08
1806,6.916005901302924e-08,0.0
1807,1.0533734240425474e-07,0.0
1808,7.704651494577774e-08,2.2660739951163578e-09
1809,7.680704072754452e-08,1.3554183553310395e-08
1810,6.552355102940055e-08,2.3401267590372754e-09
1811,8.273353557797236e-08,5.0141535368197765e-09
1812,1.600324983641599e-08,0.0
1813,4.888760862797881e-08,0.0
1814,1.4474714760126517e-07,0.0
1815,8.091670622434322e-08,0.0
1816,6.489291237699035e-08,1.8540831092650478e-08
1817,1.805973145474482e-07,1.0898113522728181e-08
1818,1.9193096045810876e-07,0.0
1819,1.4387958968686831e-07,0.0
1820,8.781196125795532e-08,2.254631326081835e-08
1821,7.198886464721e-08,9.86148829262845e-10
1822,9.524335098376469e-08,1.303330066093622e-08
1823,1.0772128367086964e-07,9.882686891060644e-10
1824,1.010533496881294e-07,0.0
1825,6.692136622632461e-08,3.522177216552791e-09
1826,9.600702810530493e-08,8.80798456392995e-09
1827,8.111200305860322e-08,1.1060727445055818e-08
1828,4.861319524707142e-08,2.2013523448549677e-08
1829,6.172686539684946e-08,1.800366966620004e-08
1830,4.905312778191728e-08,8.349468672008697e-09
1831,2.02685670469549e-08,1.4032085715598441e-08
1832,7.441482807735156e-08,1.3529969367098715e-09
1833,5.6759780875381693e-08,1.9692167896323554e-08
1834,3.827157613045529e-08,9.334531370086552e-09
1835,5.596685070941021e-08,2.4201881387853064e-08
1836,4.973355061110851e-08,7.392825240870593e-09
1837,4.453050195252217e-08,1.6698937344017395e-08
1838,6.690891440896962e-08,3.1560809521380406e-09
1839,1.1046530989933245e-07,6.9914749545318955e-09
1840,4.267691550152719e-08,4.458782232319436e-09
1841,4.8154114917764446e-08,6.420548537278137e-09
1842,6.439934452373564e-08,6.037438549100216e-09
1843,5.2571509923105e-08,5.906910960362666e-09
1844,5.3787900355928286e-08,1.1525978393933656e-08
1845,5.468623404114581e-08,2.7901139176833567e-09
1846,3.9225158454669895e-08,4.6836010625384006e-09
1847,3.9909854976372117e-08,1.6179670936367074e-08
1848,5.068489528081699e-08,0.0
1849,7.206296559481018e-08,3.3517659758786067e-09
1850,5.7706465383944305e-08,7.467895635215882e-09
1851,5.48202283567889e-08,1.870337307252612e-08
1852,4.948014620254071e-08,1.2370036550635177e-08
1853,6.27052860746602e-08,7.763511611358354e-09
1854,5.6632742939655145e-08,6.754363734984281e-09
1855,3.290301009428731e-08,7.429711956774554e-09
1856,6.05731127478748e-08,5.177189343896771e-09
1857,5.418475268470502e-08,1.2691923956253959e-08
1858,7.634134391309999e-08,5.3830437884982985e-09
1859,4.99032992706816e-08,8.147477359443656e-09
1860,6.499601346021677e-08,9.15436793036406e-09
1861,5.0460810918639964e-08,9.431927239234028e-09
1862,6.822159551167495e-08,1.490935552794781e-08
1863,5.3442442138340596e-08,8.990317823531768e-09
1864,5.370095190748714e-08,4.794728170054441e-09
1865,5.6952816018807084e-08,1.5061901947888146e-08
1866,5.644110889768683e-08,2.092213513549268e-08
1867,3.833721073931429e-08,1.5043715606566366e-08
1868,5.285665305443388e-08,2.222943251695142e-08
1869,6.495080684398857e-08,7.813630631403612e-09
1870,6.76617770700716e-08,1.834895613228582e-08
1871,5.6292238648225634e-08,9.559059321873065e-09
1872,5.5635521967190016e-08,1.4513614310374123e-08
1873,6.04586467556345e-08,1.1373408881354408e-08
1874,6.392831863877291e-08,9.559374625212058e-09
1875,7.037478155780263e-08,9.7265964171811e-09
1876,5.985554452081487e-08,1.3301232115736639e-08
1877,4.700460209949853e-08,2.4120781816350245e-08
1878,5.91830682239447e-08,3.2611080058586595e-08
1879,5.926045587578699e-08,7.331190321480108e-09
1880,5.134277003548959e-08,1.6044616302224313e-08
1881,4.392679742171168e-08,2.719277913953988e-08
1882,4.924985130827508e-08,3.0614771162618126e-08
1883,4.613117354779206e-08,1.3270611554094813e-08
1884,6.865764845542799e-08,1.4523733327109767e-08
1885,5.8010721781798225e-08,3.86738152613475e-09
1886,3.936613068855621e-08,1.7424351739236954e-08
1887,4.374379575233789e-08,1.50165264667379e-08
1888,4.6286489086000415e-08,1.4583413587843097e-08
1889,6.014531422904312e-08,1.942192334736248e-08
1890,4.194807196045147e-08,1.7041405175888258e-08
1891,5.035633776628856e-08,3.1233678754460925e-08
1892,5.2655503957055316e-08,1.56712811616444e-08
1893,5.912079720227226e-08,1.1700991287000306e-08
1894,8.128985573563341e-08,2.457600345451283e-08
1895,6.018614562286473e-08,1.1435367985868083e-08
1896,5.248355783304959e-08,6.48673198488936e-09
1897,8.740070289725566e-08,2.2724183423861177e-08
1898,5.884689213697669e-08,1.6975064909274806e-08
1899,5.3617512207893014e-08,1.2713430308508578e-08
1900,6.644548156131691e-08,8.824790675987515e-09
1901,5.7564012445610047e-08,1.5648469187112823e-08
1902,5.74503197237064e-08,1.8659077838378835e-08
1903,9.396382938398062e-08,1.5120616536634657e-08
1904,1.0211788037395308e-07,2.042357483134083e-08
1905,9.134543477173906e-08,1.23858218126216e-08
1906,1.1265764443546544e-07,6.173021205313489e-09
1907,1.3268536269706033e-07,9.257117739025489e-09
1908,1.61093567818682e-07,9.331639461152008e-09
1909,2.0298629865855844e-07,2.1453836041018803e-08
1910,1.4375765378105143e-07,1.870452770447173e-08
1911,1.3939380849592453e-07,3.032613093978398e-08
1912,1.9691611630179295e-07,1.0418842677495377e-08
1913,1.8454403960532773e-07,2.492405176690582e-08
1914,2.317073288793381e-07,4.68772043404897e-09
1915,3.981897478411156e-07,1.8849219074468238e-08
1916,5.109169798345192e-07,6.592477230782379e-09
1917,4.5510661550451914e-07,1.2063066989753679e-08
1918,4.135095341695205e-07,3.445912710731136e-08
1919,3.6923471302685584e-07,2.025726608678724e-08
1920,2.7260032986475835e-07,2.2716694303426266e-08
1921,2.536870258307289e-07,2.0446417892117097e-08
1922,4.124266022031975e-07,2.5084981203349344e-08
1923,3.5775745121924274e-07,1.4862327812892318e-08
1924,2.3462756626457804e-07,1.5469948877466777e-08
1925,2.9255152700358167e-07,1.7597084678300234e-08
1926,2.797680700439287e-07,1.114613823460786e-08
1927,3.712691816204483e-07,1.4493992672726108e-08
1928,4.981754102573177e-07,1.4853853258500749e-08
1929,3.83229969536103e-07,8.912325100141061e-09
1930,3.8653259881726854e-07,1.8906487042613662e-08
1931,4.4138730803666704e-07,1.4826963656844327e-08
1932,3.8248783340577575e-07,1.2055489939655217e-08
1933,4.4276755595262784e-07,1.2617728861741284e-08
1934,3.9898662151927056e-07,1.9170528275935794e-08
1935,2.860419918704338e-07,1.555876849579363e-08
1936,2.8250583739009016e-07,6.0623572828433225e-09
1937,3.3618284289715916e-07,1.888667755522988e-08
1938,3.539503614646833e-07,2.5930428915188486e-09
1939,4.083511431218767e-07,7.647025235257843e-09
1940,3.1190130744818134e-07,5.0715658339584024e-09
1941,3.45325812389774e-07,1.1806010391524069e-08
1942,3.489343640694642e-07,3.3376331032286544e-08
1943,4.500014689767795e-07,2.322588166236983e-08
1944,4.787647398529771e-07,2.2492303131116387e-08
1945,4.5530734382737137e-07,2.6142048525912287e-08
1946,3.7586980639048306e-07,2.0881656404014848e-08
1947,3.7669950891938697e-07,2.7418003867296648e-08
1948,3.0223847069521526e-07,8.697510267552389e-09
1949,3.877718155465004e-07,1.2762110479513922e-08
1950,2.829006149340785e-07,8.508289184305795e-09
1951,3.038499372109982e-07,1.8124383771578323e-08
1952,3.2794339333008793e-07,9.490323193972472e-09
1953,3.167505262524628e-07,1.4005975934594517e-08
1954,3.332434710401344e-07,5.863521668203475e-09
1955,3.7917854633917614e-07,1.595553378308523e-08
1956,3.3663607279521557e-07,1.3953826316637219e-08
1957,3.383819464630733e-07,1.501956425897788e-08
1958,2.936646397166953e-07,7.445019267748876e-09
1959,4.6737008219110976e-07,1.705164542897819e-08
