year,son_DET heureux_ADJ
1800,4.244622133775522e-07
1801,5.929144748506587e-07
1802,5.191789114178391e-07
1803,4.797834440850579e-07
1804,6.352656809482937e-07
1805,8.699205764628459e-07
1806,7.751689938828576e-07
1807,7.06044886555901e-07
1808,7.342079868521978e-07
1809,7.025585091469111e-07
1810,7.230991911910678e-07
1811,7.947433289245964e-07
1812,8.375033750951388e-07
1813,9.892551489087964e-07
1814,8.433094684789921e-07
1815,7.336448106798343e-07
1816,6.90645972412085e-07
1817,5.838275152214578e-07
1818,4.7446285811325595e-07
1819,6.314140339469532e-07
1820,7.535215296172737e-07
1821,6.49872070823676e-07
1822,7.007905509226475e-07
1823,8.242161086968736e-07
1824,8.732693999036201e-07
1825,7.951315117438185e-07
1826,5.522606176810996e-07
1827,6.673305588122957e-07
1828,5.668482288001542e-07
1829,6.404162498085952e-07
1830,6.502148508502614e-07
1831,4.225216923003927e-07
1832,4.6813692655689465e-07
1833,4.7492877008892265e-07
1834,5.628722394845909e-07
1835,5.279035164562629e-07
1836,5.020400455357787e-07
1837,5.086218006766785e-07
1838,5.630448631777085e-07
1839,5.788941699336192e-07
1840,5.828264928453564e-07
1841,5.515251082499617e-07
1842,6.473475586687982e-07
1843,5.481613545299524e-07
1844,5.828852067679691e-07
1845,4.7655147117353636e-07
1846,4.835818012693949e-07
1847,5.468728776492071e-07
1848,4.794952266351515e-07
1849,4.022119206581465e-07
1850,5.471930517586543e-07
1851,5.211146607564388e-07
1852,4.6680610488181173e-07
1853,4.82532094281396e-07
1854,5.315164877117695e-07
1855,6.171967932289135e-07
1856,4.949392948816467e-07
1857,6.448473328646287e-07
1858,5.862623755348295e-07
1859,6.085147425949344e-07
1860,5.991533917892866e-07
1861,5.607281021724475e-07
1862,6.248374866402173e-07
1863,4.814814378306664e-07
1864,5.926283552781797e-07
1865,5.596437926413955e-07
1866,5.692767235387919e-07
1867,5.959252291631856e-07
1868,5.310364796784484e-07
1869,5.767436022097172e-07
1870,4.443887764438159e-07
1871,3.47312487214424e-07
1872,4.4810784638471546e-07
1873,4.3099231561427587e-07
1874,4.46900775941117e-07
1875,4.6573230871871374e-07
1876,4.425682824660271e-07
1877,5.071548980772889e-07
1878,4.5957466099366684e-07
1879,4.630868550847822e-07
1880,4.768459760384758e-07
1881,4.267174613659108e-07
1882,4.558938950793845e-07
1883,4.139167097960694e-07
1884,5.149323829556351e-07
1885,4.3894778301023507e-07
1886,4.485157454325872e-07
1887,3.8781812428112516e-07
1888,4.184805684204207e-07
1889,3.8342636177191025e-07
1890,3.932631980063661e-07
1891,3.269974797603936e-07
1892,3.45395018142014e-07
1893,3.467188509631569e-07
1894,3.667495764858586e-07
1895,3.737559701733062e-07
1896,3.7092311533371003e-07
1897,3.3561869017262325e-07
1898,3.2139456784818776e-07
1899,2.6698203647868013e-07
1900,3.0211930557300093e-07
1901,3.314122034581146e-07
1902,2.7448486061842914e-07
1903,3.0997265199061985e-07
1904,2.8109290806099807e-07
1905,3.158384664914138e-07
1906,2.8190131651228967e-07
1907,3.039420342076937e-07
1908,2.9124537181957066e-07
1909,2.833006451652409e-07
1910,3.0942632101016443e-07
1911,2.9953705116270157e-07
1912,2.7870403673802e-07
1913,2.921947217515708e-07
1914,3.361765248399706e-07
1915,2.1676602113274157e-07
1916,2.1974923569700877e-07
1917,2.511311230080082e-07
1918,2.722271137400867e-07
1919,2.7163152682696534e-07
1920,2.1656582172013827e-07
1921,2.589879626313518e-07
1922,2.9437963000589207e-07
1923,2.5584436080805517e-07
1924,2.900615374556992e-07
1925,2.50758449560351e-07
1926,2.697365424353393e-07
1927,2.965693841616712e-07
1928,2.5023031380300154e-07
1929,2.2169409064076717e-07
1930,2.5418720150938157e-07
1931,2.041558850862657e-07
1932,2.652207964359832e-07
1933,2.374427030549242e-07
1934,2.0488502627813432e-07
1935,2.0944497070018997e-07
1936,1.9884531887726098e-07
1937,1.901258839254183e-07
1938,1.866990877452679e-07
1939,1.6823455251113728e-07
1940,1.6482589160204952e-07
1941,2.2726570225728437e-07
1942,2.3363430079470504e-07
1943,2.874202782443547e-07
1944,2.3777577951022977e-07
1945,2.330999304689385e-07
1946,2.213455632116279e-07
1947,1.847735031645925e-07
1948,1.6416550363551607e-07
1949,1.5314533019505916e-07
1950,1.5102213679618615e-07
1951,1.9723592714626648e-07
1952,1.655534216382648e-07
1953,1.572978822750315e-07
1954,1.4365628597801106e-07
1955,1.473540440777299e-07
1956,1.6570169458773876e-07
1957,1.2280702466060944e-07
1958,1.6461764507091914e-07
1959,1.387383896656047e-07
1960,1.6540791536456823e-07
1961,1.3965800294002406e-07
1962,1.3508367474601712e-07
1963,1.493658325912861e-07
1964,1.563579834495954e-07
1965,1.7401097984759417e-07
1966,1.8278946622984904e-07
1967,1.986925224350955e-07
1968,2.1873195166222104e-07
1969,1.5305723710667962e-07
1970,1.7429167376015187e-07
1971,1.7059479429093471e-07
1972,1.8571131166211785e-07
1973,1.2680368977058265e-07
1974,1.1813700506735358e-07
1975,1.1251615816831873e-07
1976,1.0741430456207013e-07
1977,1.1694795798433688e-07
1978,1.3247518726444696e-07
1979,1.0884670587074652e-07
1980,1.1029192359401918e-07
1981,1.157575590937654e-07
1982,9.435403325319669e-08
1983,8.715136123882417e-08
1984,1.2293898032922357e-07
1985,8.903025916495722e-08
1986,9.531231914827742e-08
1987,1.30160394462564e-07
1988,7.735554330423611e-08
1989,1.1744581129846665e-07
1990,1.0134490713298305e-07
1991,8.674968610122846e-08
1992,1.0799490501867126e-07
1993,9.139692203063987e-08
1994,9.916862309111707e-08
1995,1.2688534312133015e-07
1996,1.0142375006516602e-07
1997,7.336188490025819e-08
1998,1.0442203013383278e-07
1999,1.110558880412782e-07
2000,1.100089805916582e-07
2001,1.0602532318770841e-07
2002,7.973823068496699e-08
2003,9.708930637231106e-08
2004,7.04766631720588e-08
2005,9.63802395670399e-08
2006,9.553504920489786e-08
2007,1.026581202268062e-07
2008,8.302007592497773e-08
2009,9.345657558945675e-08
2010,7.321879369470707e-08
2011,7.533225110378794e-08
2012,9.906375164625558e-08
2013,1.1017043988204023e-07
2014,1.4551791815975434e-07
2015,1.4629397426801916e-07
2016,2.199763162735735e-07
2017,7.647458710735577e-08
2018,1.1255194931614199e-07
2019,1.4132471592986917e-07
