year,bon_ADJ athée_NOUN,bon_ADJ pâté_NOUN
1800,3.144164573143371e-08,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,1.5602713787643552e-08
1804,4.943701892301533e-09,1.4831105232815389e-08
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,4.5321479902327155e-09,0.0
1809,0.0,0.0
1810,0.0,2.106114038724627e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,8.344824387052086e-09,1.3113295338484932e-08
1819,5.175524897538253e-09,0.0
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,4.930744257336528e-09,6.903041693817613e-09
1822,0.0,2.0051231786055723e-09
1823,0.0,3.9530747564242574e-09
1824,0.0,3.3684450784221553e-09
1825,0.0,7.044354433105582e-09
1826,0.0,5.284790383086602e-09
1827,0.0,2.7651818612639545e-09
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,4.286587973467704e-09,2.1432940755516938e-08
1830,2.0873671680021744e-09,1.982998831806526e-08
1831,0.0,2.3386808933878456e-08
1832,0.0,1.0823975493678972e-08
1833,1.3900354645102198e-08,0.0
1834,0.0,0.0
1835,7.563087933704082e-10,1.0588323107185715e-08
1836,0.0,2.688300027031687e-09
1837,0.0,6.957891152126194e-09
1838,3.1560809521380406e-09,6.312161904276081e-10
1839,9.088918062616358e-09,2.0974426639952526e-09
1840,0.0,2.5478754661634184e-09
1841,0.0,5.1364388298225094e-09
1842,0.0,2.683306021822318e-09
1843,2.953455480181333e-09,5.906911071384968e-10
1844,0.0,1.097712254427563e-09
1845,0.0,2.7901139176833567e-09
1846,1.1709002656346001e-09,2.3418005312692003e-09
1847,0.0,0.0
1848,0.0,1.528592186161859e-08
1849,0.0,0.0
1850,0.0,6.788996032014438e-10
1851,0.0,1.2898877521649865e-09
1852,1.3021090872200602e-09,0.0
1853,4.180352286553557e-09,1.7915795513800958e-09
1854,0.0,1.0391328908454511e-09
1855,2.1227748447927297e-09,1.0613874223963649e-09
1856,0.0,4.141751386299575e-09
1857,3.905207268672939e-09,5.369659827891837e-09
1858,4.893676019968041e-10,1.1255455234504552e-08
1859,0.0,6.110608019582742e-09
1860,0.0,2.288591982591015e-09
1861,0.0,1.4147891747029462e-09
1862,0.0,1.3553959066214816e-09
1863,0.0,7.491931519609807e-09
1864,0.0,1.9178911792039344e-09
1865,0.0,1.7886009118228685e-08
1866,0.0,1.9462451650298362e-09
1867,0.0,6.308654931785895e-09
1868,0.0,1.4819622196071691e-09
1869,0.0,2.9301114867763545e-09
1870,0.0,0.0
1871,0.0,9.559059321873065e-09
1872,6.047339295989218e-10,1.8142017887967654e-09
1873,0.0,2.9930022904522957e-09
1874,0.0,5.974609140757536e-10
1875,1.2587359599081083e-08,5.721527251978387e-09
1876,0.0,3.627608879952504e-09
1877,0.0,9.27722432209066e-09
1878,0.0,3.6234530931267273e-09
1879,0.0,1.0385853066452455e-08
1880,0.0,5.776061406947974e-09
1881,6.972507571312292e-10,9.761510710859511e-09
1882,0.0,7.320923423037584e-09
1883,0.0,7.58320695126713e-09
1884,0.0,3.300848483434038e-09
1885,6.445635691854079e-10,0.0
1886,0.0,4.5174246565693466e-09
1887,0.0,0.0
1888,0.0,1.9021844099853524e-09
1889,0.0,0.0
1890,0.0,3.2771931834929546e-09
1891,5.736798147637501e-09,6.374220040683554e-10
1892,0.0,6.268512375839919e-10
1893,0.0,2.463366621796581e-09
1894,0.0,1.2603078580752936e-09
1895,0.0,2.4074457982692365e-09
1896,0.0,2.948514543632541e-09
1897,0.0,5.826713556089658e-10
1898,5.6583548957434e-10,1.13167097914868e-09
1899,0.0,2.2110313580014918e-09
