year,ton_DET allié_NOUN,ton_DET palier_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.1702034896643454e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,3.738464116054274e-08,0.0
1814,3.776012391654149e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.401186100480345e-08,0.0
1818,1.668964877410417e-08,0.0
1819,2.173720581311045e-08,0.0
1820,3.5599443393152796e-09,0.0
1821,1.3806083165590621e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,1.2847492847356534e-08,0.0
1824,5.894778887238772e-09,0.0
1825,9.68598712347557e-09,0.0
1826,7.046387362485973e-09,0.0
1827,7.373818444733615e-09,0.0
1828,3.668920500743411e-09,0.0
1829,3.429270423183084e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,2.9623292263636358e-08,0.0
1832,1.6235963684607668e-08,0.0
1833,1.0425265983826648e-08,0.0
1834,4.667265685043276e-09,0.0
1835,1.5126175867408165e-09,0.0
1836,1.008112526790228e-08,0.0
1837,9.74104708006962e-09,0.0
1838,4.418513555037862e-09,0.0
1839,7.690622361167243e-09,0.0
1840,1.9109065441114126e-09,0.0
1841,5.1364388298225094e-09,0.0
1842,5.366612043644636e-09,1.341653010911159e-09
1843,1.1813822142769936e-09,0.0
1844,1.097712254427563e-09,0.0
1845,5.022205318283568e-09,0.0
1846,5.854501328173001e-10,0.0
1847,2.1572894581822766e-09,0.0
1848,8.045221711050488e-10,0.0
1849,0.0,0.0
1850,2.7155984128057753e-09,0.0
1851,1.9348316282474798e-09,0.0
1852,3.2552727180501506e-09,0.0
1853,4.777545470346922e-09,0.0
1854,3.117398783558656e-09,0.0
1855,1.0613874223963649e-09,0.0
1856,3.6240324075009767e-09,0.0
1857,9.763017949637742e-09,0.0
1858,9.787352039936081e-10,0.0
1859,5.092173349652285e-09,0.0
1860,4.577183909670879e-10,0.0
1861,4.715963619617014e-09,0.0
1862,1.8071945051545413e-09,0.0
1863,5.9935452156878455e-09,0.0
1864,4.794728170054441e-09,0.0
1865,3.294791106611683e-09,0.0
1866,1.4110277668510918e-08,0.0
1867,1.94112459439566e-09,0.0
1868,8.89177353968762e-09,0.0
1869,1.0743741896135361e-08,0.0
1870,7.454262984651905e-09,0.0
1871,0.0,0.0
1872,1.0885210954825197e-08,0.0
1873,6.584604861359367e-09,0.0
1874,1.7923826867161097e-09,0.0
1875,3.432916173551348e-09,0.0
1876,3.02300739996042e-09,0.0
1877,1.2369632429454214e-08,0.0
1878,1.8117265465633636e-09,0.0
1879,1.221865097988939e-08,0.0
1880,2.5671385017744797e-09,0.0
1881,6.972507571312292e-10,0.0
1882,0.0,0.0
1883,8.21514056781325e-09,2.5277355764075082e-09
1884,3.9610181801208455e-09,0.0
1885,3.86738152613475e-09,0.0
1886,2.5813855497602844e-09,0.0
1887,5.223139698529167e-09,1.3057849246322917e-09
1888,0.0,1.268122939990235e-09
1889,5.6386229019267375e-09,0.0
1890,3.9326319978272295e-09,0.0
1891,1.2748440081367107e-09,0.0
1892,4.387958441043338e-09,0.0
1893,1.847525021858587e-09,0.0
1894,6.301539290376468e-10,0.0
1895,1.2037228991346183e-09,0.0
1896,2.948514543632541e-09,0.0
1897,4.661370844871726e-09,0.0
1898,3.960848538042683e-09,5.6583548957434e-10
1899,2.7637891975018647e-09,1.1055156790007459e-09
1900,1.038210628578895e-09,0.0
1901,3.912117296778206e-09,0.0
1902,4.910283846193408e-10,0.0
1903,5.940242076007962e-09,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,5.144184633820714e-09,0.0
1907,1.028568674676933e-09,0.0
1908,4.911389073214423e-10,9.822778146428846e-10
