year,mon_DET acte_NOUN,mon_DET pacte_NOUN
1800,1.0375742576229641e-07,3.144164484325529e-09
1801,7.381665989569797e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,4.4857802805609026e-08,1.1702034896643454e-08
1804,2.842628568089367e-07,0.0
1805,2.2743021688143017e-08,0.0
1806,8.645007376628655e-09,5.76333825108577e-09
1807,5.693910054560547e-08,1.1387820464392462e-08
1808,6.345007053099039e-08,0.0
1809,1.9653564997668127e-07,4.518061036407062e-09
1810,2.4805344267520013e-07,4.680253518074551e-09
1811,1.7048121492280188e-07,0.0
1812,4.000812392490616e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,5.664018942752591e-08,6.293354282149721e-09
1815,4.5852800667489646e-08,2.697223555614414e-09
1816,8.343374346964083e-08,2.3176038865813098e-08
1817,6.694555310104988e-08,5.293369564896011e-08
1818,2.1458118837358597e-08,8.583247490534518e-08
1819,3.2088255608186955e-08,1.438795935726489e-07
1820,9.018525837234392e-08,3.5599443393152796e-09
1821,1.1833786039971983e-07,4.339054782143137e-08
1822,7.819980396561732e-08,2.8071724500478012e-08
1823,1.1958051082672227e-07,1.2847492847356534e-08
1824,7.579001248814166e-08,3.536867243525421e-08
1825,4.842993739373469e-08,5.459374818883589e-08
1826,1.153845943235865e-07,3.435113782312982e-08
1827,8.29554564485413e-08,3.133872955585204e-08
1828,1.1740545363680965e-07,3.760643529915342e-08
1829,1.4660130887023115e-07,3.1720752247110795e-08
1830,1.3567887013898883e-07,3.652892677230568e-08
1831,9.198811623534198e-08,4.677361875593533e-08
1832,1.2176972319366541e-07,2.2730348980815052e-07
1833,5.328469099286082e-08,2.6642345218874652e-08
1834,1.1854853987358638e-07,1.2134890203796544e-08
1835,7.714349692378164e-08,7.563087933704082e-09
1836,5.712637651811292e-08,9.409050427677812e-09
1837,8.210311408518578e-08,1.600314980532147e-08
1838,5.6178240059878704e-08,2.651107955387033e-08
1839,1.1535933674977628e-07,1.5381245166423696e-08
1840,6.305991462340899e-08,1.9109065441114126e-09
1841,6.484754067059839e-08,5.1364388298225094e-09
1842,1.2007794669699479e-07,4.024959032733477e-09
1843,6.73387887673016e-08,5.906911015873817e-09
1844,2.9638231424655714e-08,5.488561383160118e-09
1845,5.4686232431322424e-08,6.696273757711424e-09
1846,7.435216886619855e-08,2.0490754204516293e-08
1847,8.467361389818961e-08,1.1865092020002521e-08
