year,en_ADP arc_NOUN,en_ADP parc_NOUN
1800,1.3991532341606217e-06,2.2009151834367913e-08
1801,8.738940096009173e-07,7.143547975374531e-09
1802,1.3359905324250576e-06,8.951360541686881e-09
1803,1.92108404917235e-06,5.851017448321727e-09
1804,1.16177000109019e-06,1.2359254952798437e-08
1805,1.9274709757155506e-06,1.1371510844071508e-08
1806,1.3976094805911998e-06,5.76333825108577e-09
1807,9.480360745328653e-07,1.4234775136401367e-08
1808,9.245582077710424e-07,2.4926814390369145e-08
1809,1.3328279919733177e-06,2.259030518203531e-09
1810,2.6654042812879197e-06,2.106114083133548e-08
1811,1.9379704099264927e-06,5.0141535368197765e-09
1812,1.0722177421484957e-06,8.00162425207418e-09
1813,9.432432648281974e-07,2.8757416448144113e-09
1814,1.3750978951065917e-06,5.034683425719777e-08
1815,4.612252268998418e-07,4.045835311217161e-08
1816,1.5296185438273824e-06,0.0
1817,1.591124600963667e-06,4.670620334934483e-09
1818,8.154085548994772e-07,3.5763532135746345e-09
1819,8.767339636506222e-07,3.1053151161586356e-09
1820,7.606414555993979e-07,4.746592452420373e-09
1821,5.19700449785887e-07,3.94459531705138e-09
1822,7.138238515835837e-07,1.0025615893027862e-08
1823,6.176679221425729e-07,9.882686891060644e-10
1824,6.80425898735848e-07,2.189489300974401e-08
1825,1.376290697407967e-06,1.4969252504215547e-08
1826,8.305929100060894e-07,1.145037931138404e-08
1827,8.949971856964112e-07,1.2904182611350734e-08
1828,1.3143907153789769e-06,4.586150625929264e-09
1829,2.284751417391817e-06,5.058173968564006e-08
1830,1.2837308531743474e-06,1.0436835840010872e-09
1831,1.6308401882270118e-06,0.0
1832,1.6682452042005025e-06,6.764984572527055e-09
1833,1.1884802688655327e-06,1.853380560135065e-08
1834,1.2050879831804195e-06,6.534171426153534e-09
1835,9.642936902309884e-07,2.3445572594482655e-08
1836,7.117274094525783e-07,2.2178475944656384e-08
1837,8.72519535732863e-07,1.8090515752078318e-08
1838,7.833393169676128e-07,2.398621568033832e-08
1839,1.3150964832675527e-06,2.936419651877742e-08
1840,9.802951126403059e-07,1.847209740724054e-08
1841,8.76404897098837e-07,2.632424900284036e-08
1842,1.0022148444477352e-06,2.2808102073668124e-08
1843,8.169258194357099e-07,2.126487963494128e-08
1844,1.1169222489115782e-06,1.97588213013411e-08
1845,1.0167175332753686e-06,2.4553003186156275e-08
1846,1.256375981029123e-06,3.33706573485415e-08
1847,9.227805435330083e-07,1.3483059113639229e-08
1848,1.247813884219795e-06,3.057184372323718e-08
1849,8.371035278287309e-07,1.9272654583346593e-08
1850,2.290607199029182e-06,2.511928531845342e-08
1851,1.2640899740290479e-06,1.1608989325395669e-08
1852,1.2942964531248435e-06,2.408901877970493e-08
1853,1.756345113790303e-06,1.4929829816878737e-08
1854,1.1669462764984928e-06,2.701745477340367e-08
1855,1.162219177786028e-06,3.6087172361476405e-08
1856,1.0509694448046503e-06,2.7439103433835044e-08
1857,1.2413677268341416e-06,2.7336450492132514e-08
1858,8.975001719591091e-07,3.131952558410589e-08
1859,1.358591816824628e-06,2.291478051752449e-08
1860,1.0078958894155221e-06,2.5174511364411956e-08
1861,7.30031160856015e-07,2.6880993708733314e-08
1862,1.0432030421725358e-06,3.298130124562704e-08
1863,1.5333486089730286e-06,2.5472566278494924e-08
1864,1.4566383015335305e-06,4.267307929239905e-08
1865,9.145398394139193e-07,3.247722446531043e-08
