year,son_DET air_NOUN,son_DET père_NOUN
1800,3.744699938579288e-06,5.2425798912736354e-05
1801,3.2907943818827334e-06,6.229887844710902e-05
1802,3.01660844570506e-06,5.97324290083634e-05
1803,3.2161094338789553e-06,6.086813607453223e-05
1804,5.203246075780044e-06,8.699679187884612e-05
1805,4.591247318330716e-06,7.906327095952292e-05
1806,3.316801098662836e-06,6.53706651974062e-05
1807,2.9067411730920867e-06,6.986712401158002e-05
1808,3.6189201750858047e-06,8.557375372220122e-05
1809,3.3411062361210497e-06,7.819634333827707e-05
1810,4.701314708199789e-06,9.433285140403314e-05
1811,3.123817577943555e-06,9.86108514098305e-05
1812,3.5740591215471795e-06,8.843662328672508e-05
1813,3.830487941058891e-06,0.00010231888632006303
1814,2.712435588136941e-06,7.141698506529792e-05
1815,2.5192067028001475e-06,7.126334094209597e-05
1816,2.336144632408832e-06,7.463611609637155e-05
1817,3.154225424850665e-06,6.467252023867331e-05
1818,3.2509049674445123e-06,9.821142521104775e-05
1819,3.006980080044741e-06,9.352794745609572e-05
1820,2.8004895398225926e-06,8.07668310471854e-05
1821,3.0501582557462825e-06,8.600401497460552e-05
1822,3.708475276198442e-06,8.953877522799303e-05
1823,3.294887733318319e-06,8.773256286076503e-05
1824,3.3566554122899106e-06,8.671135606164171e-05
1825,3.051086025607219e-06,9.350764025839453e-05
1826,2.971813813701374e-06,9.495800122749642e-05
1827,2.367917545598175e-06,8.603495155057317e-05
1828,2.8690957378785242e-06,8.360735864698654e-05
1829,3.1334958237039245e-06,7.512330967074377e-05
1830,3.266729635242882e-06,7.636633063157205e-05
1831,2.6598597173688177e-06,7.202046026577591e-05
1832,3.1470708279357495e-06,6.896225306718407e-05
1833,2.992051236105908e-06,6.899209051880462e-05
1834,2.660341408500244e-06,7.402002847811673e-05
1835,3.758854660418365e-06,7.739459056210762e-05
1836,3.0209770613964793e-06,8.628905288787792e-05
1837,2.594597589222758e-06,7.636702503077686e-05
1838,2.1821143860734082e-06,7.881870510573208e-05
1839,2.5903414666572644e-06,7.674192534068425e-05
1840,2.4211187366063314e-06,7.610949592162797e-05
1841,2.19454339855929e-06,7.003919608905562e-05
1842,2.563898988228175e-06,7.487027755814779e-05
1843,2.5187068644072497e-06,7.978169696798432e-05
1844,2.2870834754940006e-06,8.471100591123104e-05
1845,2.1913555343644475e-06,7.05056227161549e-05
1846,2.2832555970353496e-06,6.917386144777993e-05
1847,1.7231349573876287e-06,7.061455767143343e-05
1848,1.861664259195095e-06,5.762550813415146e-05
1849,1.814981274605998e-06,5.499326312019548e-05
1850,2.033983264482231e-06,6.120823013588961e-05
1851,1.946440590927523e-06,5.87659942539176e-05
1852,2.186241260915267e-06,6.838741910542012e-05
1853,2.1325768670976686e-06,6.590086422875174e-05
1854,1.806012946303781e-06,7.722316013314412e-05
1855,2.283574971784219e-06,7.82778547545604e-05
1856,2.1438741697465957e-06,7.580854980915319e-05
1857,2.5906168019673714e-06,7.192317639237444e-05
1858,2.563307546665783e-06,7.560485028079711e-05
1859,2.6056650312966667e-06,7.036467150101089e-05
1860,2.5115007389331367e-06,7.269025695677556e-05
1861,2.4782389971278462e-06,6.614516564695805e-05
1862,2.169085220771194e-06,7.171490051405272e-05
1863,2.2745503827081848e-06,7.166681371018058e-05
1864,2.256878445905386e-06,6.97474706612411e-05
1865,2.1660896720732126e-06,6.691014550597174e-05
1866,2.137950218639162e-06,6.747972565790405e-05
1867,2.274512837630027e-06,6.262359192987788e-05
1868,2.023866386480222e-06,6.457699760176183e-05
1869,2.680563682133652e-06,6.27131744295184e-05
1870,2.18409924457319e-06,7.250360431498848e-05
1871,1.8183455026132833e-06,4.952761105414538e-05
