year,on_PRON osait_VERB,on_PRON posait_VERB
1800,1.697848794890433e-07,1.4777573387192433e-07
1801,2.2383116027313577e-07,5.4767200552419126e-08
1802,1.1412984690650774e-07,2.2378401354217203e-09
1803,2.3209036825733165e-07,5.070882025393075e-08
1804,1.903325168584047e-07,1.7797326279378467e-07
1805,1.9331569056646458e-07,9.950071877540267e-08
1806,1.7578181132904547e-07,1.239117697338088e-07
1807,3.7864502644424647e-07,1.3380688734798696e-07
1808,1.8128592049748704e-07,8.611080914988634e-08
1809,2.417162687784469e-07,1.0617443546578897e-07
1810,1.4274773896261195e-07,1.1232608443378922e-07
1811,1.2033967777824728e-07,7.019815262410134e-08
1812,2.773896561336642e-07,1.6003249214691095e-07
1813,3.364617615631005e-07,7.476928232108548e-08
1814,3.0837436959529896e-07,2.0768068509369186e-07
1815,2.8051126133021853e-07,5.664169555608112e-08
1816,1.1356258866612734e-07,1.6686747450478379e-07
1817,2.1640540026623967e-07,4.670620157298799e-08
1818,2.718028442316722e-07,8.583247446125597e-08
1819,3.7263779972818156e-07,1.8217848030133155e-07
1820,2.966620229472028e-07,5.22125169766241e-08
1821,3.7769499527939843e-07,9.17118416765561e-08
1822,3.0076847679083585e-07,7.819980396561732e-08
1823,2.5003198089734724e-07,1.245218541612303e-07
1824,2.4673860110624446e-07,6.400045649002095e-08
1825,2.2629988905009668e-07,1.0038205289220059e-07
1826,1.7880208069698256e-07,4.4039922819649746e-08
1827,2.9679618940292585e-07,1.1890282003435004e-07
1828,2.1646630909977205e-07,1.4859128327771032e-07
1829,3.309246054961079e-07,1.6546229630876041e-07
1830,3.7781346051701803e-07,1.4402833059534714e-07
1831,3.554795036109226e-07,1.9021270958319292e-07
1832,4.261940382832563e-07,1.596536360892742e-07
1833,2.4673128251606613e-07,1.7838787513824172e-07
1834,3.201744149805563e-07,1.7175536370928057e-07
1835,3.115992228686082e-07,1.5050544277528388e-07
1836,2.5874888365251536e-07,1.74739499314569e-07
1837,2.1221567347851078e-07,1.7046832034850468e-07
1838,2.3481242994449758e-07,1.4202364262416722e-07
1839,2.30718685045872e-07,1.1466019067540856e-07
1840,3.1466261951607066e-07,1.344004316727876e-07
1841,3.171750861952205e-07,2.606742768307413e-07
1842,3.199842559808985e-07,1.267862081988369e-07
1843,2.6344822856572137e-07,1.8488632136381966e-07
1844,3.660870397936833e-07,1.674011187446922e-07
1845,2.74547216960741e-07,2.2823131651250606e-07
1846,2.997504573443166e-07,1.6978053452021413e-07
1847,3.602673359637265e-07,1.4723500285640512e-07
1848,2.8158275888756634e-07,1.64927048018626e-07
1849,3.20931583530637e-07,1.5669506225890473e-07
1850,2.3422036043996286e-07,2.2064237015229082e-07
1851,2.3088991341069232e-07,1.1157529211658357e-07
1852,2.441454540758059e-07,1.9336320100649118e-07
1853,2.5858464880457177e-07,1.5825619126275114e-07
1854,2.3328534037858617e-07,1.7613302283336907e-07
1855,2.860438996776793e-07,2.3722008535287387e-07
1856,2.5419999616360656e-07,2.122647586588755e-07
1857,2.601844384386709e-07,1.9623666247525762e-07
1858,2.6376915052139793e-07,2.3685391425942726e-07
1859,2.306754574021852e-07,1.614218980705573e-07
1860,3.3230354645752413e-07,1.6569405580924013e-07
1861,3.329470459334516e-07,2.2919583919644992e-07
1862,2.5571803607959964e-07,2.1595974786237093e-07
1863,2.786998334336488e-07,1.902950472754128e-07
1864,2.2918800368643133e-07,2.579563549431896e-07
1865,2.706435431321097e-07,1.3414506483400146e-07
1866,2.846383502230765e-07,2.1408696326830068e-07
1867,2.3924361336469246e-07,2.557431635352714e-07
1868,1.56594002653776e-07,3.492490883161281e-07
1869,3.41846348561603e-07,2.0168934256048487e-07
1870,2.6835349409282117e-07,1.920906349539564e-07
1871,2.6552943843682897e-07,1.5719342627562582e-07
1872,2.3947463212437015e-07,3.271610609090203e-07
1873,2.1130595939666819e-07,2.873282163307067e-07
1874,2.1807322969635834e-07,3.238238299729801e-07
1875,2.0654712340473225e-07,4.428462005989786e-07
1876,2.527234093108177e-07,1.674746066271382e-07
1877,1.7935965956894506e-07,1.6204217523352327e-07
1878,2.3794009607058797e-07,1.56412401253192e-07
1879,2.23601301030385e-07,1.5273313636043895e-07
1880,1.5723723123528544e-07,1.4504331957709837e-07
1881,2.0638622011404095e-07,2.1475322675712505e-07
1882,1.9500278369832813e-07,1.9566832953898938e-07
1883,1.96531444451864e-07,2.2054493342693604e-07
1884,1.8682802327418813e-07,1.7296445875558675e-07
1885,2.2688637635326359e-07,2.0819403534488856e-07
1886,1.6585401674262812e-07,1.871504515804645e-07
1887,1.4167766337891408e-07,1.5930576502398708e-07
1888,1.7246472339138563e-07,1.6802628621803706e-07
1889,1.8795409673089125e-07,1.8168896964709802e-07
1890,2.0318598359381213e-07,1.4288562155684303e-07
1891,1.7019167763976384e-07,1.5043159073968582e-07
1892,2.0121925015104125e-07,1.7113038985883122e-07
1893,1.60734673571028e-07,1.61350515170966e-07
1894,1.8463509476873696e-07,1.4871633169377674e-07
1895,1.9379939075747643e-07,1.9560496422599272e-07
1896,1.6452710660530556e-07,1.6865503482677013e-07
1897,1.3459708547713944e-07,1.9228154357620042e-07
1898,1.5220974880492122e-07,1.5220974969309964e-07
1899,1.746714790584747e-07,1.2823981876408652e-07
1900,1.4898322753253979e-07,1.9570270026747494e-07
1901,1.7157429255121315e-07,1.3915959762300645e-07
1902,1.0900830371696202e-07,1.5123674579342605e-07
1903,1.225849972641413e-07,1.4094574574130547e-07
1904,1.5532667418938217e-07,1.854245699206558e-07
1905,1.3882442395640737e-07,1.6617644860161818e-07
1906,1.260325142027341e-07,1.5175343826001608e-07
1907,1.3782820751373492e-07,1.7074239444525574e-07
1908,2.0087581553696054e-07,1.71898618006594e-07
1909,1.1992144077765943e-07,1.3037330681697767e-07
1910,1.2986286002103498e-07,1.7582255829040605e-07
1911,1.133239662109986e-07,1.851490196713712e-07
1912,1.6253393653187231e-07,1.2971458929200708e-07
1913,1.7287746167937712e-07,1.9939241369115734e-07
1914,1.6942761860150313e-07,2.1764417645897538e-07
1915,1.6021835902435555e-07,1.7199911717113991e-07
1916,1.856881040041003e-07,1.7140440533580659e-07
1917,1.4585345020634577e-07,1.2611388200411966e-07
1918,1.4472833687051434e-07,1.4357970812284293e-07
1919,1.5285027643585636e-07,1.510087130895954e-07
1920,1.673463270179809e-07,1.5523075447276824e-07
1921,1.544840433354011e-07,1.817459338582239e-07
1922,1.652657610762276e-07,1.8371058807531426e-07
1923,1.3906891460635507e-07,1.5605443337562974e-07
