year,en_ADP oie_NOUN,en_ADP pois_NOUN
1800,3.144164484325529e-09,3.7415558296061135e-07
1801,1.666827853519237e-08,4.1432577546629545e-07
1802,2.0140561218795483e-08,5.818384352096473e-08
1803,9.751696339321825e-09,1.5017611820766774e-07
1804,1.2359254952798437e-08,1.6314216111368296e-07
1805,3.695740957709859e-08,1.194008623084386e-07
1806,1.4408345627714425e-08,1.4120178093435243e-07
1807,0.0,7.402083213037258e-08
1808,1.0877154998922833e-07,2.1301095420867e-07
1809,0.0,2.597885213617701e-07
1810,2.3401266702194334e-08,3.510190182964834e-08
1811,1.504245972228091e-08,7.771937760026049e-08
1812,2.6672082320544632e-09,7.734903562095496e-08
1813,5.751483289628823e-09,4.3136125782439194e-08
1814,1.1642705288750221e-07,3.1466772298927026e-08
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,5.0987285504788815e-08
1817,4.670620334934483e-09,7.005930058312515e-08
1818,4.768470951432846e-09,2.384235431307502e-08
1819,4.140420006848444e-09,1.7596784918083586e-08
1820,2.3732962262101864e-09,2.4919611263385377e-08
1821,1.577838126820552e-08,6.7058117281249e-08
1822,1.0025615893027862e-09,4.0102463572111446e-08
1823,1.9765373782121287e-09,1.5021683774651962e-07
1824,1.9368560089105813e-08,3.115811608722652e-08
1825,7.924898959288385e-09,4.6668848341369085e-08
1826,3.5231937367541377e-09,2.994714676241017e-08
1827,1.8434546111834038e-09,7.281645508783186e-08
1828,7.337841001486822e-09,3.3020285172824515e-08
1829,9.430493719264632e-09,4.372319911682965e-08
1830,2.0873671680021744e-09,3.235419177016752e-08
1831,1.5591206103948707e-09,4.05371340939098e-08
1832,2.0294953273491956e-08,5.682586967648007e-08
1833,2.3167257001688313e-09,4.749287596528262e-08
1834,3.733812370398937e-09,5.41402800369184e-08
1835,7.563087933704082e-09,3.403389570166837e-08
1836,2.016224964762614e-09,3.091544903410792e-08
1837,1.3915781860163179e-09,6.54041727443655e-08
1838,4.418513332993257e-09,3.4085674949224654e-08
1839,2.0974426639952526e-09,4.544458853672495e-08
1840,5.732719632334238e-09,3.4396317238893914e-08
1841,2.3113974734201292e-08,3.2102741354123054e-08
1842,1.341653010911159e-09,4.494537719779146e-08
1843,1.7720733214154905e-09,2.421833494858916e-08
1844,3.2931368743049916e-09,3.896878386644431e-08
1845,3.9061593959388574e-09,2.1204865419122143e-08
1846,2.9272506640865004e-09,4.6836009293116376e-08
1847,7.011190739092399e-09,2.588747349818732e-08
1848,4.82713291560799e-09,4.0226107111962506e-08
1849,1.9272654583346593e-08,1.927265347312357e-08
1850,6.788996032014438e-09,2.0366988984221734e-08
1851,1.0964046337491595e-08,3.805169002113473e-08
1852,5.208436348880241e-09,4.6224872818356744e-08
1853,1.791579506971175e-08,2.866527260003693e-08
1854,7.79349651480743e-09,3.169355233811899e-08
1855,1.0083180512765466e-08,3.02495415382964e-08
1856,1.3978411317339123e-08,2.950997818329526e-08
1857,1.4156376515472857e-08,3.270611115269162e-08
1858,1.5659763041853125e-08,2.3979012331309946e-08
1859,2.036869339860914e-09,2.546086697030603e-08
1860,4.57718396518203e-09,2.1055045706930287e-08
1861,7.073945706981277e-09,4.6688040100661965e-08
1862,1.490935469528054e-08,2.3493528955587095e-08
1863,3.9956967790022446e-08,6.942522645658755e-08
1864,1.4384183844029508e-09,4.746780746245349e-08
1865,1.3179164426446732e-08,2.3063537857304084e-08
1866,1.702964580463373e-08,1.6786365242271728e-07
1867,1.4073153309368536e-08,2.8631587767335986e-08
1868,1.2349685274415378e-08,3.556709415875048e-08
1869,2.24641887314192e-08,4.346332216353943e-08
1870,9.17447806614291e-09,6.307453759291093e-08
1871,2.2304472935275044e-08,5.947859293975455e-08
1872,7.256807155187062e-09,3.688877092677956e-08
1873,2.5141218329416404e-08,3.831043010604773e-08
1874,1.1949218503559678e-08,2.5093358058114745e-08
1875,9.7265964171811e-09,2.7463329388410784e-08
1876,2.1161051577678336e-08,4.776351847368687e-08
1877,2.2265337129567797e-08,3.8345860153832234e-08
1878,2.1740719446938783e-08,3.623453348478023e-08
1879,1.5273313280772527e-08,5.498392652292239e-08
1880,1.6044615858135103e-08,3.786529134686134e-08
1881,2.1614772693911988e-08,4.462404717964219e-08
1882,3.327692410515226e-08,4.059785041476971e-08
1883,8.847074184359371e-09,5.371437955536962e-08
1884,1.4523733327109767e-08,2.44262796655903e-08
1885,1.546952527187173e-08,5.4787904879560756e-08
1886,2.0005737511041843e-08,5.679048276086007e-08
1887,2.0239665943222462e-08,4.374379503069292e-08
1888,3.1703073499755874e-09,4.057993474582133e-08
1889,1.3783300722991498e-08,4.385595747669058e-08
1890,7.865263995654459e-09,6.42329907596384e-08
1891,1.0836173736095134e-08,3.5695633782140135e-08
1892,7.522214628963297e-09,6.080456804724577e-08
1893,1.2932674486876294e-08,3.571881634911733e-08
1894,8.192001077489408e-09,4.285046628638156e-08
1895,9.629783193076946e-09,2.6481904003006207e-08
1896,2.94851448812139e-09,3.184395680477792e-08
1897,8.740070001067579e-09,4.078699333831537e-08
1898,3.960848538042683e-09,2.206758353828775e-08
1899,7.738609753005221e-09,4.698441813388854e-08
1900,8.30568502863116e-09,6.177352895875288e-08
1901,1.620734302321125e-08,4.582765866789629e-08
1902,7.365425880312415e-09,2.3569362295194907e-08
1903,9.1803746826713e-09,3.672149784250678e-08
1904,4.837162670412454e-09,4.8909090111237674e-08
1905,1.4450125374043665e-08,5.160759064537501e-08
1906,1.0288368990085672e-08,4.4239985341754107e-08
1907,1.2342823652033985e-08,3.1371344189068395e-08
1908,1.7680999775393502e-08,3.8799974788616964e-08
1909,5.500983557560346e-10,4.400786934866119e-08
1910,1.4963622119168463e-08,3.954671590200576e-08
1911,5.3203743632934675e-09,3.671058002030492e-08
1912,9.376957876838787e-09,3.438218071361021e-08
1913,1.0075680734189518e-08,6.363587939928195e-08
1914,6.696743604095445e-09,4.218948390644073e-08
