year,en_ADP artisan_NOUN,en_ADP partisan_NOUN
1800,0.0,2.5153315874604232e-08
1801,2.3811825844433088e-09,2.1430643926123594e-08
1802,1.1189200677108602e-08,0.0
1803,0.0,5.851017448321727e-09
1804,0.0,0.0
1805,0.0,8.528632911009026e-09
1806,0.0,1.152667650217154e-08
1807,8.540865792383556e-09,8.540865792383556e-09
1808,2.039466551195801e-08,0.0
1809,6.7770917766551975e-09,1.8072244145628247e-08
1810,4.680253518074551e-09,0.0
1811,0.0,5.766276700569506e-08
1812,0.0,6.13457871168066e-08
1813,0.0,4.888760685162197e-08
1814,0.0,8.181360300341112e-08
1815,1.6183340889597275e-08,9.440282155992463e-08
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,0.0,4.514932783195036e-08
1818,9.536941902865692e-09,1.7881765401739358e-08
1819,1.035105001712111e-09,3.519356894798875e-08
1820,2.3732962262101864e-09,9.493184904840746e-08
1821,0.0,7.001656854299654e-08
1822,2.0051231786055723e-09,5.514088741165324e-08
1823,1.7788837070042973e-08,9.19089888640201e-08
1824,2.5263338088166165e-09,4.968456579490521e-08
1825,2.641632912414593e-09,6.427973175959778e-08
1826,3.5231937367541377e-09,4.227832306469281e-08
1827,2.1199728195142598e-08,3.7790819362726324e-08
1828,0.0,5.044765671868845e-08
1829,1.714635211591542e-09,7.973054039212002e-08
1830,4.174734336004349e-09,4.800944353178238e-08
1831,0.0,2.9623292263636358e-08
1832,1.3529969367098715e-09,7.170883975504694e-08
1833,0.0,1.3900354645102198e-08
1834,6.534171426153534e-09,2.8003592333902816e-08
1835,2.2689263801112247e-09,4.159698363537245e-08
1836,1.3441500135158435e-09,2.6210924986003192e-08
1837,0.0,1.7394727436226276e-08
1838,6.312161904276081e-10,4.102905393210676e-08
1839,5.5931801412612e-09,1.957613093850341e-08
1840,1.2739377330817092e-09,7.070354257621148e-08
1841,5.1364388298225094e-09,6.035315891494974e-08
1842,0.0,4.561620414733625e-08
1843,1.7130041385371442e-08,4.134837894298471e-08
1844,8.781698035420504e-09,4.281077892187568e-08
1845,7.254296274794569e-09,5.9150416120701266e-08
1846,9.367202125076801e-09,3.922516000898213e-08
1847,8.089835468183537e-09,3.937053261182655e-08
1848,5.63165514222419e-09,1.609044364414558e-08
1849,8.379414939696517e-10,1.4245005175439474e-08
