year,en_ADP ail_NOUN,en_ADP paille_NOUN
1800,1.2576658381391326e-08,8.017619279598875e-07
1801,3.809892001882531e-08,6.905429472681135e-07
1802,5.370816325012129e-08,4.520437073551875e-07
1803,5.070882025393075e-08,5.968038294668077e-07
1804,7.909923027682453e-08,8.0335155416833e-07
1805,2.5585899399160894e-08,9.55206928665575e-07
1806,6.627838811112952e-08,7.405889732581272e-07
1807,1.2241906865995134e-07,4.640536701572273e-07
1808,1.0877154954513912e-07,7.614008836753783e-07
1809,9.93973401364201e-08,1.0436721140649752e-06
1810,2.9251585464962204e-07,6.03752710048866e-07
1811,1.253538335355131e-07,7.220381235129025e-07
1812,1.8137015445063298e-07,6.214594918674266e-07
1813,1.2078114730584844e-07,3.2208305356107303e-07
1814,1.0698702368472368e-07,4.216547324631392e-07
1815,5.664169577812572e-08,3.074834751259914e-07
1816,4.6352077731626196e-08,4.982848622603342e-07
1817,3.892183608744659e-08,4.2969705305040407e-07
1818,5.602953323524673e-08,5.006894525649841e-07
1819,1.2214239364372048e-07,3.239878765270987e-07
1820,2.966620371580575e-08,4.5092627942722174e-07
1821,4.43766958735381e-08,4.6151765786817123e-07
1822,3.107940926838637e-08,4.972705482941819e-07
1823,3.755420863171821e-08,4.625097460575489e-07
1824,3.3684449896043134e-08,4.833718776353635e-07
1825,3.258013947515792e-08,6.049339162927936e-07
1826,2.4662355713189754e-08,6.817380153734121e-07
1827,4.147772969531616e-08,7.595032798235479e-07
1828,4.3109815550668174e-08,6.292198690971418e-07
1829,1.0545006362550069e-07,5.898344852539594e-07
1830,6.053364676184003e-08,1.0499456948309671e-06
1831,7.483779085326603e-08,1.0991800536430674e-06
1832,7.035583848846727e-08,8.83507027538144e-07
1833,3.938433579264711e-08,1.2336564623183222e-06
1834,7.000897994657862e-08,8.531761181984621e-07
1835,5.596685070941021e-08,7.162244060054945e-07
1836,6.653542283796554e-08,6.774516236873751e-07
1837,7.792837530828933e-08,6.575206725756289e-07
1838,6.754013526233393e-08,8.123752195388079e-07
1839,1.2095251933352813e-07,6.516054895655543e-07
1840,1.031889566571742e-07,6.624476327488082e-07
1841,1.3097919682181214e-07,7.948639222377096e-07
1842,1.2745704225380905e-07,6.325893764369539e-07
1843,1.3763102491015644e-07,7.289128234333475e-07
1844,1.4764229661068384e-07,7.096709850884508e-07
1845,1.5345627124574435e-07,5.636030095956812e-07
1846,1.042101231973902e-07,5.866210130989202e-07
