year,rien_PRON oser_VERB,rien_PRON poser_VERB
1800,6.288328968651058e-09,0.0
1801,2.6193008650921e-08,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,3.900678446910888e-09,0.0
1804,2.7190360185613827e-08,0.0
1805,2.2743021688143017e-08,5.685755422035754e-09
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,3.852325747288887e-08,2.2660739951163578e-09
1809,3.388545621874073e-08,0.0
1810,7.020380277111826e-09,0.0
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,1.600324850414836e-08,5.3344164641089264e-09
1813,2.300593315851529e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,9.270415546325239e-09,0.0
1817,3.42512151974006e-08,7.784366928831332e-09
1818,1.0729059418679299e-08,0.0
1819,3.622867339458935e-08,2.070210003424222e-09
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,1.972297702934611e-08,1.0847637454958203e-08
1822,2.2056354964661296e-08,1.2030739071633434e-08
1823,3.656594316225892e-08,1.680056804787e-08
1824,5.136878655775945e-08,0.0
1825,2.7296874094417944e-08,7.044354433105582e-09
1826,3.6112734136395375e-08,5.284790383086602e-09
1827,3.2260455640198415e-08,9.217273055917019e-10
1828,4.769596628761974e-08,0.0
1829,2.1432940755516938e-08,0.0
1830,6.575206867864836e-08,6.262101504006523e-09
1831,4.677361786775691e-08,1.5591206103948707e-09
1832,2.1647950987357945e-08,1.3529969367098715e-09
1833,1.9692167896323554e-08,1.1583628500844156e-09
1834,4.0138484536100805e-08,1.8669061851994684e-09
1835,3.932805725526123e-08,7.563087933704082e-10
1836,1.1425274948351216e-08,4.704525213838906e-09
1837,3.6181031504156635e-08,0.0
1838,5.5547026533986354e-08,0.0
1839,3.146163862766116e-08,6.9914751765765e-10
1840,3.758116307039927e-08,1.2102408852854296e-08
1841,4.1091510638580075e-08,1.2841097074556274e-09
1842,3.085801836277824e-08,0.0
1843,3.4260082770742883e-08,1.063243981747064e-08
1844,2.5796238034558883e-08,3.841992946007622e-09
1845,2.511102614732863e-08,3.9061593959388574e-09
1846,3.6297908678761814e-08,0.0
1847,3.3977308078192436e-08,9.168480197274675e-09
1848,5.068489628001771e-08,8.045221711050488e-10
1849,4.357295679824347e-08,5.865590679832167e-09
1850,3.326607966869233e-08,2.7155984128057753e-09
1851,3.1602251482354404e-08,3.2247193804124663e-09
1852,1.8229528109259263e-08,1.9531636308300904e-09
1853,1.7318601663873778e-08,5.971931837933653e-10
1854,3.792835201466005e-08,3.63696517347023e-09
1855,2.2819829581521844e-08,5.306937111981824e-10
1856,1.6049286344355096e-08,3.6240324075009767e-09
1857,4.246912865824015e-08,0.0
1858,3.1808895073481835e-08,3.4255731584664773e-09
1859,1.1202780925145817e-08,1.5276520048956854e-09
1860,2.4716793944890014e-08,4.577183909670879e-10
1861,2.1221836732365773e-08,2.8295783494058924e-09
1862,4.246907181482129e-08,4.066187830886747e-09
1863,2.7470415275843152e-08,3.496234635136375e-09
1864,1.965838514195184e-08,9.589455896019672e-10
1865,1.2237795665726026e-08,2.8241067262513297e-09
1866,3.065336073859726e-08,9.731225825149181e-10
1867,2.5719900875742496e-08,3.88224918879132e-09
1868,2.865126980111654e-08,2.4699371437009177e-09
1869,1.3185501579471293e-08,1.4650557433881772e-09
1870,2.6376625328339287e-08,5.734048791339319e-10
1871,1.5931766128574054e-08,7.434824311758348e-09
1872,3.62840353318461e-08,0.0
1873,3.292302608315367e-08,1.7958012854535355e-09
1874,1.7326366119618797e-08,1.1949218281515073e-09
1875,2.2886109007913547e-08,0.0
1876,2.1161051577678336e-08,1.209202959984168e-09
1877,1.7317484335421796e-08,0.0
1878,1.0266450800600069e-08,2.4156354694326865e-09
1879,4.3987142817059066e-08,7.331190321480108e-09
1880,1.2835692508872398e-08,6.417846254436199e-10
1881,2.8587281875047665e-08,4.8807553554297556e-09
1882,2.6621540527571597e-08,0.0
1883,1.2006744043446815e-08,0.0
1884,2.3766109080725073e-08,1.3203393933736152e-09
1885,2.2559724754955823e-08,1.933690763067375e-09
1886,2.5168509054651622e-08,7.098810428374236e-09
1887,2.285123557044244e-08,9.793386546164129e-09
1888,1.3949351895803375e-08,2.53624587998047e-09
1889,1.9421923624918236e-08,7.51816386923565e-09
1890,1.7041404731799048e-08,3.2771931834929546e-09
1891,2.5496881050912634e-08,6.374220040683554e-10
1892,1.9432388143059143e-08,0.0
1893,1.9091091374434654e-08,0.0
1894,2.835692747282792e-08,6.301539290376468e-10
1895,1.444467478961542e-08,0.0
1896,1.47425724961181e-08,4.1279202278587945e-09
1897,2.2724183423861177e-08,2.330685422435863e-09
1898,1.5277558773618694e-08,0.0
1899,1.326618814800895e-08,2.7637891975018647e-09
1900,2.5436159845071415e-08,2.07642125715779e-09
1901,1.900171220370339e-08,6.147612641171918e-09
1902,1.6694965410124496e-08,3.437198747846537e-09
1903,2.3220946943069976e-08,1.6200660812870638e-09
1904,1.5586412160928376e-08,4.837162670412454e-09
1905,1.186974607492175e-08,4.64468330463319e-09
1906,1.9033482345776065e-08,7.716276506641861e-09
1907,2.262851062084792e-08,0.0
1908,1.5716445034286153e-08,4.911389073214423e-09
1909,1.6502950117569526e-08,1.6502950117569526e-09
1910,2.0307773240801907e-08,2.137660271017694e-09
1911,2.181353409014264e-08,3.1922244847493175e-09
1912,1.510732161591477e-08,4.688478938419394e-09
1913,2.7575547179026216e-08,5.30298971401777e-10
1914,1.4732836284281348e-08,4.68772043404897e-09
1915,2.238344798399794e-08,0.0
1916,2.0876177231343718e-08,2.197492410260793e-09
1917,2.7416060532914344e-08,0.0
1918,2.2972752589112133e-08,1.1486376294556067e-09
1919,1.9336480860943084e-08,5.524709134618888e-09
1920,1.8930579770426448e-08,7.572231730534895e-10
1921,2.7261890522822796e-08,5.300923255902035e-09
1922,8.115729421831475e-09,3.6889677978990676e-09
1923,1.4862327368803108e-08,1.0615948120573648e-09
1924,1.5469948877466777e-08,2.578324886925998e-09
1925,2.74954441437103e-08,0.0
1926,1.671920735191179e-08,1.2260752413340015e-08
1927,1.4493992672726108e-08,1.0034302277972529e-08
1928,3.085031252680892e-08,4.570416489713125e-09
1929,1.6710609784809094e-08,2.2280812750352652e-09
