year,en_ADP air_NOUN,en_ADP pères_NOUN
1800,9.023752340908686e-07,2.515331631869344e-08
1801,4.4528114284680953e-07,2.3811825844433088e-08
1802,2.506380951672327e-07,4.0281122437590966e-08
1803,4.5442902552039754e-07,3.1205427131197894e-08
1804,3.8808059343864443e-07,3.460591457837836e-08
1805,2.7575912708854844e-07,5.685755422035754e-09
1806,3.7749865100522584e-07,2.5935023018064385e-08
1807,2.0498076924724273e-07,1.7081730252499483e-08
1808,2.062127402169267e-07,6.79822185212231e-08
1809,2.4397530085096264e-07,4.969867006821005e-08
1810,1.7550951270095538e-07,1.6380887757350138e-08
1811,2.0808736911348547e-07,4.262030639523573e-08
1812,1.3869483117545656e-07,1.600324939232678e-08
1813,2.0992913585260453e-07,2.5881674137195887e-08
1814,1.3530711839848664e-07,3.776012391654149e-08
1815,2.8320846801044297e-07,5.1247247778718474e-08
1816,1.7150268938337376e-07,1.3905623319487859e-08
1817,1.3077736582545185e-07,2.1796227045456362e-08
1818,2.2888661255215936e-07,3.337929510571769e-08
1819,1.3870406800897683e-07,2.6912730710648702e-08
1820,1.8511710120350244e-07,5.814575665397115e-08
1821,8.776724769177235e-08,5.3252038223483567e-08
1822,1.0426640528748976e-07,1.9048670196752937e-08
1823,9.586206450862278e-08,2.4706716672540097e-08
1824,1.4905369027928828e-07,3.2842340402794434e-08
1825,1.1270966804310945e-07,2.2013607825499548e-08
1826,9.776862741617265e-08,2.1139162309502524e-08
1827,1.6222400611720644e-07,3.133872894522938e-08
1828,1.4033620721054518e-07,3.9440893773168284e-08
1829,1.3717081515096652e-07,2.6576845446601993e-08
1830,1.8786305133744463e-07,3.861629105372799e-08
1831,1.7306238930814288e-07,3.741889553765532e-08
1832,1.1094574858816486e-07,4.058990932254147e-08
1833,1.4247862734073635e-07,3.590924857466149e-08
1834,1.474855890748472e-07,3.453776287187793e-08
1835,1.1722786297241328e-07,4.235329242874286e-08
1836,1.9624590608113834e-07,2.4866774861465046e-08
1837,9.253994626146067e-08,3.965997741328664e-08
1838,1.7484688585867048e-07,3.345445720448481e-08
1839,1.3143973565110656e-07,2.9364195075487487e-08
1840,1.1720227499623093e-07,2.802663096046487e-08
1841,1.4703056194775854e-07,2.953452371556864e-08
1842,1.1739464067517247e-07,2.4149754196400863e-08
