year,aucun_DET appât_NOUN
1800,2.2009151834367913e-08
1801,2.3811825844433088e-09
1802,0.0
1803,2.3404069793286908e-08
1804,2.7190360185613827e-08
1805,1.9900143755080535e-08
1806,1.4408345627714425e-08
1807,8.540865792383556e-09
1808,6.798221985349073e-09
1809,6.7770917766551975e-09
1810,0.0
1811,1.0028306629550343e-08
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,1.2586708564299443e-08
1815,0.0
1816,0.0
1817,7.784367150875937e-09
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,1.1866481131050932e-09
1821,2.2681422962023134e-08
1822,3.0076847679083585e-09
1823,1.2847492847356534e-08
1824,1.3473780313688621e-08
1825,7.044354433105582e-09
1826,2.642395191543301e-09
1827,1.566936447261469e-08
1828,2.384798314380987e-08
1829,4.286587973467704e-09
1830,6.262101504006523e-09
1831,0.0
1832,8.117981842303834e-09
1833,1.3900354645102198e-08
1834,6.534171426153534e-09
1835,3.025235173481633e-09
1836,4.704525213838906e-09
1837,1.461157062010443e-08
1838,1.2624323808552163e-09
1839,1.11863602825224e-08
1840,7.643626342979104e-09
1841,9.630822805917205e-09
1842,1.542900918138912e-08
1843,5.906911071384968e-10
1844,1.4270259696136378e-08
1845,7.254296274794569e-09
1846,1.6392604607062822e-08
1847,1.3483059113639229e-08
1848,1.6090443422100975e-09
1849,1.6758829879393033e-09
1850,7.467895635215882e-09
1851,6.449438760824933e-09
1852,9.765818376195057e-09
1853,0.0
1854,4.1565315633818045e-09
1855,2.1227748447927297e-09
1856,7.765783571755946e-09
1857,8.298565390418844e-09
1858,1.468102750479261e-09
1859,4.582956236731661e-09
1860,1.5104706818647173e-08
1861,1.0846716413936974e-08
1862,1.8523744316212287e-08
1863,8.990317823531768e-09
1864,1.6302074357099627e-08
1865,1.553258677233771e-08
1866,1.1190909532388105e-08
1867,4.367530337390235e-09
1868,2.9639244392143382e-09
1869,1.4650557433881772e-09
1870,5.734048791339319e-10
1871,0.0
1872,4.837871325769072e-09
1873,2.9930022904522957e-09
1874,4.182226565063729e-09
1875,5.7215269744226305e-09
1876,3.02300739996042e-09
1877,7.421779302241305e-09
1878,9.662541877730746e-09
1879,1.221865053580018e-09
1880,6.417846254436199e-09
1881,1.673401861523871e-08
1882,3.9932310791357395e-09
1883,1.0110942305630033e-08
1884,1.1222884843675729e-08
1885,6.445635691854079e-10
1886,9.680196200179125e-09
1887,4.570247291724172e-09
1888,6.340614699951175e-10
1889,5.012109394186837e-09
1890,1.9663159989136147e-09
1891,5.099376032546843e-09
1892,6.268512375839919e-09
1893,1.1085149687062312e-08
1894,5.671385361338821e-09
1895,7.222337172763105e-09
1896,5.897029031753931e-09
1897,2.330685422435863e-09
1898,2.26334195829736e-09
1899,3.3165470370022376e-09
1900,7.786579825364015e-09
1901,3.353243460679778e-09
1902,1.4730852093691738e-09
1903,1.0800440541913758e-08
1904,9.13686282189019e-09
1905,1.0837593933388234e-08
1906,8.745113966313056e-09
1907,7.199980833760833e-09
1908,3.437972351250096e-09
1909,5.5009836685826485e-09
1910,7.481810726517324e-09
1911,9.576673676292558e-09
1912,9.897899999611326e-09
1913,1.060597942803554e-09
1914,4.68772043404897e-09
1915,3.534228465440492e-09
1916,1.0987462051303964e-09
1917,5.483212106582869e-09
1918,5.743188147278033e-09
1919,1.012863304339362e-08
1920,6.057785384427916e-09
1921,4.543648568500203e-09
1922,3.6889677978990676e-09
1923,1.0615948120573648e-09
1924,6.445812328337297e-09
1925,5.499089184013428e-09
1926,1.0031524277920312e-08
1927,6.689535148041159e-09
1928,6.8556245125250825e-09
1929,2.2280812750352652e-09
1930,5.2518018822667045e-09
1931,6.843213995466613e-09
1932,3.287861094491973e-09
1933,1.1470662197865522e-09
1934,1.1981580172459871e-09
1935,3.590485242455088e-09
1936,1.091224355320719e-08
1937,1.2591118148108649e-09
1938,3.889564337278273e-09
1939,1.5294050470515685e-09
1940,0.0
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
