year,mon_DET arc_NOUN,mon_DET parc_NOUN
1800,1.1633408902866904e-07,7.231578535993322e-08
1801,1.547768651022352e-07,1.2382149350287364e-07
1802,1.208433673127729e-07,7.161088433349505e-08
1803,2.340407121437238e-07,7.80135707145746e-08
1804,1.9280438046109794e-07,9.39303390623536e-08
1805,1.4214388199818018e-07,3.980028751016107e-08
1806,1.2391177062198722e-07,2.2188852710769424e-07
1807,1.708173051895301e-07,7.686778502602465e-08
1808,1.8128591650068415e-07,1.2236799307174806e-07
1809,7.002994717453248e-08,2.710836710662079e-08
1810,2.410330584012854e-07,8.892481506705963e-08
1811,1.2535383930867283e-07,3.259199843341776e-08
1812,1.0668832839400011e-07,6.134578978134186e-08
1813,1.5241430872947603e-07,3.738464116054274e-08
1814,1.6677388892105682e-07,8.181360300341112e-08
1815,5.933891733533869e-08,6.473336688905817e-08
1816,1.1819779999200364e-07,3.7081662185300956e-08
1817,1.728129532807543e-07,9.341240636562276e-08
1818,1.7047283229487675e-07,9.656153321380145e-08
1819,1.5837106914773358e-07,5.6930773539853874e-08
1820,1.5426426092091106e-07,1.483310114736014e-07
1821,1.429915830186701e-07,1.2524090364784968e-07
1822,2.245737960038241e-07,1.0025615893027862e-07
1823,8.79559163280419e-08,8.894418357385803e-08
1824,2.1473837108487714e-07,9.179012749882531e-08
1825,1.3648437047208972e-07,6.956299780647157e-08
1826,1.7792127771087962e-07,7.839105875540042e-08
1827,7.742509211539073e-08,6.359918103271411e-08
1828,1.8161156134510748e-07,4.953042537225727e-08
1829,9.259030164798787e-08,7.372931581928199e-08
1830,1.9829987962793894e-07,8.036363396968227e-08
1831,1.1381580122815649e-07,9.822459645647541e-08
1832,2.327154682291166e-07,8.523880978827947e-08
1833,7.066013374412705e-08,9.614411489167196e-08
1834,1.5868703151511454e-07,8.681113694564146e-08
1835,1.6260639768006513e-07,8.470658485748572e-08
1836,1.4718443219763344e-07,7.594447737346854e-08
1837,1.0228099434073101e-07,7.444943062040466e-08
1838,1.350802669719542e-07,5.7440672662778525e-08
1839,8.459685396644545e-08,4.894032556990169e-08
1840,7.261444884276713e-08,1.044628916702095e-07
1841,9.502411613127038e-08,5.008027903485868e-08
1842,8.85490987201365e-08,1.0062397715060456e-07
1843,1.1341269168241297e-07,4.4892523476391943e-08
1844,8.946355123384819e-08,2.5247381074677833e-08
1845,9.765399111572037e-08,2.003301773356725e-07
1846,8.137757046000615e-08,5.73741125720062e-08
1847,7.334784069001898e-08,3.775256551818984e-08
1848,4.746680914990975e-08,3.218088551193432e-08
1849,2.0948537127196687e-08,4.1059134758825167e-08
1850,9.300924652677622e-08,4.073397619208663e-08
1851,6.578427669268194e-08,4.5791015423901626e-08
1852,9.049657823112511e-08,7.552232972329875e-08
1853,9.73424869599171e-08,5.19558078782012e-08
1854,1.0651112347659364e-07,4.3124014137418953e-08
1855,9.234070574848374e-08,8.119613781332191e-08
1856,9.836659842221707e-08,6.00553938800985e-08
1857,1.122747095294585e-07,9.079606955175734e-08
1858,9.59160502134182e-08,6.312841877020858e-08
1859,8.962225273023705e-08,5.4995471288066256e-08
1860,1.0847925624446475e-07,7.598125328911465e-08
1861,1.1176833769610539e-07,5.093240879050498e-08
1862,1.4999714981200896e-07,6.822159548391937e-08
1863,8.740586165956188e-08,7.541877550254483e-08
1864,1.4192395081380482e-07,4.938569797552361e-08
1865,1.5297243827205875e-07,4.3302967545066906e-08
1866,9.487945229480488e-08,7.103794708029909e-08
