year,on_PRON eût_VERB,on_PRON put_VERB
1800,1.0073903126794903e-05,1.392864817262307e-06
1801,1.0205749049418955e-05,1.5382439073619025e-06
1802,8.799187412478204e-06,1.199482312586042e-06
1803,8.801880881037505e-06,1.6811924012927193e-06
1804,9.55370398969535e-06,1.3669335601207422e-06
1805,8.963593700173078e-06,1.4072244312046678e-06
1806,8.87554108430777e-06,1.685776396698202e-06
1807,1.0004200589719403e-05,1.2725889320108763e-06
1808,9.134544143307721e-06,1.4820123794834217e-06
1809,9.225880603480618e-06,1.865959177393961e-06
1810,8.871420732248225e-06,1.3291920453184503e-06
1811,8.200648267120414e-06,1.2961587430027066e-06
1812,8.495058295920899e-06,2.021743881641669e-06
1813,9.596350082574645e-06,1.6190425782269813e-06
1814,1.0802542419696692e-05,2.4292348541621323e-06
1815,9.221807545145566e-06,2.095742729579797e-06
1816,8.649297683405166e-06,1.7590613197171479e-06
1817,1.0502668374101631e-05,1.6783095873051934e-06
1818,1.080177912626823e-05,2.0885902358713793e-06
1819,1.1429629239501082e-05,1.8683645777173297e-06
1820,1.2093131090296083e-05,2.2285252043729997e-06
1821,1.071845144906547e-05,1.808596920227501e-06
1822,1.0879798082896741e-05,2.126433145122064e-06
1823,1.2530259027698776e-05,2.365915179325384e-06
1824,1.1527661399668432e-05,2.43201728267195e-06
1825,1.189439240079082e-05,2.437346637407245e-06
1826,1.0186434224124241e-05,2.2116848299447156e-06
1827,1.063304648596386e-05,1.9282534822195885e-06
1828,1.0629780035742442e-05,2.2178624590196705e-06
1829,1.1411754940127139e-05,2.1492951987056585e-06
1830,1.182075993710896e-05,2.632169895377956e-06
1831,1.1546846963028656e-05,2.5803445851124707e-06
1832,1.0836152796400711e-05,2.8602354404938524e-06
1833,1.0542260383772373e-05,2.364218545380936e-06
1834,1.0113964094671246e-05,2.4755175900281756e-06
1835,1.0088403314512107e-05,2.572962557678693e-06
1836,1.062214528246841e-05,2.5975697894864425e-06
1837,1.0409005199107924e-05,2.857605892359061e-06
1838,1.0983792890328914e-05,2.7539963127765077e-06
1839,1.0379544278293906e-05,2.965783778563491e-06
1840,1.050425373705366e-05,3.0727378543815576e-06
1841,1.0741578080342151e-05,2.9296962509306468e-06
1842,1.0065080914500868e-05,3.3226036748601473e-06
1843,9.77771014731843e-06,2.9634971667746868e-06
1844,1.0220798458249192e-05,3.434741586261225e-06
1845,9.813388942347956e-06,3.2170013071208814e-06
1846,1.0165170579057303e-05,3.121034609421258e-06
1847,9.811352583710686e-06,3.2709901915950468e-06
1848,8.92295520316111e-06,3.3170450137731677e-06
1849,9.758666465131682e-06,3.884696752720629e-06
1850,9.772759995030356e-06,3.174534526806383e-06
1851,9.467775953453383e-06,3.0970204250024835e-06
1852,8.763194273342378e-06,2.9609960847665207e-06
1853,9.067184237210313e-06,3.1943862381922372e-06
1854,8.761968388171226e-06,2.874241573636027e-06
1855,8.464034181088209e-06,3.258459287280857e-06
1856,8.792420203462825e-06,3.4904610402008984e-06
1857,1.0172088650506339e-05,3.3052698427127325e-06
1858,9.931715567290667e-06,3.319869733786618e-06
1859,1.0760780469354359e-05,3.620535210302478e-06
1860,1.1115233064629138e-05,3.7066034224153555e-06
1861,1.0294005733157974e-05,3.4063405678352865e-06
1862,1.0555823109825724e-05,3.440898353801458e-06
1863,9.855385769697023e-06,3.1900643193694123e-06
1864,9.2840316483489e-06,3.3045265581677086e-06
1865,9.276248874812154e-06,3.2698448535484204e-06
1866,9.475781325818389e-06,3.723653549059236e-06
1867,8.915100124795572e-06,3.8036336036384455e-06
1868,8.954015811468707e-06,3.4282726346646086e-06
1869,9.35291586756648e-06,3.3823253602349723e-06
1870,9.099362159759039e-06,3.643414686393953e-06
1871,1.013897576740419e-05,4.546925822523917e-06
1872,9.270571126762661e-06,4.109167150545545e-06
1873,8.239735279857996e-06,3.957946148602787e-06
1874,8.359673074664897e-06,3.992233814642532e-06
1875,8.36773347145936e-06,3.8019547332623915e-06
1876,8.32052546684281e-06,3.8095940340099332e-06
1877,8.022324664125335e-06,3.6125510973761266e-06
1878,7.903355481175822e-06,3.8879651924617065e-06
1879,7.953730346343946e-06,3.70713860320393e-06
1880,7.670610102650244e-06,3.459219158230553e-06
1881,7.694859277762589e-06,3.392822122805228e-06
1882,7.844702622605837e-06,3.6584651184057293e-06
1883,7.618594963787473e-06,3.720826725839288e-06
1884,7.597892818012042e-06,3.520024733916216e-06
1885,7.543327228631824e-06,3.3858923984553257e-06
1886,7.422774388032849e-06,3.3538651678099995e-06
1887,7.288238521141466e-06,3.460329992321931e-06
1888,7.782470220263349e-06,3.437247130477772e-06
1889,7.055170499370433e-06,3.3205224099219777e-06
1890,6.709725653308851e-06,3.1579034498463443e-06
1891,6.671896244370146e-06,3.1463150662602857e-06
1892,6.4584484107399476e-06,3.239567206492211e-06
1893,6.088826580707973e-06,3.323697512769286e-06
1894,5.879966238353518e-06,3.099727109656669e-06
1895,6.30871181783732e-06,3.44324945444896e-06
1896,6.014379664520675e-06,3.27520990595076e-06
1897,6.069687515264377e-06,3.2233378988166805e-06
1898,5.81961796797259e-06,3.3350343073834665e-06
1899,6.099130018810683e-06,3.411068632885872e-06
1900,5.645270107379474e-06,3.3388852784810297e-06
1901,5.573090561483696e-06,3.489608502604824e-06
1902,4.827791030947992e-06,3.093969894507609e-06
1903,5.6545704865129665e-06,3.1391479637932207e-06
1904,5.574023816734552e-06,3.3113066137957503e-06
1905,5.6835439181668335e-06,3.5604077766038245e-06
1906,5.602016926786746e-06,3.3931040661627776e-06
1907,5.026615099268383e-06,3.2106771641338128e-06
1908,5.5204012596732355e-06,3.3760889550649154e-06
1909,5.739176231145393e-06,3.719214873854071e-06
1910,5.845966484230303e-06,3.1503768127549847e-06
1911,5.472004886541981e-06,3.3401308883185266e-06
1912,5.8725808003146085e-06,3.2168176176128327e-06
1913,5.218141950535937e-06,3.2470206861034967e-06
1914,4.902016371488571e-06,3.02224043480237e-06
1915,4.89608453335677e-06,3.1808057201487827e-06
1916,5.425608719633601e-06,3.544555340795341e-06
1917,5.5512042536065564e-06,3.184649642662407e-06
1918,5.7787959804045386e-06,3.246049857352773e-06
1919,5.591005447058706e-06,3.1509257496509235e-06
1920,5.8207747315464076e-06,3.150048314637388e-06
1921,5.490999228641158e-06,3.150262841700169e-06
1922,6.134015848147101e-06,3.0065087344155472e-06
1923,5.812231506752141e-06,2.6210774990431673e-06
1924,5.944327995166532e-06,2.607975687851649e-06
1925,5.33411628111935e-06,2.745145195603982e-06
1926,5.8784733028005576e-06,2.8556407301039144e-06
1927,6.264749572437722e-06,2.705916870127112e-06
1928,5.758724682891625e-06,2.786811478472373e-06
1929,5.82531833970279e-06,2.7204872594666085e-06
1930,5.009168489777949e-06,2.9767213618470123e-06
1931,4.784547058989119e-06,2.6072644345731533e-06
