year,on_PRON osera_VERB,on_PRON posera_VERB
1800,9.432493897065797e-09,1.6664071722516383e-07
1801,4.286128785224719e-08,1.381085938945148e-07
1802,3.1329761895904085e-08,1.7902721083373763e-07
1803,4.4857802805609026e-08,2.535440977169401e-07
1804,2.471850879537385e-08,4.350457629698212e-07
1805,4.8328921309348516e-08,2.558590059820176e-07
1806,8.356840552892209e-08,4.1207868051174046e-07
1807,3.701041606518629e-08,3.9003284868499577e-07
1808,3.6257184365950934e-08,1.7675377250725433e-07
1809,4.969867184456689e-08,2.710836497499258e-07
1810,9.360507036149102e-09,1.8721014072298203e-07
1811,1.2535384286138651e-08,3.334411999844633e-07
1812,4.267533171287141e-08,6.988085488046636e-07
1813,4.888760907206802e-08,3.652192006597943e-07
1814,2.8320094269673746e-08,1.6992056828257773e-07
1815,5.3944470224109864e-08,2.2117233022811433e-07
1816,4.1716871734820415e-08,4.3339193211977545e-07
1817,5.604744135467854e-08,6.694555887420961e-08
1818,4.4108355412575406e-08,7.03349476438575e-08
1819,3.62286756150354e-08,2.3082841948962596e-07
1820,5.577246131593938e-08,1.3883783012147433e-07
1821,8.678109786330879e-08,4.7335142916438144e-08
1822,6.215881853677274e-08,8.020492714422289e-08
1823,2.9648060007048116e-08,9.882687246332011e-08
1824,4.12634522106714e-08,1.1452713266635328e-07
1825,2.2013607603454943e-08,2.2189716020193373e-07
1826,5.2847904719044436e-08,1.1362299368045115e-07
1827,7.373818533551457e-08,9.585964377833989e-08
1828,8.071625146044425e-08,1.742737225640667e-07
1829,7.544394797776022e-08,9.687689139781241e-08
1830,5.114049628218709e-08,2.0143093237834364e-07
1831,4.989185953263586e-08,1.1849316550183175e-07
1832,8.929779493627166e-08,1.718306119613544e-07
1833,4.40177885252524e-08,1.8417969727124728e-07
1834,6.347480763224667e-08,1.7175537081470793e-07
1835,5.8235777089521434e-08,1.202530981458949e-07
1836,3.6292051308617346e-08,1.0685992890557827e-07
1837,4.800944797267448e-08,1.9482094870681976e-07
1838,2.6511079775914936e-08,1.3066175341691633e-07
1839,4.474544290644644e-08,1.6709626038391434e-07
1840,5.987507234461731e-08,1.993712537284864e-07
1841,4.6227951244759424e-08,1.913323472990669e-07
1842,4.360372285461267e-08,8.787827532330539e-08
1843,2.4218335115122613e-08,1.5357969118667825e-07
1844,4.335963277313226e-08,1.361163235458207e-07
1845,2.1204866751389773e-08,1.4955010207984287e-07
1846,2.4588906244460418e-08,1.4753343613449488e-07
1847,2.2112216946368335e-08,2.2112216413461283e-07
1848,2.413566502212916e-08,1.8906271748164727e-07
1849,1.8434712201198522e-08,2.983071709650176e-07
1850,2.5798184921654865e-08,1.5343130321809895e-07
1851,2.5797754377165916e-08,1.0383596737995049e-07
1852,2.929745512858517e-08,9.961134317393316e-08
1853,2.090176032254476e-08,1.5706180178653995e-07
1854,4.312401546968658e-08,1.756134562214129e-07
1855,2.0166361025530932e-08,9.764764641317925e-08
1856,3.054541508618058e-08,1.7343583991191736e-07
1857,2.7336450492132514e-08,1.3131259279930418e-07
1858,1.7127865348243176e-08,1.1842695890607047e-07
1859,4.226503769189094e-08,1.588758138382218e-07
1860,2.8378539740359088e-08,1.0573294595417337e-07
1861,4.904602413091652e-08,1.1271153077530016e-07
1862,3.34330998441601e-08,1.3734678283583435e-07
1863,4.5950511839976116e-08,1.3535422027644017e-07
1864,4.938569642121138e-08,1.4575972606678533e-07
1865,3.012380478395471e-08,1.0684536633220887e-07
1866,3.697865924578991e-08,1.2504625246378964e-07
1867,3.54255238477208e-08,1.1986444192757517e-07
1868,3.803703052529528e-08,1.4918419211085165e-07
1869,1.953407702259824e-08,1.0646071579856198e-07
1870,2.9243648391741317e-08,1.3819057542718838e-07
1871,3.080141386391233e-08,2.495976669791844e-07
1872,2.4189356739867662e-08,1.3908880447388583e-07
1873,3.6514625545436274e-08,1.6281932246897668e-07
1874,1.3144139776599673e-08,1.7684843456322596e-07
1875,2.803548282415136e-08,1.4074957022103263e-07
1876,1.3905833595728723e-08,1.2092029422205997e-07
1877,5.071549136204112e-08,1.6760851551111955e-07
1878,1.5701630662334765e-08,8.39433322852301e-08
1879,6.109325378922392e-09,1.1729904514368172e-07
1880,2.5029599726167362e-08,1.3477477089907097e-07
1881,3.067903264764027e-08,1.4014740301604434e-07
1882,3.194585018739815e-08,1.4841508289009653e-07
1883,1.9589950550624735e-08,1.0047748943975421e-07
1884,2.1125430293977843e-08,1.6108140066251053e-07
