year,bon_ADJ air_NOUN,bon_ADJ père_NOUN
1800,7.105811619112501e-07,2.1726176058223245e-06
1801,7.524536727032682e-07,3.0264830876980398e-06
1802,6.713520406265161e-07,2.3407807816511195e-06
1803,7.196751994342776e-07,2.911856373355448e-06
1804,1.3199684190112748e-06,4.35787341857008e-06
1805,6.680762680844055e-07,3.7355413942119498e-06
1806,1.550337970002147e-06,3.198652728464424e-06
1807,5.181458391234628e-07,3.518836426685823e-06
1808,4.849398576034503e-07,2.660370929774558e-06
1809,4.6084223637166133e-07,2.9683660116575084e-06
1810,1.0881589105338207e-06,3.879930155825662e-06
1811,1.2911444855490117e-06,2.69761459703588e-06
1812,7.841592264412611e-07,2.824573552828724e-06
1813,9.144858381660015e-07,3.0137773023852787e-06
1814,3.776012533762696e-07,2.2341407674986158e-06
1815,3.3985017466875433e-07,2.6864345787913635e-06
1816,4.102158772667508e-07,2.5655875397490036e-06
1817,8.593941061008081e-07,2.39135759771969e-06
1818,9.274676244785951e-07,2.4378807936820124e-06
1819,5.527460871235235e-07,3.1208416064743005e-06
1820,8.28280406039994e-07,2.8432088408081313e-06
1821,7.632792176082148e-07,3.1704683713940085e-06
1822,6.977828377330297e-07,2.7430084799107135e-06
1823,7.372484560619341e-07,3.3818555236209136e-06
1824,9.810596566239838e-07,3.2134966652108687e-06
1825,1.3498744237949722e-06,2.77371452028774e-06
1826,5.460950092128769e-07,2.5930707021615262e-06
1827,5.03263095197326e-07,2.8518243899711138e-06
1828,5.971168093310553e-07,3.125003050996611e-06
1829,6.198406481416896e-07,2.472503925377012e-06
1830,4.98880751820252e-07,2.5455443068977957e-06
1831,3.3365179774591525e-07,2.5881402390126595e-06
1832,6.19672618995537e-07,2.425923485205317e-06
1833,6.278326623032626e-07,3.0592362429970876e-06
1834,4.667265329771908e-07,2.779823363496803e-06
1835,6.723585102008656e-07,2.867166742248628e-06
1836,5.322834226717532e-07,3.908116206208234e-06
1837,4.007745246781269e-07,2.6572184945727884e-06
1838,6.059675570213585e-07,2.534964186118316e-06
1839,4.1459446720182314e-07,4.099801199197728e-06
1840,3.59887414425053e-07,2.3039163643545635e-06
1841,4.0898894715368783e-07,2.839808569632396e-06
1842,4.0786251842561683e-07,2.247268872324071e-06
1843,5.180360744816426e-07,2.27002593278236e-06
1844,4.2975435121661576e-07,2.7069583334871083e-06
1845,4.213072202219337e-07,2.916227083371581e-06
1846,4.589929005760496e-07,2.592373296472772e-06
1847,3.386944342764764e-07,2.3385018668165003e-06
1848,5.52706711898221e-07,2.459424213174799e-06
1849,3.988601520177326e-07,1.982569598268924e-06
1850,3.604956759772904e-07,2.709488290619788e-06
1851,4.108292444016115e-07,2.274072022245832e-06
1852,4.6420188937190687e-07,2.2806441268841127e-06
1853,4.7357420385196747e-07,2.762018555202417e-06
1854,4.769619863509433e-07,2.816050171716711e-06
1855,5.577591082328581e-07,2.9050172791755813e-06
1856,5.161657554708654e-07,3.2378141128219795e-06
1857,6.756008749109199e-07,2.7224175900286696e-06
1858,6.890296075368063e-07,2.685649463707307e-06
